"cd_gsap","tx_gsap","cd_ra","cnes"
8,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - CEILÂNDIA",4,"7347715"
30,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - CEILÂNDIA",4,"0010987"
48,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - CEILÂNDIA",4,"0010995"
58,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 04 - CEILÂNDIA",4,"0011002"
3,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - ÁGUAS CLARAS",1,"7108923"
19,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - RECANTO DAS EMAS",16,"0010804"
37,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - RECANTO DAS EMAS",16,"0011134"
53,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - RECANTO DAS EMAS",16,"7170939"
62,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 04 - RECANTO DAS EMAS",16,"7417632"
41,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - SAMAMBAIA",19,"0010774"
63,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 04 - SAMAMBAIA",19,"0010685"
54,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - SAMAMBAIA",19,"7771479"
22,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - SAMAMBAIA",19,"9480587"
26,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - TAGUATINGA",26,"0010901"
45,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - TAGUATINGA",26,"0010928"
57,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - TAGUATINGA",26,"0010936"
27,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - VICENTE PIRES",28,"9056963"
32,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - GAMA",7,"0010839"
49,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - GAMA",7,"0010847"
59,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 04 - GAMA",7,"0010855"
69,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 05 - GAMA",7,"0010863"
23,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - SANTA MARIA",20,"0010782"
42,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - SANTA MARIA",20,"0010669"
65,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 04 - SANTA MARIA",20,"3144607"
80,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 06 - SANTA MARIA",20,"3144569"
11,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - GAMA",7,"0010820"
9,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - CRUZEIRO",5,"0010731"
31,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - CRUZEIRO",5,"0010758"
14,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - LAGO NORTE",10,"0011177"
4,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - ASA NORTE",15,"0010707"
5,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - ASA SUL",15,"0011150"
28,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - ASA NORTE",15,"0010723"
46,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - ASA NORTE",15,"0011355"
2,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA - VARJÃO",27,"2617358"
7,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - CANDANGOLÂNDIA",3,"0011185"
12,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - GUARÁ",8,"0011118"
33,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - GUARÁ",8,"0011266"
50,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 03 - GUARÁ",8,"0011274"
60,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 04 - GUARÁ",8,"0011657"
16,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - NÚCLEO BANDEIRANTE",11,"0011126"
20,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - RIACHO FUNDO I",17,"0011169"
21,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - RIACHO FUNDO II",18,"5038669"
10,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - ESTRUTURAL",22,"2779374"
13,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 01 - ITAPOÃ",9,"6268269"
34,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - ITAPOÃ",9,"3286959"
38,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 02 - RIACHO FUNDO I",17,"3781437"
66,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 04 - SÃO SEBASTIÃO",21,"3742873"
87,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 07 - SOBRADINHO",6,"2804360"
90,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 08 - PLANALTINA",14,"6216013"
94,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 09 - PLANALTINA",14,"6216021"
78,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 06 - PLANALTINA",14,"5050359"
85,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 07 - PLANALTINA",14,"2804123"
70,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 05 - PLANALTINA",14,"0011622"
67,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 04 - SOBRADINHO",24,"0011568"
74,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 05 - SOBRADINHO",25,"7368895"
81,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 06 - SOBRADINHO",25,"6770681"
68,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 05 - CEILÂNDIA",4,"0011010"
76,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 06 - CEILÂNDIA",4,"0011029"
83,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 07 - CEILÂNDIA",4,"0011037"
89,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 08 - CEILÂNDIA",4,"0011045"
93,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 09 - CEILÂNDIA",4,"0011053"
96,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 10 - CEILÂNDIA",4,"0011207"
97,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 11 - CEILÂNDIA",4,"0011061"
98,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 12 - CEILÂNDIA",4,"2617293"
99,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 13 - CEILÂNDIA",4,"3144542"
100,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 14 - CEILÂNDIA",4,"3677044"
101,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 15 - CEILÂNDIA",4,"7347723"
103,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 17 - CEILÂNDIA",4,"9509356"
104,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 18 - CEILÂNDIA",4,"9643338"
102,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 16 - CEILÂNDIA",4,"9475931"
71,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 05 - RECANTO DAS EMAS",16,"7059892"
95,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 09 - SAMAMBAIA",19,"0010642"
72,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 05 - SAMAMBAIA",19,"6921736"
79,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 06 - SAMAMBAIA",19,"7053754"
86,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 07 - SAMAMBAIA",19,"7299877"
91,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 08 - SAMAMBAIA",19,"7114397"
75,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 05 - TAGUATINGA",26,"0010626"
82,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 06 - TAGUATINGA",26,"0010952"
88,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 07 - TAGUATINGA",26,"0010960"
92,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 08 - TAGUATINGA",26,"2617269"
77,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 06 - GAMA ",7,"0010871"
84,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 07 - GAMA",7,"0010898"
73,"GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 05 - SANTA MARIA",20,"3144593"
