"cd_ubs","tx_ubs_nome","tx_ubs_sigla","cd_regiao","cd_ra","cnes","tipo_ubs","rural","telefone_unidade","endereco_unidade","horario_funcionamento","ponto_eletronico","agd_acesso_avancado","agd_ordem_chegada","agd_bloco_horas","agd_horario_marcado","agd_turno","realiza_ecg_ubs","farmaciafornecimento_usuarios","presenca_supervisao_farmaceutico","dispensacao_psicotropico","coleta_laboratorial","imunizacao","horario_funcionamento_sala_vacina","bcg","formato_uso_esus_ab","cadeiras_odonto_funcionamento","esf_completas","esf_incompletas","total_esf","total_esb","total_nasf","total_ecr","total_prisional","total_equipe_socio_educativo","latitude","longitude","the_geom","cd_gsap","nu_min_ent_inloco","tipologia"
71,"UNIDADE BÁSICA DE SAÚDE Nº 04 - CEILÂNDIA","UBS Nº 04 - CEILÂNDIA",6,4,"11002","UBS TIPO 1","NÃO","2017-1145/4454","QNN 16 LOTE F","das 07h às 18h de segunda a sexta","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","NÃO","Volante ","NÃO","ONLINE","3","2","0","2","2","0","0","0","0","-15,835603","-48,105146","01010000204212000011A7936C750D48C005E10A28D4AB2FC0",58,22,"D"
16,"UNIDADE BÁSICA DE SAÚDE Nº 01 - NÚCLEO BANDEIRANTE","UBS Nº 01 - NÚCLEO BANDEIRANTE",3,11,"11126","UBS TIPO 2","NÃO","2017-6531","3ª Avenida - Área Especial nº 03 CEP: 71720-586","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","07:30h às 18:30h segunda a sexta e sábado 7:30h às 11:30h ","SEGUNDA, QUARTA E SEXTA","ONLINE","3","1","4","5","2","1","0","0","0","-15,87052436","-47,9655093","010100002042120000EFBD09CF95FB47C08524715EB5BD2FC0",16,35,"B"
17,"UNIDADE BÁSICA DE SAÚDE Nº 01 - PARANOÁ","UBS Nº 01 - PARANOÁ",4,12,"10634","UBS TIPO 2","NÃO","2017 - 1545","QD 21 AREA ESPECIAL CONJUNTO 15 - PARANOÁ","das 07h às 22h de segunda a sexta","SIM","NÃO","NÃO","NÃO","NÃO","SIM","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","07:30h às 18h de segunda a sexta feira","SEGUNDA - FEIRA","OFFLINE","2","7","3","10","5","1","0","0","0","-15,769394","-47,779941","0101000020421200009FE74F1BD5E347C02D7AA702EE892FC0",17,54,"C"
19,"UNIDADE BÁSICA DE SAÚDE Nº 01 - PLANALTINA","UBS Nº 01 - PLANALTINA",5,14,"5167817","UBS TIPO 1","NÃO","Não possui linha telefônica","Quadra 18 Conjunto H AE 1, St Residencial Leste, Buritis IV, Planaltina, antigo prédio do SEDEST","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","SIM","8h às 16:30 - segunda a sexta","SEXTA - FEIRA","OFFLINE","1","2","1","3","1","0","0","0","0","-15,618292","-47,640293","010100002042120000CA6DFB1EF5D147C0C2C1DEC4903C2FC0",18,22,"D"
21,"UNIDADE BÁSICA DE SAÚDE Nº 01 - RIACHO FUNDO I","UBS Nº 01 - RIACHO FUNDO I",3,17,"11169","UBS TIPO 2","NÃO","2017-1287","QN 09 - Área Especial nº 11 Riacho Fundo I CEP: 71.805-739","das 07h às 22h de segunda a sexta","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","07:30h às 18:30h segunda a sexta","TERÇA E SEXTA","OFFLINE","1","4","3","7","3","1","0","0","0","-15,885214","-48,02341","0101000020421200001E335019FF0248C035ECF7C43AC52FC0",20,54,"B"
22,"UNIDADE BÁSICA DE SAÚDE Nº 01 - RIACHO FUNDO II","UBS Nº 01 - RIACHO FUNDO II",3,18,"5038669","UBS TIPO 2","NÃO","2017-1291 (R-6422) 2017-1293 (R-6424)","QC 06 Conj. 16 - Área Esp. Lt. 01- Riacho F. II CEP: 71.882-266","das 07h às 22h de segunda a sexta","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","NÃO","SIM - DIÁRIO","SIM","07:30h às 18:30h segunda a sexta","TERÇA E QUARTA","OFFLINE","3","7","0","7","3","1","0","0","0","-15,923025","-48,043917","010100002042120000855E7F129F0548C0E3C798BB96D82FC0",21,35,"C"
23,"UNIDADE BÁSICA DE SAÚDE Nº 01 - SAMAMBAIA","UBS Nº 01 - SAMAMBAIA",7,19,"10642","UBS TIPO 1","NÃO","98587-1283","QR 408-ÁREA ESPECIAL Nº 1","das 07h às 22h de segunda a sexta","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","OFFLINE","0","7","2","9","1","0","0","0","0","-15,862819","-48,078827","0101000020421200005985CD00170A48C01FBC7669C3B92FC0",95,26,"E"
24,"UNIDADE BÁSICA DE SAÚDE Nº 01 - SANTA MARIA","UBS Nº 01 - SANTA MARIA",8,20,"10782","UBS TIPO 2","NÃO","2017-1145 - Ramal 6070","QR 207/307, Conjunto T, Área Especial, Santa Maria","das 07h às 22h de segunda a sexta","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","SIM - DIÁRIO","SIM","08:00h às 18:30h segunda a sexta e sábado de 08:00h às 11:30h","SEGUNDA E QUARTA","OFFLINE","4","3","8","11","6","1","0","0","0","-16,026851","-48,026468","010100002042120000FD31AD4D630348C06ADD06B5DF0630C0",23,54,"C"
79,"UNIDADE BÁSICA DE SAÚDE Nº 04 - SÃO SEBASTIÃO","UBS Nº 04 - SÃO SEBASTIÃO",4,21,"3212033","UBS TIPO 1","NÃO","6310 TEL. 99147-1013 GSAP: 6322 / 6323","VILA OLÍMPICA (MORRO AZUL) DE SÃO SEBASTIÃO","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","CAUTELA","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","OFFLINE","0","1","0","1","0","0","0","0","0","-15,891723","-47,782025","010100002042120000C3D32B6519E447C0992EC4EA8FC82FC0",55,7,"E"
118,"UNIDADE BÁSICA DE SAÚDE Nº 08 - BRAZLÂNDIA","UBS Nº 08 - BRAZLÂNDIA",6,2,"9571280","UBS TIPO 1","SIM","Não possui linha telefônica","RADIOBRAS CHACARA ST. HELENA CAPELA RURAL OESTE","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM - VOLANTE","VOLANTE (quinta - feira)","Volante - quinta-feira","NÃO","OFFLINE","1","1","0","1","1","0","0","0","0","-15,677292","-48,155364","010100002042120000E57CB1F7E21348C053AF5B04C65A2FC0",47,7,"C"
48,"UNIDADE BÁSICA DE SAÚDE Nº 02 - SANTA MARIA","UBS Nº 02 - SANTA MARIA",8,20,"10669","UBS TIPO 2","NÃO","2017-1500 - Ramal 5840","EQ 217/317 - Área Especial Lote E, Santa Maria","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","08:00h às 18:30h segunda a sexta e sábado de 08:00h às 11:30h","TERÇA E QUINTA","ONLINE","1","6","2","8","6","1","0","0","0","-16,007455","-47,989946","0101000020421200002C67EF8CB6FE47C012312592E80130C0",42,54,"B"
128,"UNIDADE BÁSICA DE SAÚDE Nº 09 - BRAZLÂNDIA","UBS Nº 09 - BRAZLÂNDIA",6,2,"9548203","UBS TIPO 1","SIM","Não possui linha telefônica","CAAG Q 15 - BRAZLÂNDIA","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM - VOLANTE","VOLANTE (terça - feira)","Volante - terça-feira","NÃO","ONLINE","0","1","0","1","0","0","0","0","0","-15,742987","-48,17041","010100002042120000A774B0FECF1548C0D0B4C4CA687C2FC0",47,7,"D"
155,"UNIDADE BÁSICA DE SAÚDE Nº 14 - PLANALTINA","UBS Nº 14 - PLANALTINA",5,14,"11584","UBS TIPO 1","SIM","99877-2644","Núcleo Rural Tabatinga, S/N, Planaltina","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","NÃO","NÃO","SIM - VOLANTE","VOLANTE (segunda a sexta - feira)","8h às 16:30 - segunda a sexta","NÃO","OFFLINE","1","1","0","1","0","0","0","0","0","-15,820625","-47,569871","0101000020421200002BF86D88F1C847C05C8FC2F528A42FC0",70,7,"C"
156,"UNIDADE BÁSICA DE SAÚDE Nº 15 - CEILÂNDIA","UBS Nº 15 - CEILÂNDIA",6,4,"7347723","UBS TIPO 1","NÃO","2017-1145/4590","QNP 21 AREA ESPECIAL SEM NÚMERO - 72.242-000","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","ONLINE","0","1","1","2","0","0","0","0","0","-15,80952778","-48,13736111","0101000020421200009C98810C951148C0629BD86C7A9E2FC0",101,35,"E"
157,"UNIDADE BÁSICA DE SAÚDE Nº 15 - PLANALTINA","UBS Nº 15 - PLANALTINA",5,14,"2672227","UBS TIPO 1","SIM","99844-7759","Núcleo Rural Rio Preto, 01, Planaltina","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","NÃO","NÃO","SIM - VOLANTE","VOLANTE (segunda a sexta - feira)","8h às 16:30 - segunda a sexta","NÃO","OFFLINE","1","1","0","1","0","0","0","0","0","-15,762539","-47,492673","010100002042120000A54FABE80FBF47C05ED905836B862FC0",70,7,"D"
32,"UNIDADE BÁSICA DE SAÚDE Nº 02 - ASA NORTE","UBS Nº 02 - ASA NORTE",2,15,"10723","UBS TIPO 2","NÃO","2017-1900 Ramal 7610 ou 7611","EQN 114/115 AE - Asa Norte","das 07h às 22h de segunda a sexta","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","SIM - DIÁRIO","SIM","08 às 17:30h segunda a sexta ","QUARTA - FEIRA","ONLINE","3","0","6","6","3","1","0","0","0","-15,7429114","-47,8915111","010100002042120000B04225091DF247C0B2A60DE25E7C2FC0",28,59,"A"
131,"UNIDADE BÁSICA DE SAÚDE Nº 09 - PLANALTINA","UBS Nº 09 - PLANALTINA",5,14,"2672235","UBS TIPO 1","NÃO","2017-1145 Ramal 1401","Núcleo Rural de Santos Dumont DF 130 KM 25, Planaltina","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","CAUTELA","NÃO","NÃO","SIM - VOLANTE","VOLANTE (segunda a sexta - feira)","9:30 às 16:30 - segunda a sexta","NÃO","OFFLINE","1","1","0","1","1","0","0","0","0","-15,679269","-47,64829","0101000020421200007429AE2AFBD247C08D5F7825C95B2FC0",78,7,"B"
132,"UNIDADE BÁSICA DE SAÚDE Nº 09 - SAMAMBAIA","UBS Nº 09 - SAMAMBAIA",7,19,"3742857","UBS TIPO 1","NÃO","2017-1145, Ramal: 4922/4923","QN 317 AE 01","das 07h às 18h de segunda a sexta","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","ONLINE","0","2","0","2","0","0","0","0","0","-15,892962","-48,113025","010100002042120000B1506B9A770E48C03A24B55032C92FC0",72,9,"E"
133,"UNIDADE BÁSICA DE SAÚDE Nº 09 - SÃO SEBASTIÃO","UBS Nº 09 - SÃO SEBASTIÃO",4,21,"3742873","UBS TIPO 1","NÃO","6340/ 6341 TEL. 2017-1384 GSAP: 6232/ 6233","RUA DA ESCOLA 540 - VILA NOVA - SSB","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","NÃO","SIM","Toda segunda e terça-feira de 9h às 16h","NÃO","OFFLINE","1","1","1","2","1","1","0","0","0","-15,905074","-47,755795","0101000020421200007BBDFBE3BDE047C079EBFCDB65CF2FC0",66,22,"B"
158,"UNIDADE BÁSICA DE SAÚDE Nº 16 - CEILÂNDIA","UBS Nº 16 - CEILÂNDIA",6,4,"9475931","UBS TIPO 2","NÃO","2017 - 4595 / 4596 (VOIP)","QD 500 A/E S/N TRECHO 01 SOL NASCENTE","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM - VOLANTE","SIM","07:30h às 17:30h segunda a sexta","SEGUNDA - FEIRA","ONLINE","4","2","2","4","4","1","0","0","0","-15,834317","-48,133572","010100002042120000A6D425E3181148C061FE0A992BAB2FC0",102,35,"B"
134,"UNIDADE BÁSICA DE SAÚDE Nº 10 - CEILÂNDIA","UBS Nº 10 - CEILÂNDIA",6,4,"11207","UBS TIPO 2","NÃO","2017-2079","QNN 12 ÁREA ESPECIAL 01","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","SIM","SIM","SIM","SIM - DIÁRIO","SIM","08h às 17:30h segunda a sexta","TERÇA - FEIRA","ONLINE","3","3","2","5","4","1","0","0","0","-15,82455556","-48,11347222","010100002042120000C7F3F841860E48C0B4DE77252CA62FC0",96,35,"C"
34,"UNIDADE BÁSICA DE SAÚDE Nº 02 - CEILÂNDIA","UBS Nº 02 - CEILÂNDIA",6,4,"10987","UBS TIPO 2","NÃO","2017-2064","QNN 15 LOTE F ÁREA ESPECIAL","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","#REF!","#REF!","#REF!","#REF!","#REF!","NÃO","SIM","SIM","SIM","SIM ","SIM","07:30h às 18:00h segunda a sexta e sábado 07:30h às 11:30h","SEXTA - FEIRA","ONLINE","3","5","0","5","3","1","0","0","0","-15,80775","-48,12041667","01010000204212000088C53DD0690F48C021B07268919D2FC0",30,35,"B"
45,"UNIDADE BÁSICA DE SAÚDE Nº 02 - RIACHO FUNDO I","UBS Nº 02 - RIACHO FUNDO I",3,17,"3781437","UBS TIPO 1","NÃO","2017-1281","QN 01 Área Especial 01 Conjunto 32 CEP: 71.805.132","das 07h às 18h de segunda a sexta","SIM","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","SIM","SIM","NÃO","SIM - DIÁRIO","NÃO","NÃO","NÃO","OFFLINE","1","3","0","3","1","0","0","0","0","-15,879364","-48,00064","010100002042120000E388B5F8140048C03B8F8AFF3BC22FC0",38,22,"C"
120,"UNIDADE BÁSICA DE SAÚDE Nº 10 - SANTA MARIA","UBS Nº 08 - GAMA",8,20,"2673894","UBS TIPO 1","NÃO","2017-1700 - Ramal 5891","Travessa Eucaliptos nº 04 - Área Especial - DVO - Gama","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","VOLANTE (quinzenal âs quintas feiras)","08:30h às 16:30h (de 15 em 15 dias - quinta feira)","NÃO","ONLINE","1","1","0","1","1","0","0","0","0","-16,043986","-48,043311","0101000020421200004E4700378B0548C05B7B9FAA420B30C0",65,7,"C"
38,"UNIDADE BÁSICA DE SAÚDE Nº 02 - GAMA","UBS Nº 02 - GAMA",8,7,"10839","UBS TIPO 2","NÃO","2017-1145 - Ramal 5763 e 5764","Quadra 11, Área Especial, Lotes A, B, C e D, Setor Sul - Gama","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","SIM - DIÁRIO","SIM","08h às 17:30h segunda a sexta, sábados das 8h às 11h31","QUARTA - FEIRA","ONLINE","4","4","1","5","3","1","0","0","0","-16,036695","-48,06098","010100002042120000E4DA5031CE0748C03EEDF0D7640930C0",32,35,"B"
70,"UNIDADE BÁSICA DE SAÚDE Nº 04 - BRAZLÂNDIA","UBS Nº 04 - BRAZLÂNDIA",6,2,"3742865","UBS TIPO 1","NÃO","Não possui linha telefônica","QUADRA 01 AREA ESPECIAL 1 SETOR VEREDAS II","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM - VOLANTE","VOLANTE ( quarta - feira)","Volante - quarta-feira","NÃO","ONLINE","0","1","0","1","0","0","0","0","0","-15,67283333","-48,20033333","0101000020421200000B53C685A41948C07E04389C7D582FC0",47,7,"D"
151,"UNIDADE BÁSICA DE SAÚDE Nº 13 - CEILÂNDIA","UBS Nº 13 - CEILÂNDIA",6,4,"3144542","UBS TIPO 1","SIM",NULL,"NÚCLEO RURAL BOA ESPERANÇA","das 07h às 17h de segunda a sexta","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO",NULL,"VOLANTE","NÃO","ONLINE","1","2","0","2","1","0","0","0","0","-15,828394","-48,24648","0101000020421200001D8F19A88C1F48C0BE67244223A82FC0",99,22,"D"
39,"UNIDADE BÁSICA DE SAÚDE Nº 02 - GUARÁ","UBS Nº 02 - GUARÁ",3,8,"11266","UBS TIPO 2","NÃO","2017-4810","QE 23 Lote C - Área Especial S/N - Guará II CEP 71.050-230","das 07h às 22h de segunda a sexta","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","07:30h às 18:30h segunda a sexta e sábado 7:30h às 11:30h ","QUARTA E SEXTA","ONLINE","2","4","3","7","3","1","0","0","0","-15,832933","-47,973326","0101000020421200005A2C45F295FC47C0B284B53176AA2FC0",33,54,"B"
41,"UNIDADE BÁSICA DE SAÚDE Nº 02 - NÚCLEO BANDEIRANTE","UBS Nº 02 - NÚCLEO BANDEIRANTE",3,11,"7236778","UBS TIPO 1","NÃO","2017-6531","Rua 2 Setor dos Engenheiros AE Metropolitana CEP: 71730-020","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","ONLINE","0","1","1","2","1","1","0","0","0","-15,879377","-47,973962","010100002042120000FCC56CC9AAFC47C08DB5BFB33DC22FC0",16,22,"E"
43,"UNIDADE BÁSICA DE SAÚDE Nº 02 - PLANALTINA","UBS Nº 02 - PLANALTINA",5,14,"10650","UBS TIPO 2","NÃO","Não possui linha telefônica","Entre Quadras 1/10 Área Especial S/N, Vila Buritis, Planaltina","das 07h às 18h de segunda a sexta, e sábado das 07h às 12h","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","SIM","8h às 18h - segunda a sexta","SEGUNDA E QUINTA","OFFLINE","2","4","0","4","4","1","0","0","0","-15,612332","-47,643199","010100002042120000F3E8465854D247C0AB96749483392FC0",36,35,"D"
49,"UNIDADE BÁSICA DE SAÚDE Nº 02 - SÃO SEBASTIÃO","UBS Nº 02 - SÃO SEBASTIÃO",4,21,"3254887","UBS TIPO 1","NÃO","2017-1389 GSAP :6252/ 6253","QD 101, CONJ. 02, LOTE 01, RESIDENCIAL OESTE","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","CAUTELA","NÃO","NÃO","NÃO","SIM","Todas as terças, quartas e quintas-feiras de 09h às 16h","NÃO","OFFLINE","0","2","0","2","0","0","0","0","0","-15,889998","-47,778177","010100002042120000ECBFCE4D9BE347C0C5025FD1ADC72FC0",43,22,"D"
