idprojeto,nuacao,nmacao,dsacao,dtinicio,dtfim,vlrecucacb,vlrecuentidecon,vlrecuentidfina,vlrecucontrapar,vlrecutotal,stacao,aprovacao_previa,centro_custo,centro_custo_adm,idtipo,nome_responsavel,telefone_responsavel,email_responsavel,dtinicio_realizada,dtfim_realizada,dtaprova_encerra_analista,dtaprova_encerra_entidadeprop,dtaprova_encerra_entidadeexec,motivo_encerramento,iddocscomprobatorios,iddocsencerramento,idmodelosimpressao,dtinicio_nova_previsao,dtfim_nova_previsao,comentario
2,3,Acompanhamento da execução das mensurações,Ação obrigatória formada pelo conjunto de atividades necessárias à mensuração dos resultados do projeto.,2013-08-01,2015-07-31,3920.00,1540.00,1540.00,3080.00,7000.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
2,4,Acompanhamento da execução das avaliações,"Ação obrigatória formada pelo conjunto de atividades necessárias à avaliação do projeto e sua revisão com vistas à melhoria de seu desempenho e aumento da efetividade. Essa atividade será realizada com auxílio da Equipe de Projeto, que utilizará os resultados obtidos nas pesquisas T0, T1 e T2 como base para análise do projeto.",2013-08-01,2015-07-31,3920.00,1540.00,1540.00,3080.00,7000.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
2,5,Escola de Capacitação Profissional,"Serão realizados cursos para 300 profissionais de aperfeiçoamento e qualificação para funcionários das Empresas e de Novos Funcionários, Os cursos serão divididos 10 turmas de 30 em 03 turnos/dia, Com o objetivo de melhorar a qualificação técnica e disponibilizar profissionais capacitados.",2013-09-01,2015-05-30,67200.00,26400.00,26400.00,52800.00,120000.00,con,,,,,,,,,,,,,,,,,2013-09-01,2015-05-30,
2,6,Curso de Corte Industrial,"Realização do curso de corte Industrial (SENAI), Com o objetivo de capacitar 40 profissionais em duas turmas  01 em 2013 e outra em 2015 para o setor de corte, Com o objetivo de melhorar a qualificação técnica e disponibilizar profissionais capacitados.",2013-09-01,2015-03-31,8960.00,3520.00,3520.00,7040.00,16000.00,con,,,,,,,,,,,,,,,,,2013-09-01,2015-03-31,
2,7,Curso de Gerência de Produção,"Aperfeiçoamento e qualificação dos processos produtivos em Parceria com SENAI GO, 02 turmas de 25 Profissionais sendo 01 em 2013 e outra em 2014, Com o objetivo de melhorar a qualificação técnica e disponibilizar profissionais capacitados.",2013-10-01,2014-10-30,6720.00,2640.00,2640.00,5280.00,12000.00,con,,,,,,,,,,,,,,,,,2013-10-01,2014-10-30,
2,8,Revista Pontalina a Cidade da Moda – II Edição,"A confecção de 5000 (Cinco mil exemplares ) da II Edição da Revista Pontalina a Cidade da Moda, revista exclusiva para divulgação do polo de Confecções do Município de Pontalina;",2013-09-01,2015-07-31,6000.00,2357.15,2357.15,4714.30,10714.30,con,,,,,,,,,,,,,,,,,2013-09-01,2015-07-31,
2,9,Design de Moda,"Será ministrado o curso para desenvolvimento de peças exclusivas da empresa e têm por objetivo capacitar 30 profissionais e com isso eliminar a cultura de copiar, o curso será ministrado em duas turmas de 15 alunos.",2014-03-01,2014-07-31,6720.00,2640.00,2640.00,5280.00,12000.00,con,,,,,,,,,,,,,,,,,2014-03-01,2014-07-31,
2,10,Palestra Motivacional,"Palestra motivacional para o grupo de empresários e funcionários das empresas participantes do núcleo empreender de Confecções, e tem como objetivo principal motivar 200 profissionais;",2014-10-01,2014-11-30,5600.00,2200.00,2200.00,4400.00,10000.00,con,,,,,,,,,,,,,,,,,2014-10-01,2014-11-30,
2,11,Exposição de Mercadorias e divulgação do polo no salão moda Brasil.,"Aluguel de estande no Salão Moda Brasil para exposição de produtos e marcas, Nosso objetivo é participar divulgando o polo de confecções e as marcas das empresas participantes do projeto,",2014-05-01,2014-06-30,16800.00,6600.00,6600.00,13200.00,30000.00,con,,,,,,,,,,,,,,,,,2014-05-01,2014-06-30,
2,12,Instalação de Outdoors;,"Instalação de Outdoors com imagens divulgando o polo “Pontalina a Cidade da Moda” na capital Goiânia e nas principais vias de acesso à cidade, O objetivo é incentivar o turismo de negócios no Município.",2014-05-01,2014-09-30,3000.00,1178.57,1178.57,2357.14,5357.14,con,,,,,,,,,,,,,,,,,2014-05-01,2014-09-30,
2,13,Realização da XIV - FEICOMP – Participação e Exposição de Mercadorias,"Realizaremos a XIV - FEICOMP (Feira da Industria e Comércio do Município de Pontalina), O objetivo é dar visibilidade, Vendas e fortalecimento das empresas do Município de Pontalina, A feira será exclusivamente voltada ao seguimento de confecções do Município, será feito um trabalho conjunto de marketing do polo e divulgação do evento através de outdoors, panfletos, Jornais e Revistas.",2014-04-01,2014-09-30,39200.00,15400.00,15400.00,30800.00,70000.00,con,,,,,,,,,,,,,,,,,2014-04-01,2014-09-30,
3,1,Estruturação do projeto,Ação formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2013-08-01,2022.22,794.45,794.45,1588.90,3611.12,con,,,,,,,,,,,,,,,,,2013-08-01,2013-08-01,
3,2,Gestão e Monitoramento,Ação obrigatória formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2015-07-31,2022.22,794.45,794.45,1588.90,3611.12,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
3,3,Acompanhamento da execução das mensurações,Ação obrigatória formada pelo conjunto de atividades necessárias à mensuração dos resultados do projeto.,2013-08-01,2015-07-31,2022.21,794.45,794.45,1588.90,3611.11,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
3,4,Acompanhamento da execução das avaliações,"Ação obrigatória formada pelo conjunto de atividades necessárias à avaliação do projeto e sua revisão com vistas à melhoria de seu desempenho e aumento da efetividade. Essa atividade será realizada com auxílio da Equipe de Projeto, que utilizará os resultados obtidos nas pesquisas T0, T1 e T2 como base para análise do projeto.",2013-08-01,2015-07-31,2022.21,794.45,794.45,1588.90,3611.11,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
3,5,Higiene e Segurança dos Alimentos,"Qualificar profissionais quanto às normas de boas práticas para manipulação segura dos alimentos, higiene sanitária e descartes de resíduos.",2013-08-10,2013-12-10,14000.00,5500.00,5500.00,11000.00,25000.00,con,,,,,,,,,,,,,,,,,2013-08-10,2013-12-10,
3,6,Consultoria e Capacitação em Excelência no Aten,Qualificar gestores de empreendimentos de alimentação fora do lar para atuarem como multiplicadores internos no aprimoramento do atendimento e da prestação de apoio e informações aos clientes,2013-10-01,2015-03-30,11200.00,4400.00,4400.00,8800.00,20000.00,con,,,,,,,,,,,,,,,,,2013-10-01,2015-03-30,
3,7,Acesso a Novas Tecnologias,"Participação em eventos voltados para o setor – feiras, seminários, workshops buscando conhecer novas técnicas, processos, tecnologias de ponta e fortalecimento de redes",2013-09-01,2015-03-30,11200.00,4400.00,4400.00,8800.00,20000.00,con,,,,,,,,,,,,,,,,,2013-09-01,2015-03-30,
3,8,Desenvolvimento e Elaboração de um Plano Estrat,"Realização de um planejamento estratégico de Marketing, para a promoção e divulgação das empresas de alimentação fora do lar em Uberaba, com foco na valorização da gastronomia local bem como apresentação dos pratos típicos.",2013-09-01,2013-12-30,16800.00,6600.00,6600.00,13200.00,30000.00,con,,,,,,,,,,,,,,,,,2013-09-01,2013-12-30,
3,9,Programa de Qualidade Total – 5S,"Implantação de processos de qualidade através de metodologia “5S” (organização – limpeza – asseio - higiene – ordem mantida). Contribuir para a conquista da qualidade total, tendo como vantagem o fato de provocar mudanças comportamentais em todos os níveis hierárquicos.",2013-08-01,2015-07-30,11200.00,4400.00,4400.00,8800.00,20000.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-30,
3,10,Inovação e Aperfeiçoamento Tecnológico nos Pro,Elaborar diagnóstico do perfil de tecnologias da informação presente nas empresas do setor de bares e restaurantes e identificar os atuais recursos tecnológicos a serem implementados.,2013-08-10,2013-12-10,8400.00,3299.97,3299.97,6599.94,14999.94,con,,,,,,,,,,,,,,,,,2013-08-10,2013-12-10,
4,1,Estruturação do projeto,Ação formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-05,2013-08-30,750.00,0.00,750.00,750.00,1500.00,con,,,,,,,,,,,,,,,,,2013-08-05,2013-08-30,
4,2,Gestão e Monitoramento,Ação obrigatória formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-09-02,2015-07-31,750.00,0.00,750.00,750.00,1500.00,con,,,,,,,,,,,,,,,,,2013-09-02,2015-07-31,
4,3,Acompanhamento da execução das mensurações,Ação obrigatória formada pelo conjunto de atividades necessárias à mensuração dos resultados do projeto.,2013-09-02,2015-07-31,750.00,0.00,750.00,750.00,1500.00,con,,,,,,,,,,,,,,,,,2013-09-02,2015-07-31,
4,4,Acompanhamento da execução das avaliações,"Ação obrigatória formada pelo conjunto de atividades necessárias à avaliação do projeto e sua revisão com vistas à melhoria de seu desempenho e aumento da efetividade. Essa atividade será realizada com auxílio da Equipe de Projeto, que utilizará os resultados obtidos nas pesquisas T0, T1 e T2 como base para análise do projeto.",2013-09-02,2015-07-31,750.00,0.00,750.00,750.00,1500.00,con,,,,,,,,,,,,,,,,,2013-09-02,2015-07-31,
4,5,Identidade Visual,Desenvolver os elementos formais que representarão visualmente o núcleo de artesanato da ACIUB e posteriormente aplicar os elementos em materiais promocionais para participação dos artesãos em feiras e eventos.,2013-09-02,2013-12-20,12717.07,4000.00,4200.00,8200.00,20917.07,con,,,,,,,,,,,,,,,,,2013-09-02,2013-12-20,
4,6,Promoção Comercial,"Identificação e compra de 6 espaços mercadológicos adequados à divulgação e comercialização dos produtos artesanais, como em feiras, mostras e eventos nacionais para facilitar a comercialização do produto artesanal.",2013-09-30,2015-07-31,14183.82,10000.00,7000.00,17000.00,31183.82,con,,,,,,,,,,,,,,,,,2013-09-30,2015-07-31,
4,7,Missões empresariais,"Participar de 3 missões que tem por finalidade beneficiar os artesãos na atualização de conhecimento/informações e busca de melhorias para seus produtos, além da participação em cursos de aperfeiçoamento.",2013-09-30,2015-07-31,16399.11,5000.00,3000.00,8000.00,24399.11,con,,,,,,,,,,,,,,,,,2013-09-30,2015-07-31,
4,8,Site,Construir um portal totalmente voltado ao artesanato para divulgar os diversos artesanatos do grupo que simbolizam a cultura popular de Uberlândia e Minas Gerais.,2014-04-30,2015-05-30,4100.00,800.00,2600.00,3400.00,7500.00,con,,,,,,,,,,,,,,,,,2014-04-30,2015-05-30,
5,1,Estruturação do projeto,Ação formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2013-08-30,1250.00,0.00,1250.00,1250.00,2500.00,con,,,,,,,,,,,,,,,,,2013-08-01,2013-08-30,
5,2,Gestão e Monitoramento,Ação obrigatória formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-09-02,2015-07-31,1200.00,0.00,1200.00,1200.00,2400.00,con,,,,,,,,,,,,,,,,,2013-09-02,2015-07-31,
5,3,Acompanhamento da execução das mensurações,Ação obrigatória formada pelo conjunto de atividades necessárias à mensuração dos resultados do projeto.,2013-09-02,2015-07-31,1200.00,0.00,1200.00,1200.00,2400.00,con,,,,,,,,,,,,,,,,,2013-09-02,2015-07-31,
5,4,Acompanhamento da execução das avaliações,"Ação obrigatória formada pelo conjunto de atividades necessárias à avaliação do projeto e sua revisão com vistas à melhoria de seu desempenho e aumento da efetividade. Essa atividade será realizada com auxílio da Equipe de Projeto, que utilizará os resultados obtidos nas pesquisas T0, T1 e T2 como base para análise do projeto.",2013-09-15,2015-07-31,1200.00,0.00,1200.00,1200.00,2400.00,con,,,,,,,,,,,,,,,,,2013-09-15,2015-07-31,
5,5,Preparar lideranças para gestão do polo nacional,"Participar de 3 missões empresariais que tem por finalidade beneficiar os gestores das empresas de transporte e logística do NTLI na atualização de conhecimento/informações e busca de melhorias para suas empresas, buscando novas tecnologias e novos conceitos de gestão de negócios.",2013-09-30,2015-07-31,60083.80,7000.00,22200.00,29200.00,89283.80,con,,,,,,,,,,,,,,,,,2013-09-30,2015-07-31,
5,6,Melhorar a disponibilidade de mão de obra especia,"Realizar os treinamentos contendo os módulos básico, intermediário e avançado de operação em logística, além de modulo de atendimento ao cliente.",2013-09-30,2015-07-31,68320.00,15000.00,22400.00,37400.00,105720.00,con,,,,,,,,,,,,,,,,,2013-09-30,2015-07-31,
5,7,Consolidação eventos de integração fornecedore,"Com a finalidade de fomentar e fortalecer a já formada rede de integração entre empresas de logística de Uberlândia e região com os fornecedores do setor. Serão realizados 4 eventos em Uberlândia durante o projeto que tem para estreitar relacionamento entre fornecedor e empresas, proporcionando a atualização de conhecimento/informações e a busca de melhorias para as empresas, potencializando a geração de negócios de maneira mais eficiente e dinâmica para o setor.",2013-09-30,2015-07-31,25150.20,10000.00,32000.00,42000.00,67150.20,con,,,,,,,,,,,,,,,,,2013-09-30,2015-07-31,
5,8,Feira Movimenta 2014,Para divulgar Uberlândia como polo nacional da logística o NLTI assumirá parte da organização da Movimenta 2014 no que tange a participação de empresas de transportes de cargas no evento.,2013-12-30,2014-12-05,8068.00,13000.00,4350.00,17350.00,25418.00,con,,,,,,,,,,,,,,,,,2013-12-30,2014-12-05,
6,1,Estruturação do projeto,Ação formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2013-08-15,1407.00,552.75,552.75,1105.50,2512.50,con,,,,,,,,,,,,,,,,,2013-08-01,2013-08-15,
6,2,Gestão e Monitoramento,Ação obrigatória formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2015-07-31,1407.00,552.75,552.75,1105.50,2512.50,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
6,3,Acompanhamento da execução das mensurações,Ação obrigatória formada pelo conjunto de atividades necessárias à mensuração dos resultados do projeto.,2013-08-01,2015-07-31,1407.00,552.75,552.75,1105.50,2512.50,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
6,4,Acompanhamento da execução das avaliações,"Ação obrigatória formada pelo conjunto de atividades necessárias à avaliação do projeto e sua revisão com vistas à melhoria de seu desempenho e aumento da efetividade. Essa atividade será realizada com auxílio da Equipe de Projeto, que utilizará os resultados obtidos nas pesquisas T0, T1 e T2 como base para análise do projeto.",2013-08-01,2015-07-31,1407.00,552.75,552.75,1105.50,2512.50,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
6,5,Exposição de Stand na Ficro 2013,"Organizar participação das empresas como expositores em stand na Ficro - Feira Industrial e Comercial da Região Oeste, de forma a  possibilitar a apresentação de novos  serviços, prospectar novos clientes e expandir  a representatividade  no mercado.",2013-08-01,2013-09-02,5880.00,2310.00,2310.00,4620.00,10500.00,con,,,,,,,,,,,,,,,,,2013-08-01,2013-09-02,
6,6,Participação na Autonor 2013,"Organizar participação das empresas na Autonor – Feira de Exposição Comercial de Produtos Automotivos do Nordeste, e em visitas técnicas, como o objetivo de possibilitar acesso a novos produtos, serviços e fornecedores.",2013-08-01,2013-09-30,9706.00,3300.00,3300.00,6600.00,16306.00,con,,,,,,,,,,,,,,,,,2013-08-01,2013-09-30,
6,7,Participação na Automec 2015,"Organizar participação das empresas na Automec – Feira Internacional de Equipamentos e Serviços, e em visitas técnicas, como o objetivo de possibilitar o acesso a novos produtos, serviços e fornecedores.",2015-02-01,2015-04-30,14000.00,5500.00,5500.00,11000.00,25000.00,con,,,,,,,,,,,,,,,,,2015-02-01,2015-04-30,
6,8,Pit Stop,"Ação para divulgação das empresas do Núcleo. No evento, serão realizados diagnósticos de caráter preventivo e educativo, com a finalidade de sensibilizar os condutores de veículos automotores para a importância da manutenção preventiva nos veículos e disponibilizado o endereço e contato das oficinas participantes do núcleo para que o cliente possa escolher em qual oficina realizará o reparo do veículo. Para o evento, será feita a divulgação em rádio e montada estrutura em local estratégico.",2014-02-10,2014-05-30,26694.00,11000.00,11000.00,22000.00,48694.00,con,,,,,,,,,,,,,,,,,2014-02-10,2014-05-30,
7,1,Estruturação do projeto,Ação formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2015-07-31,822.08,382.96,382.96,765.92,1588.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
7,2,Gestão e Monitoramento,Ação obrigatória formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2015-07-31,822.08,382.96,382.96,765.92,1588.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
7,3,Acompanhamento da execução das mensurações,Ação obrigatória formada pelo conjunto de atividades necessárias à mensuração dos resultados do projeto.,2013-08-01,2015-07-31,822.08,382.96,382.96,765.92,1588.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
7,4,Acompanhamento da execução das avaliações,"Ação obrigatória formada pelo conjunto de atividades necessárias à avaliação do projeto e sua revisão com vistas à melhoria de seu desempenho e aumento da efetividade. Essa atividade será realizada com auxílio da Equipe de Projeto, que utilizará os resultados obtidos nas pesquisas T0, T1 e T2 como base para análise do projeto.",2013-08-01,2015-07-31,822.08,382.96,382.96,765.92,1588.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-07-31,
7,5,Participação no Hair Brasil 2015,"Mobilização das empresas para participação na feira possibilitando acesso à novos fornecedores, produtos e serviços.",2015-01-15,2015-05-10,12320.00,4600.00,4600.00,9200.00,21520.00,con,,,,,,,,,,,,,,,,,2015-01-15,2015-05-10,
7,6,Participação no 23º encontro Regional da Beleza,"Promover a troca de conhecimentos entre os empresários de um mesmo segmento com a participação nas oficinas, cursos e visitas técnicas.",2014-06-05,2014-11-16,5600.00,2200.00,2200.00,4400.00,10000.00,con,,,,,,,,,,,,,,,,,2014-06-05,2014-11-16,
7,7,Curso Hair Size,Promover a sustentabilidade do segmento com a implantação de ferramentas de inovação nos salões de beleza,2015-01-20,2015-05-28,17920.00,7040.00,7040.00,14080.00,32000.00,con,,,,,,,,,,,,,,,,,2015-01-20,2015-05-28,
8,1,Estruturação do Projeto,Ação obrigatória formada pelo conjunto de atividades necessárias ao planejamento e estruturação do projeto.,2013-08-01,2013-08-15,0.00,1000.00,0.00,1000.00,1000.00,con,,,,,,,,,,,,,,,,,2013-08-01,2013-08-15,
8,2,Gestão e Monitoramento,Ação obrigatória formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2015-05-30,0.00,2500.00,0.00,2500.00,2500.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-05-30,
8,3,Acompanhamento da execução das mensurações,Ação obrigatória formada pelo conjunto de atividades necessárias à mensuração dos resultados do projeto.,2013-08-01,2015-05-30,0.00,2500.00,0.00,2500.00,2500.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-05-30,
8,4,Acompanhamento da execução das avaliações,"Ação obrigatória formada pelo conjunto de atividades necessárias à avaliação do projeto e sua revisão com vistas à melhoria de seu desempenho e aumento da efetividade. Essa atividade será realizada com auxílio da Equipe de Projeto, que utilizará os resultados obtidos nas pesquisas T0, T1 e T2 como base para a análise do projeto.",2013-08-01,2015-04-15,0.00,2500.00,0.00,2500.00,2500.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-04-15,
8,5,Visitas Técnicas,"Propor aos integrantes do grupo o contato direto com fornecedores, visando oportunizar a busca de novas tecnologias, através de inovação e além da interação com o consumidor final, com intuito de gerar crescimento das empresas.",2013-08-01,2015-05-30,64229.80,8792.80,33047.60,41840.40,106070.20,con,,,,,,,,,,,,,,,,,2013-08-01,2015-05-30,
8,6,Participação em Feiras,"Organizar a participação das empresas em feiras empresariais, como expositoras.",2013-08-01,2014-03-15,38697.04,4180.84,37240.00,41420.84,80117.88,con,,,,,,,,,,,,,,,,,2013-08-01,2014-03-15,
8,7,Capacitação,Organizar e realizar cursos de capacitação aos gestores e colaboradores de forma a prepara-los para as constantes mudanças de mercado em que estão inseridos.,2013-09-01,2015-01-02,17042.00,5000.00,6000.00,11000.00,28042.00,con,,,,,,,,,,,,,,,,,2013-09-01,2015-01-02,
8,8,Ação Beneficente,"Beneficiar entidade de cunho assistencial e filantrópico com o planejamento, produção e instalação de peças de mobiliário em espaços específicos como: cozinhas, quartos e salas de lazer.",2013-10-01,2015-02-01,0.00,15000.00,0.00,15000.00,15000.00,con,,,,,,,,,,,,,,,,,2013-10-01,2015-02-01,
9,1,Estruturação do projeto,Ação formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2013-08-15,0.00,1000.00,0.00,1000.00,1000.00,con,,,,,,,,,,,,,,,,,2013-08-01,2013-08-15,
9,2,Gestão e Monitoramento,Ação obrigatória formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2015-05-30,0.00,2500.00,0.00,2500.00,2500.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-05-30,
9,3,Acompanhamento da execução das mensurações,Ação obrigatória formada pelo conjunto de atividades necessárias à mensuração dos resultados do projeto.,2013-08-01,2015-04-15,0.00,2500.00,0.00,2500.00,2500.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-04-15,
9,4,Acompanhamento da execução das avaliações,"Ação obrigatória formada pelo conjunto de atividades necessárias à avaliação do projeto e sua revisão com vistas à melhoria de seu desempenho e aumento da efetividade. Essa atividade será realizada com auxílio da Equipe de Projeto, que utilizará os resultados obtidos nas pesquisas T0, T1 e T2 como base par análise do projeto.",2013-08-01,2015-04-15,0.00,2500.00,0.00,2500.00,2500.00,con,,,,,,,,,,,,,,,,,2013-08-01,2015-04-15,
9,5,Visitas Técnicas,"Organizar a visitação de empresas em feiras empresariais, visando oportunizar às empresas contato com inovações no setor e tendências nacionais e internacionais.",2013-08-01,2015-04-30,55454.70,6961.60,32861.64,39823.24,95277.94,con,,,,,,,,,,,,,,,,,2013-08-01,2015-04-30,
9,6,Participação em Feiras,"Organizar a participação das empresas em feiras empresariais, como expositoras, visando oportunizar estas empresas contato com fornecedores e clientes.",2013-08-01,2014-03-15,21080.00,4180.00,18614.74,22794.74,43874.74,con,,,,,,,,,,,,,,,,,2013-08-01,2014-03-15,
9,7,Capacitação,"Organizar e realizar cursos de capacitação aos gestores e colaboradores de
forma a prepará-los para as constantes mudanças de mercado em que estão inseridos.",2013-09-01,2015-05-01,40994.39,4011.00,25715.31,29726.31,70720.70,con,,,,,,,,,,,,,,,,,2013-09-01,2015-05-01,
10,1,Estruturação do projeto,Ação formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2014-12-30,1777.78,0.00,0.00,0.00,1777.78,con,,,,,,,,,,,,,,,,,2013-08-01,2014-12-30,
10,2,Gestão e Monitoramento,Ação obrigatória formada pelo conjunto de atividades necessárias à gestão e monitoramento do projeto.,2013-08-01,2014-11-15,2000.00,0.00,0.00,0.00,2000.00,con,,,,,,,,,,,,,,,,,2013-08-01,2014-11-15,
10,3,Acompanhamento da execução das mensurações,Ação obrigatória formada pelo conjunto de atividades necessárias à mensuração dos resultados do projeto.,2013-08-15,2015-03-01,2000.00,0.00,0.00,0.00,2000.00,con,,,,,,,,,,,,,,,,,2013-08-15,2015-03-01,
10,4,Acompanhamento da execução das avaliações,"Ação obrigatória formada pelo conjunto de atividades necessárias à avaliação do projeto e sua revisão com vistas à melhoria de seu desempenho e aumento da efetividade. Essa atividade será realizada com auxílio da Equipe de Projeto, que utilizará os resultados obtidos nas pesquisas T0, T1 e T2 como base para análise do projeto.",2013-08-30,2015-03-15,2000.00,0.00,0.00,0.00,2000.00,con,,,,,,,,,,,,,,,,,2013-08-30,2015-03-15,
10,5,Capacitação Técnica REVFAR,"O conhecimento técnico permitirá aos trabalhadores maiores conhecimentos, segurança na prestação de serviços, bem como a ampliação dos mesmos, consequentemente aumentará o faturamento, o fluxo de clientes que utilizam os serviços, e o aumento do número de postos de trabalho. Esta ação visa a orientação técnica através de consultorias especializadas, cursos e palestras, proporcionando melhorias na execução das atividades diárias. Também pretendem realizar cursos que com enfoque administrativo e cursos de motivação.. Tais como: - EMPRETEC - INJEÇÃO ELETRÔNICA - GESTÃO DE OFICINAS MECÂNICAS - ATENDIMENTO AO CLIENTE - TEDÊNCIAS - DICAS AVANÇADAS - MEDIÇÕES OCILOSCÓPIO - MANUTENÇÃO PREVENTIVA - E outros...",2013-08-15,2014-12-15,25555.06,12222.47,12222.47,24444.94,50000.00,con,,,,,,,,,,,,,,,,,2013-08-15,2014-12-15,
