idfile,idreuniao,dsfile,nmfile,dtupload,dsextensao
015908a61e30af0ea123aa2eea2ceca0,9663,Reunião de apresentação da nova consultora,para postar.JPG,2010-09-14,jpg
016ce75ab74a1d887eab5e37116f8f43,4456,FOTO,DSC00266.JPG,2009-06-24,jpg
01982ab43f25824837415ce0b5d2691a,7279,ATA,4 ata beleza,2009-12-15,doc
01bc141ac04b164ec4c4c62ec564470a,13073,Reunião Realizada em 04.07.2013,Reunião NAES 04.07.13,2013-07-30,docx
01d555e4790d3cec481bb5b4233537ce,3079,ata de reunião,Ata de reunião 122 - 03 02 09,2009-02-16,doc
0215d0b9ae1c06fce32f42d0ce3051c2,11167,Falando de Ética,DESCRITIVO VAMOS FALAR DE ETICA,2011-06-22,docm
021a7bda74e7159919788dc42742550a,3804,CONVOCAÇÃO 001,CONVOCAÇÃO REUNIÃO DAS AGÊNCIAS 001,2009-05-07,doc
0260afa71abfe83ed2d4f944684d999b,5926,FOTO,palestratendimentocliente20-07-09 (7).JPG,2009-12-11,jpg
0260afa71abfe83ed2d4f944684d999b,7303,FOTO,palestratendimentocliente20-07-09 (7).JPG,2009-12-15,jpg
026495d992ee88dd1a7252e2c648761a,3310,RELATORIO D REUNIÃO,2008_10_08 22,2009-03-23,doc
027df8dced93423f4c0797a9a6d14f14,1349,Avaliação de interesse e feiras em geral,AVALIAÇÃO De FEIRAs,2008-08-20,doc
029094157977e1f5f5729d075a0eb487,6378,Ata - 08/04/2009,ATA 0011- 2009 - Diretoria CONJOVE,2009-10-24,doc
029cc8bac7cde1a25a9218c3ded8ab22,215,Resultado da votação,Nova Diretoria do Núcleo de Apicultores de Entre Rios,2008-04-02,doc
02d0a15f3443ae3d9e1b48c71be04664,10999,Arquivo Imprensa 5-5-11,Arquivo Impresa 5-5-11,2011-05-23,jpg
02dfc419d2c6933f443843aa38c22858,10777,Lista de presença 2,31 de março_2,2011-04-12,jpg
031cc8676ff6bb2bbfda23d7f6305d5d,5615,Pontos Negativos do evento,Pontos Negativos,2009-09-23,jpg
0358f6330a93f82d41cb20f58b0d369a,1014,Cronograma treinamentos 2008,treinamentos marmoraris,2008-07-28,doc
036d6302b3758b0671bd4b3a070b57d5,12832,ATA,2013.07 ACIM Jovem Relatório de Reunião 16-04-2013,2013-05-17,docx
037ca7223a3a0ae2f784700a2bdc18ff,7980,Lista Presença,lista,2010-02-03,doc
039db10b4e45d1c3ca53fa895a341f16,4370,Ata de reunião - 70 - 18/06/09.,Ata de reunião 70 18 06 09,2009-06-22,doc
03b087309e8c94808d9069d2c316cd57,5300,Relatório de reunião de 26/05/2009,Relatório de Reunião 260509,2009-08-20,doc
03bd42ba6c9835959bf9b76c235f5a60,5867,Relatorio,Reparação Automotiva 04 Agosto,2009-09-18,doc
03c718f13620535df3869ef7909ee9f5,7573,21º Reunião,21º Relatório A&R - Automotivo,2010-01-02,doc
03d0c045ab973358458152c5f5254db7,12104,Reunião Realizada em 27/07/2011.,Reunião do Rural 27.07.2011,2012-06-22,doc
03e0cee2964bb770b877c4a67b87eaf7,7729,Lista Presença 2,lista 2,2010-01-18,doc
03f5e877de2ce010be4717100998bc2e,10795,LISTA DE PRESENÇA 11/03/2011,1103empretecos,2011-04-14,jpg
04008c308ddcf72a0df25cf829ed60cb,4118,Ata - 27 - 17/03/2009,Ata 27 - 17 03 09,2009-06-04,doc
0420eab6d56cb92c2962e0600d6b3c0d,6603,ATA OFICIAL 3ª REUNIAO,ATA+3ª+RE..,2009-11-11,doc
043b9145ea76ee12936e398f843685ab,3106,Ata 84ª Reunião,ATA ART 84ª 21022009,2009-02-23,doc
04468b07f718c24744ef53137e7d6cf1,10319,Pauta da reunião,Pauta_30 de Novembro.JPG,2010-12-10,jpg
044ce9f9e9b9ea877efbb6e45a57b282,928,Relatório Completo da RT-02/07,191 RT - 02-07-2008,2008-07-12,doc
044e755f195670f86515945d422fb0ea,12613,Reunião Realizada em 05/02/2013,Reunião Aventura - 05.02.13 - Comissão de Sinalização 3,2013-02-06,doc
044e8c1fe5dfcd022680daa692e66337,11311,Ficha demissional,Ficha demissional,2011-08-02,xls
045e87218e71a901191104ad657bac30,6188,ATA - 06/10/2009,Ata de reunião 73 - 06 10 09,2009-10-06,doc
048a5c21e44ff49a401be66537b20f8f,2695,Foto dos participantes,P1010016.JPG,2008-11-26,jpg
048a5c21e44ff49a401be66537b20f8f,2699,Foto dos participantes,P1010016.JPG,2008-11-26,jpg
048fc8cb39a6abd81db62350c80a874c,7046,Relatório de Reunião enviado ao Sebrae-SP,Relatório de Atividades - Nucleo Varejista (03-11-2009),2009-12-03,doc
04b10d4c582e3dacef69139b3b13c291,7842,Lista Presença,PAg1,2010-01-25,doc
04e23774c705bfec80775e1ae7a862c3,8223,Relatório de reunião quinzenal,Relatório de reunião Alto da Cidade 10.03.2010,2010-03-16,doc
04ed4d6a0f848e61455c28d7f1723250,12707,Ata,2012_13 ACIM PORTO Relatório de Reunião 06-11-2012,2013-04-02,docx
04ed4d6a0f848e61455c28d7f1723250,12860,ATA,2012_13 ACIM PORTO Relatório de Reunião 06-11-2012,2013-05-23,docx
050f2082c341bdf6618ab1c8b3f9f777,7297,ATA,1 ata de missão  beleza-expo hair,2009-12-15,doc
051b6ee2f8e3d5338aa23ba3fea48f44,4216,LISTA DE PRESENÇA,LISTA DE PRESENÇA REUNIÃO 1,2009-06-12,jpg
052c36cbea0fbe8023eedef70bfa21a6,12868,ATA,2012_03 ACIM Mulher Relatório de Reunião 30-10-2012,2013-05-23,docx
0540ca19e40949d8e2a42c49afbbf8ab,7887,2º Relatório A&R 09,2º Reunião N. Beleza- A&R,2010-01-28,doc
054ec5901d437524d86b9e1619853e98,10973,Ata 103ª Reunião,ATA ART 103ª 30042011,2011-05-18,doc
0551cbdd1faf96f57a60deba415f7c41,9461,Ata de Reunião,17 Ata de Reunião 17 08 10,2010-08-18,doc
0558d77b53bc36db1a41dda5101e58df,9766,Lista de presença 2,30 de setembro_2.JPG,2010-10-01,jpg
0570b6fc8000807f4d03edc489980537,4905,ATA 71 -15/07/2009,Ata de reunião 71 15 07 09,2009-07-20,doc
05818d0cb79781911057fbbe110f4e8e,6504,ata reunião 4 grupo cogumelos,RELATÓRIO PLANEJAMENTO ESTRATÉGICO.reunião 4 cogumelos,2009-11-04,doc
058bacc980583544439c81d4d42b6538,10894,lista de presença 03/05/2011,lista de presença 03052011,2011-05-03,jpg
059204201066e51963cb5b6c5f115e09,9505,Lista de presença.,26 de agosto,2010-08-27,jpg
059cdd15c82ad9322f3356cd79db4ad8,12574,Reunião Realizada em 22/08/2011.,Reunião do Aventura 22.08.2011 -,2013-01-17,doc
05a2c38df92595eb15c32058bcd12c98,5524,Ata de Fundação da Associação,ATA DE FUNDAÇÃO padarias,2009-09-01,doc
05c66e0133df8e2f692e8e096f8a3909,129,Programa MKT Imobiliário - piloto Sebrae,Marketing_Imobiliário_Sebrae,2008-03-13,doc
05d60237a546f6f64bfc7af2f51fc213,9923,Lista de presença 2.,26 de Outubro 2,2010-11-09,jpg
05fa12c53b8a4494d64634f27c55237e,3147,ata de reunião,08 Ata de reunião 26 02 09,2009-02-27,doc
061d0eaf4a8889f97c7d6375912df3d2,9833,Lista de presença 2,07 de outubro_2.JPG,2010-10-08,jpg
06628fd51e728b937abca746cbd4a8a1,8152,LISTA PRESENÇA,lista,2010-02-27,doc
066c16375effd78e6022f62c48362ed2,6692,REUNIÃO 11/11/2009,Ata de reunião 135- 11 11 09,2009-11-18,doc
068a6f8d1e965b1a85b6b532f732c246,12083,Reunião Realizada em 04/06/2012,Reunião N. Gastronomico 04.06.12,2012-06-05,doc
0697898879c772d7a47d5cf8d9e2f4d4,12687,Reunião Realizada em 18.03.2013,Reunião Hospedagem - trab. 18.03.13,2013-03-27,doc
069c7eb5b5c4c2f750433ef733c902e8,389,Proposta laudos Prant,Proposta laudos,2008-04-22,doc
06acbdb6b53441f5d836a1c49b70bfab,2117,Relatório completo da RT - 30/07,193 RT - 30-07-2008,2008-10-22,doc
06aeffc9c945b7e511fcd2d925ab2744,2375,REUNIÃO DO NÚCLEO DO SBZ,78 R.SBZ 14 -2008 ACIT,2008-11-12,doc
06b5a925bbee93d752429ccf6c7f7a56,3039,ata da reunião,07 Ata de reunião 29 01 09,2009-02-04,doc
06b9fd4fd6d518874faaade4faa34362,8717,Ata de Reunião,05 Ata - 24 05 10,2010-05-25,doc
06bf7a1be9add77db95c2c629adf72ac,10196,Pauta da reunião.,Pauta_23 de Novembro,2010-11-25,jpg
06ca0ec398580458b3840d6f64d18341,2880,RELATÓRIO 7º CONGRESSO,RELATÓRIO 7º CONGRESSO FACESP 13112006,2008-12-24,doc
06f1f5d63e433e06565f6fe669ce5685,11893,Palestra Realizada em: 08/03/2012.,Palestra da LUK- 08.03.12,2012-03-09,xls
06fa20bb1387f2c95691b7ca438183d5,12857,Reunião Realizada em 26.03.13,Reunião NAES 26.03.13,2013-05-21,docx
072ef8d80387a12885a460b31d5f298a,8381,Ata de Reunião,06 Ata Reunião 16 03 10,2010-04-09,doc
0733cb3150abcd2a0552a4eff07a08e1,5497,Ata Reunião Assembléia Extraordinária,ATA  AG extraordinaria 2009,2009-08-31,doc
0766bd461cac24dbe0be7a2de77dc2f0,7822,9º Relatório A&R 08,9º Reunião N. Beleza- A&R,2010-01-23,doc
07724f4117a053448e88eb70eb80c4a7,10674,Ata de reunião 10/03/11,Reunião 10.03.11,2011-03-24,doc
077e79f75966075efadd22b99342d1b7,1755,ata da reunião,Ata de reunião 117 - 24-09-08,2008-09-26,doc
07896b5b81c60d37d3bb0a26ca24f270,10681,Ata da reunião de trabalho 21.03.2011,Reunião de trabalho do  Rural (realese)  21.03.11,2011-03-29,doc
078d604bceca0eeaeebf9217ce0bf7ad,9576,Foto do treinamento.,Edit.2,2010-09-01,jpg
07adee3bd8982646f9c8428bd36d7df5,7227,Relatorio de Reunião,Panificadoras 28 Agosto,2009-12-14,doc
07c28c39179d8e52edfe1e7e31b79240,2952,Oficina realizada no dia 25/06/2008,Oficina 25 06,2009-01-07,doc
07c8e02c6e327607fed7b7bf7d57da31,7702,13º Relatório A&R,13º Relatório - A&R  25-05-09,2010-01-18,doc
07d9bbe47a2364672175f43b9ca84c58,9353,2009_10_29 Relatório Reunião Acim Turismo 001,2009_10_29 Relatório Reunião Acim Turismo 001,2010-08-04,pdf
07dee4a8771838f679a704a9a037d899,2167,ATA 9ª REUNIÃO,ATA ART 9ª 27082005,2008-10-24,doc
07eae657b8ce2bca7cf32852a04e7696,10821,Carta de preposição,CARTA DE PREPOSIÇÃO,2011-04-18,doc
07eb87efb592dbca2db9c62477ef66ed,7935,25º Relatório A&R 09,Cópia de 25º Reunião N. Beleza-09 A&R 10~12-08,2010-01-29,doc
08207993dcdcab03f562840e5d23a769,2840,ATA,ATA ART 45ª 16122006,2008-12-24,doc
082bd9fe41c209e00709013d0c25e554,3152,Projeto Casa do Turista,Projeto Casa do Turista,2009-02-28,doc
085baff8aecc898142419a4073fa3a83,3391,o contexto todo,Imagem 025,2009-04-03,jpg
0886ba5ac42e51088d21bebd74109173,12514,Reunião Realizada em 05/11/2012.,Reunião Aventura - 05.11.12,2012-12-17,docx
088cde2f2ccbc3d8f150183efc8fe8de,10882,RELATÓRIO DA REUNIÃO DO DIA 13/04/2011,REUNIÃO 13042011,2011-05-03,doc
088d5e6e2c581fd7ecc018dc15587dab,1983,foto da caravana da saúde,DSC01342,2008-10-17,jpg
088e3a20128b9abc9d79055d0e366843,8630,Ata de REunião,04 Ata - 10 05 10,2010-05-12,doc
0890989520f47fc1f001f129f64f4f55,1423,ata da reunião,Ata de reunião 53 20 08 08,2008-08-29,doc
089e8a68d0a82b49c1d74448e5797c68,12302,Reunião Realizada em 13/09/2012,Reunião Hospedagem - 13.09.12,2012-09-18,doc
08b696e00334e3e866661f92af53fed1,7737,Lista Presença 1,lista 1,2010-01-18,doc
08ca3c5b9ae998236d03ad1753026d59,4371,Reunião de 17 de junho,GetAttachment.aspx,2009-06-22,jpg
08cc5667886f68bb361a07642c0662aa,12578,Reunião Realizada em 05/09/2011.,Reunião do Aventura 05.09.2011 -,2013-01-17,doc
08dffd8dd40762528fb7c4071ccce0b7,5616,RELATORIO DA REUNIÃO,01 Relatorio 29.07,2009-09-04,doc
09016f985602d9983dbea4a090eba86e,12120,Reunião Realizada em 27/06/2012.,Reunião Rural 27.06.12,2012-06-28,doc
090532046c4150eee27275db5b29b4c6,9827,Lista de presença 1,06 de outubro.JPG,2010-10-08,jpg
0911e3f36892540644ca51063ea4ca1a,2874,ATA,ATA ART 79ª 09082008,2008-12-24,doc
091bc865734920b84f172fa397ceec49,3858,Relatório da Reunião,Relatório,2009-05-13,doc
09423b6f1e3967b6982ab4690b224ec7,8682,Tipos de Comportamento no trabalho,Tipos de Comportamento no Trabalho - 12 05 10,2010-05-20,ppt
094738fca530551673042233daf3d134,9452,Ata de reuniao,ATA REUNIÃO - A E R - SISTEMA VESTIR E CALCAR16AGO2010,2010-08-17,doc
0949ad223fbad9511febdbaf846b5b4e,8155,ATA,ATA 14,2010-02-27,doc
094d649df8f1b254fe33b0c75e9db3c2,186,PE Agências 2008,Relatório Agências 2008,2008-03-19,doc
095e321367ccd54485b9823b2e297e83,2384,PARTICIPAÇÃO SEBRAE NA RUA,59 R.MSG 07-2008,2008-11-12,doc
098725f4a24fa4ea644430be62d896d4,11194,Reunião do dia 19/05/2011,Reunião Hospedagem -19.05.11,2011-06-29,doc
099839bbe601017086e0210e24b91920,9219,Ata 93ª Reunião.,ATA ART 93ª 17072010,2010-07-19,doc
099cfdae530dbd445fccd65ffd7ab388,8892,relatório de reunião,2009 contabilistas 04 de NOVEMBRO 2009,2010-06-25,doc
09a12f5ab6ae3947bce7f065ea24c85b,10440,Lista de presença 1;,11 de janeiro_1,2011-01-20,jpg
09cde3166ed1a7b5695eb4438407471a,9765,Lista de presença 2,28 de setembro_2.JPG,2010-10-01,jpg
09d610a3de57a2b8ba7dd46b0314e8a3,12588,Reunião Realizada em 19.08.2010.,Reunião Hospedagem 19.08.10,2013-01-21,doc
09ef31123cecccc94fe5eb42a951276e,2854,ATA,ATA ART 59ª 14072007,2008-12-24,doc
09f6a032747c1c812da91db89a44c645,6279,Ata de Reunião,Ata de reunião 77 08 10 09 - Panificadoras,2009-10-09,doc
0a34836d23edb6959b95087f8caba727,4710,relatorio da reunião,reunião 23 12.05,2009-07-08,doc
0a3954d7cbf794601be3788d99856903,5132,relatorio,panificadoras 25 junho,2009-08-08,doc
0a470f4b2d36bf3958f72e5ccdc9c1b8,7581,Missão Empresarial,DSC03913.JPG,2010-01-05,jpg
0a78113f9835d50f5fe708395577ed5d,10797,LISTA DE PRESENÇA 05/04/2011,0504 empretecos,2011-04-14,jpg
0a84c558d9318328976edeb2a18130bf,12095,america,HPIM0260.JPG,2012-06-21,jpg
0aa00ac9e9a5e48ca622e9d1c96d9d86,4203,foto empresarios durante a visita,DSC05579,2009-06-10,jpg
0aba9ca78c2e5412c7c584ca7130a0d9,9576,Lista de presença 3.,31 de agosto_3,2010-09-01,jpg
0adf82bc0432e8f415ac0dbeb7e77d08,12169,Reunião Realizada em 05/07/2012.,Reunião Hospedagem - 05.07.2012,2012-07-25,doc
0afbd218a21c627b50d3b2347eee3477,12176,Reunião Realizada em 14/12/2011.,Reunião de Artesanato 14.12.11,2012-07-25,doc
0b0850e3e4b798f14cf31278375c536c,12841,ATA,2013_04 ACIM MULHER Relatório de Reunião 05-03-2013,2013-05-17,docx
0b2a5aa88fe68eb0775a8a65b72f3ec6,12317,Reunião Realizada em 26.09.2012,Reunião NAES 26.09.12,2012-10-01,doc
0b339a6eb64eeffa442d26e95ab544b5,2062,ATA 24ª REUNIÃO,ATA CONF 24ª 19082005,2008-10-22,doc
0b57edae53faceb384dfcec7443f7c18,5734,9ª reunião,9-nona reunião bazares 16 de julho,2009-09-17,doc
0b6b64d3cabd0e3954fb6d37a25f3a19,9308,Ata da Reunião,Ata de Reunião 08-2010,2010-08-02,doc
0b724c8a531462e8ccee6eef3abdbf95,2267,Ata de Reunião,ATA DE REUNIAO  Contabilidade junho 23,2008-11-03,doc
0b7720bf585ff744a06874ad8f0aaee1,7844,25º Relatório A&R 08,25º Reunião N. Beleza- A&R,2010-01-25,doc
0b906b1178f6bfda821c9d569c41c68f,10685,Pauta da reunião.,Pauta_22 de Março_Pólo,2011-03-31,jpg
0bdc1d6638e0160f6e1f381b7783fd2f,12167,Reunião Realizada em 15/03/2012,Reunião Hospedagem - 15.03.2012,2012-07-25,doc
0bf110501f1c7665e2402940290f2e39,8061,Relatório de reunião,Relatório de reunião Alto da Cidade 10 02 2010,2010-02-12,doc
0bfc3b1b63fd08f2e723e38138704759,11967,Reunião realizada em 28/03/2012.,Reunião de Artesanato 28.03.12,2012-04-10,doc
0c1474952ea0a59ee71d1d6d1a3b9c89,10595,Lista de presença 1,18 de Fevereiro_1_Info,2011-03-01,jpg
0c1fe9f57b5c3b59ec40481089344ffe,7724,33º Relatório A&R,33º Relatório - A&R  24-11-09,2010-01-18,doc
0c227a63963f1e4695f262fed232353d,5827,89ºREUNIÃO SALAO DE BELEZA,89 R.SBZ 09 -2009 ACIT,2009-09-18,doc
0c3cb56597331edb2675b351d0b9f69e,7845,26º Relatório A&R 08,26º Reunião N. Beleza- A&R,2010-01-25,doc
0c70f9860b54854c71d034fd8dd1588c,9311,Ata da Reunião,Ata de Reunião 10-2010,2010-08-02,doc
0ca067a03a077aa9a5c89c2826f420cd,4216,PAUTA DA 1º REUNIÃO,PAUTA DA REUNIÃO 1,2009-06-12,jpg
0cb1d278909afe1717f18fa5ab65f6f7,11717,Atendimento Imposto de Renda na Praça a cidade.,ATENDIMENTO PÇA. I. RENDA 10 ABRIL (4).JPG,2011-12-14,jpg
0cd0a67b29f8768b9d6c8fcfd67d14d1,7760,Lista Presença,PAG1,2010-01-19,doc
0cd63a0644c1e6037602c79f02999276,7224,RELATORIO,Palestra de Sustentabilidade 04-11-09,2009-12-14,doc
0cd63a0644c1e6037602c79f02999276,7305,RELATORIO,Palestra de Sustentabilidade 04-11-09,2009-12-15,doc
0cfaf955f1e9039a0fdf0b7884310344,439,PALESTRA SBZ Nº 69,69 R.SBZ 05-2008 ACIT,2008-05-08,doc
0d05e1719403b88d781645b846e81431,10685,Lista de presença 2,Pólo_22 de Março_2,2011-03-31,jpg
0d3baad7131db7377e067fff608b992c,7674,34º Relatório A&R,34º Relatório A&R - Automotivo,2010-01-16,doc
0d5351808fadefc1e07dc3b4520fd1a6,8150,LISTA PRESENÇA,lista,2010-02-27,doc
0d67dedb78bf42764a8bbf001b861d3b,5702,Segunda reunião,"2-segunda reunião bazares, papelarias.....",2009-09-11,doc
0d752c7090893cab82a88958d55ddd6a,504,Planejamento,Resultados,2008-05-23,pdf
0d96c293def9e3d99f56e34788017910,4613,ATA - 17/06/2009,ATA 0018- 2009 - Diretoria CONJOVE,2009-07-01,doc
0da453859aef27fbdc7825fc29f0ee8f,12103,Reunião Realizada em 06/07/2011.,Reunião do Rural 06.07.2011,2012-06-22,doc
0dbd3d8235b9bc0ed4bde23d11dec1cb,8470,Ata 92ª Reunião,ATA ART 92ª 10042010,2010-04-19,doc
0dc9ae56cec9ae1077cf4928602e5ef5,10596,Pauta,Pauta_22 de fevereiro,2011-03-01,jpg
0dd62938168e6532a1f39198400c318a,5920,lista palestra 2,doc22092009133944,2009-09-22,pdf
0de46fbb3a2fbc50b0f936a03f4f550c,7278,3 ATA,3 ata beleza,2009-12-15,doc
0df482b62b547b68d8cc1fe27c0ad3a3,11947,Reunião,HPIM4840.JPG,2012-03-30,jpg
0e0e4fc5cd144a5932c36a638a3c4448,7301,FOTO LANÇAMENTO,empreender 7,2009-12-15,jpg
0e144f9d0c3800c0dd66b8fd55bbf169,12012,Reunião realizada em 10/05/2012,Reunião 10.05.12,2012-05-11,doc
0e49409ab310a52e371b103b28d5f4fa,12121,Reunião Realizada em 19/01/2012.,Reunião NAES 19.01.12,2012-06-28,doc
0e4eb41cf6bf307648ce4d9aef0b4bd7,9488,Lista de presença 1.,19 de agosto_1,2010-08-27,jpg
0e671b862a2d1412d63b40d087ebb216,8683,Atendimento ao Cliente,Atendimento ao Cliente - 19 05 10,2010-05-20,ppt
0e815cab1c6022f9f7828e714f13fdde,7769,Lista Presença,lista6,2010-01-19,doc
0e9747825cddecbe6e110c3c97ca2d9d,1266,DESCRIÇÃO,Alimínio 20-10-06 8a.,2008-08-11,doc
0ea9d97be4da7ff7da61c070524606a8,11193,Reunião do dia 28/03/2011,Reunião Aventura 28.03.11,2011-06-29,doc
0ead2de2b06c41ddeab3b04c98479389,4443,questionário pesquisa,Pesquisa Núcleo de turismo,2009-06-23,doc
0eb03daf2deadd3cd2a48ae1cb9f151b,2793,Reunião 07/07/2008,7 julho,2008-12-15,doc
0eb9b2eecbcbc23dae63e891a4bbd8a0,5510,relatório de reunião,Núcleo de tapeçarias,2009-09-01,doc
0ebeba7c5f218f7e4f41e8d8cc4b33ed,5126,relatorio,Beleza 01-06,2009-08-08,doc
0ee4c28503a0232e3c06b33e7642c4de,2783,Jornal Semana da Beleza,Jornal Semana da Beleza,2008-12-12,doc
0f7e6be42586b721091658b2fd73cbbc,1335,Apresentação Baterias SENAI/BAURU,Conhecendo as Baterias,2008-08-19,ppt
0f831b5d29362e2b9947124fbc770912,5128,relatorio,Beleza 29 junho,2009-08-08,doc
0fa20d839567e778be65aa6e314690f8,6605,ATA OFICIAL 5ª REUNIAO,ATA 5ª REUNIAO INFORMATICA,2009-11-11,doc
0fac9c66f0dd2dc80c4888e02663d70a,10597,Lista de presença 4 - Funcionários,Workshop Pólo - Funcionários_4,2011-03-01,jpg
0faf812925ac47ed9f0356692943aea1,3856,Reunião nº 69 - 04-2009,69  R.MSG 05- 2009,2009-05-13,doc
0fb833bfae40cbd0329a77ffa03c5f43,3547,Relatório da reunião,ASFAM 10.03.09,2009-04-22,doc
0fe22bad15072d086a87e65210735989,3968,Relatorio de reunião,reunião 22 18.04,2009-05-22,doc
0fe42b5c894f37066cc043c585e45d34,10597,Lista de presença 2 - Funcionários,Workshop Pólo - Funcionários_2,2011-03-01,jpg
0feaa75f882708fa46ba5f626359ff52,10775,Lista de presença 1.,Workshop_17 de março_SEBRAE_1,2011-04-12,jpg
0feaaff06b56ea7a86148599fd049d71,5926,RELATORIO,Relatório Atividades palestra gerenciamento do atendimento ao cliente 20-07-09,2009-12-11,doc
0feaaff06b56ea7a86148599fd049d71,7303,RELATORIO,Relatório Atividades palestra gerenciamento do atendimento ao cliente 20-07-09,2009-12-15,doc
0ff0753b6dac07840a88e9d107f4aa95,11711,Renovação das Carteirinhas da SUTACO,Sutaco  22 nov. 2011 (1).JPG,2011-12-14,jpg
0ff7660c9cee657602aa9c26631255e1,169,Planejamento de compras 2008,Planejamento de compras de Auto Elétricas,2008-03-15,doc
100e2148880140a6d514bf5b1ce02697,7301,FOTO LANÇAMENTO,empreender 1,2009-12-15,jpg
101d7a08f878d0581629cdcd925e2a51,12548,Reunião de Trabalho - 26/01/2012 - 16h,Reunião Trabalho  Hospedagem - 26.01.2012,2012-12-31,docx
101fb31865acfa309e56b8193d86c6f3,7752,Ata,ATA 22,2010-01-19,doc
102333bc21cd4743cda49a57c3b6a712,4828,Relatório Reunião 24-06-2009 - Varejo,Relatório de Atividades - Nucleo Varejista (24-06-2009),2009-07-14,doc
10357170432253422aeaeb459830ba32,9576,Lista de presença 1.,31 de agosto_1,2010-09-01,jpg
103665d54ae64c200e32f2c917829e16,1001,ATA DA REUNIÃO,05 Ata de reunião 16 06 08,2008-07-28,doc
1058dee5845545454e5974de74948c96,1835,ata da reunião em anexo.,Ata de Reunião  11-  18 09 08,2008-10-03,doc
105e51b0ebec4728e5d8a064de870b1d,9316,Ata da Reunião,Ata0 03-2010,2010-08-02,doc
1075789a082c2e3f18ee35a07729cf8d,10821,Comunicado 1,COMUNICADO PEQUENAS CAUSAS,2011-04-18,doc
109da2dd90ca3ffff7c61f3afbeedfe7,7617,Reunião com Bio-Access,DSC07949.JPG,2010-01-06,jpg
10abaea8d155f6f913a0692f7f328208,10464,Lista de presença 1;,25 de janeiro_1,2011-02-02,jpg
10bd60fd0208a442fabdb16bd81b6134,12839,ATA,2013_06 ACIM MULHER Relatório de Reunião 30-04-2013,2013-05-17,docx
10d4bc12dc533056dd10561d0cc348a1,1194,relatório de reunião,"04, relatório de reunião (Planejamento da SecTur)",2008-08-05,doc
10d913bb7afa9d18de0c8a7461f04f76,11114,Apresentação do software,NIFB,2011-06-09,pptx
1102f795d969140efaccaae967ef407a,2713,Fotos do evento,P1010059.JPG,2008-11-26,jpg
116194834772c81d0a8a803776773c73,7560,8º Reunião,8º Reunião N. Automotivo- A&R,2010-01-02,doc
1172fbccb9a7886cd645eebf6ff6027c,8302,1º Encontro de lojistas da Vila Prado,Relatório de reunião Vila Prado 25.03.10,2010-04-01,doc
1181332c002d12ef86321f6add2bb88d,7000,RELATORIO DO EVENTO,reunião 39 27.11,2009-12-02,doc
118fc8c9174b1d0b71650b7d4b694b40,7847,28º Relatório A&R 08,28º Reunião N. Beleza- A&R,2010-01-25,doc
11a2c9c27f948d1e49e9891f0e6ee5f5,778,30ª reunião núcleo,ata 30 reuniao nucleo confeccoes,2008-06-23,doc
