id,nome,descricao,ativo,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
28,Origem incorreta,"O registro foi realizado na * Origem do crédito incorreta. 
Verificar a IDENTIFICAÇÃO DA FONTE DE RECEITAS e corrigir.",false,2019-06-25 13:06:58,patriciarego,2022-03-14 17:17:55,nmabeck
29,Ajuste 189,Necessidade de ajustes dos dados do projeto 189,false,2019-07-09 09:36:47,renato.rossi,2022-03-14 17:11:12,nmabeck
30,Ausência de dados bancários,Inserir os dados bancários para pagamento.,false,2020-07-30 16:20:16,patriciarego,2022-03-14 17:03:25,nmabeck
31,Ausência do nº de parcelas,Inserir na descrição do lançamento o nº da parcela do contrato.,false,2020-07-30 16:25:15,patriciarego,2022-03-14 17:04:17,nmabeck
32,Ausência de lançamento (rateio de nota fiscal),FALTA LANÇAMENTO PARA FECHAR O VALOR DA NOTA FISCAL,false,2020-09-22 17:49:04,patriciarego,2022-03-14 17:13:10,nmabeck
33,Ausência de saldo suficiente para aprovação do lançamento,,false,2020-09-23 13:49:44,nmabeck,2022-03-14 17:14:17,nmabeck
34,Erro do sistema,Mistura entre arquivos de diferentes lançamentos.,false,2020-12-18 08:20:08,patriciarego,2022-03-14 17:15:58,nmabeck
35,Receita efetuada fora da vigência do convênio,,false,2021-01-12 15:55:35,nmabeck,2022-03-14 17:07:34,nmabeck
36,Despesas efetuada fora da vigência do contrato,,false,2021-02-05 09:50:40,patriciarego,2022-03-14 17:07:04,nmabeck
37,Arquivo não apresenta formato PDF ou JPEG,,false,2021-04-27 10:50:52,nmabeck,2022-03-14 16:57:24,nmabeck
38,Ausência de Lançamentos Econômicos,Realizar o registro das despesas econômicas,false,2021-10-22 16:02:15,nmabeck,2022-03-14 17:13:45,nmabeck
39,"Problemas com documentos anexados(danificado,vazio,ilegível,inexistente)",,true,2022-03-14 16:25:30,nmabeck,2022-03-14 16:27:41,nmabeck
40,Documento apresenta informações incompletas ou incorretas,,true,2022-03-14 16:29:32,nmabeck,2022-03-14 16:29:32,nmabeck
41,Ausência de dados bancários ou informações divergentes do prestador de serviços,,true,2022-03-14 16:31:32,nmabeck,2022-03-14 16:31:32,nmabeck
42,Lançamento da despesa incompleto ou incorreto,,true,2022-03-14 16:33:10,nmabeck,2022-03-14 16:49:35,nmabeck
43,Lançamento em não conformidade com o projeto,,true,2022-03-14 16:34:18,nmabeck,2022-03-14 16:34:18,nmabeck
44,Origem do recurso incorreta,,true,2022-03-14 16:39:35,nmabeck,2022-03-14 16:39:35,nmabeck
45,Não há recursos disponíveis no projeto para esse lançamento,,true,2022-03-14 16:41:15,nmabeck,2022-03-14 16:41:15,nmabeck
46,Outros,,true,2022-03-14 16:42:53,nmabeck,2022-03-14 16:42:53,nmabeck
