idfaq,cdsistema,cdmodulo,txpergunta,txresposta,dtcadastro,flativo,nuordem
16,PrestContas,Parcelas,E quanto a necessidade de três orçamentos e procedimentos cotação preços para viagens? O que fazer?,"Segundo INS 41. Pág.6/7 item 9.3 – “as exigências previstas nesta Instrução Normativa, quanto às peças que compõem a prestação de contas” seguem alguns procedimentos administrativos, financeiro e contábil do SEBRAE das compras e contratações de serviços:

 

1.     Na utilização dos recursos SEBRAE é obrigatória a realização de procedimento seletivo, seja via Licitação e/ou Cotação de preço, que deve ser certificado pelo executor, conforme a norma regente, IN nº 41/04 – se houve Cotação Prévia de Preço.

 

NOTA: certificar que a documentação relativa ao certame esteja devidamente arquivada e de fácil acesso.

 

2.     Os procedimentos de Cotação Prévia de Preço encontram-se listados na IN nº 41/01 a 04, Anexo X. A documentação pertinente ao certame deve ficar apensada ao pagamento desde a solicitação de serviço ou produto aos fornecedores às propostas enviadas.

 

NOTA INFORMATIVA 2:

(i) nos casos em que a solicitação e as propostas forem efetuadas por e-mail é prudente que fique em arquivo eletrônico próprio.

(ii) apensar aos respectivos processos de cotação de preço as solicitações de proposta aos fornecedores.

(iii) atentar, no momento do convite aos fornecedores, para o princípio impessoalidade, promovendo também pesquisa que possibilite viabilizar os preços cotados.

(iv) dispor de elementos que fundamentem a inviabilidade de cotação de preço quando houver.

 

3.     Despesas de viagem quando forem pagas com recursos do SEBRAE é necessária a confecção de relatório sintético de viagem.

 

4.     O documento referente ao adiantamento de viagem deverá ser anexado à prestação de contas, contendo a documentação original (Recibos e/ou Faturas, Notas Simplificadas de Consumo, Tíquetes de Embarque, Cupom Fiscal ou tíquetes de estacionamento) dos gastos efetuados, com atesto de recebimento do serviço e/ou produto, pelo responsável do convênio. A Nota Fiscal não poderá ser retroativa a data da liberação do recurso, devendo estar dentro do prazo de validade para sua emissão, conter a descrição dos serviços e/ou produto, valor unitário, quantidade e valor total.",2017-09-04,N,14
17,Empreender Competitivo,Acompanhamento financeiro,Qual o valor de cada projeto?,"Não há um valor estabelecido. A média é de R$ 190 mil, mas não há qualquer obrigatoriedade de seguir este valor. O importante é que os valores propostos sejam coerentes com as ações indicadas no projeto. Naturalmente, é de se esperar que os projetos estaduais tenham valores maiores que os projetos individuais. Nas edições anteriores a maioria dos projetos esteva abaixo da média, mas ocorreram casos de projetos com valores superiores.",2018-05-10,N,15
18,Currículos,Busca,Testte,resposta,2017-09-04,N,16
19,Empreender Competitivo,Acompanhamento financeiro,Quando devem iniciar os projetos?,Os projetos devem ser concebidos de modo a iniciar a partir de 02 de janeiro de 2018.,2018-05-10,N,17
20,E2022 - Apoio a demandas/Empreender Competitivo,Acompanhamento financeiro,Já tenho uma conta no Banco do Brasil que uso para a movimentação da entidade. Posso usá-la para movimentar os recursos do projeto?,"Não. A conta a ser utilizada deve ser criada especialmente para a movimentação dos recursos do projeto, sejam eles oriundos do subsídio, sejam referentes à contrapartida",2022-05-16,S,18
21,E2022 - Apoio a demandas/Empreender Competitivo,Acompanhamento financeiro,O saldo da conta exclusiva pode ser aplicado?,"Os recursos cuja previsão de utilização seja superior a 30 dias devem ser mantidos em aplicação financeira ou caderneta de poupança vinculada à conta exclusiva, segundo estabelece a Instrução Normativa 41 do Sebrae, mas deve-se ter em mente que os rendimentos não podem ser utilizados sem autorização expressa da CACB.",2022-05-19,S,19
22,Empreender Competitivo,Acompanhamento financeiro,"Porque 70,97% e 29,03%?","A princípio pode parecer estranho, é verdade. 

70,97% corresponde à parcela máxima do subsídio em relação aos recursos financeiros do projeto.

Vale lembrar que as regras estabelecem:

Subsídio - 55% do valor total do projeto (valor máximo)
Contrapartida financeira- 22,5% do valor total do projeto (valor mínimo)
Contrapartida econômica - 22,5% do valor total do projeto.

Assim os 55% do valor total do projeto, equivalem a 70,97% dos recursos financeiros - 55% / (55%+22,5%). 

Entendido os 70,97%, fica fácil entender os 29,3, que correspondem ao valor da contrapartida financeira em relação aos gastos financeiros.",2017-09-04,N,20
23,Empreender Competitivo,Acompanhamento financeiro,"Porque 70,97% e 29,03%?","A princípio pode parecer estranho, é verdade. 

70,97% corresponde à parcela máxima do subsídio em relação aos recursos financeiros do projeto.

Vale lembrar que as regras estabelecem:

Subsídio - 55% do valor total do projeto (valor máximo)
Contrapartida financeira- 22,5% do valor total do projeto (valor mínimo)
Contrapartida econômica - 22,5% do valor total do projeto.

Assim os 55% do valor total do projeto, equivalem a 70,97% dos recursos financeiros - 55% / (55%+22,5%). 

Entendido os 70,97%, fica fácil entender os 29,3, que correspondem ao valor da contrapartida financeira em relação aos gastos financeiros.",2018-05-10,N,21
24,Empreender Competitivo,Acompanhamento financeiro,Minha dúvida refere-se às obrigações das entidades proponentes para com a CACB. Sobre o que se trata este item?,"Em geral o relacionamento das ACEs com a CACB se dá por meio de projetos. Assim, você deve verificar se há alguma pendência relativa a projetos em andamento ou já encerrados. 

No caso das federações, além dos projetos, há a contribuição associativa e outros compromissos que tenham assumido com a CACB.<",2018-05-10,N,24
25,Empreender Competitivo,Acompanhamento financeiro,"No item 6.5 B o correto não seria Anexo II, em lugar de Anexo III","Sim. Por isso foi publicada uma errata, corrigindo o engano.",2018-05-10,N,22
26,E2022 - Apoio a demandas/Empreender Competitivo,Acompanhamento financeiro,O que é contrapartida financeira e o que é contrapartida econômica?,"Como indicado na Resolução CDN nº 333/2019 - 

Contrapartida financeira: recursos financeiros, próprios ou de terceiros que tenham sido captados pelos partícipes para aporte em conta bancária única do projeto;

Contrapartida econômica: recursos aportados pelos partícipes no projeto, economicamente mensuráveis, sem o desembolso financeiro direto, mas computados os bens, os serviços e a mão de obra alocada no projeto e comprovados por meio de folha de pagamento, registros contábeis e/ou pesquisa de mercado;",2022-05-16,S,25
27,Empreender Competitivo,Acompanhamento financeiro,Não consigo encontrar um indicador para meu resultado finalístico.,"Se for de todo impossível encontrar na planilha publicada um indicador adequado ao resultado finalístico de seu projeto, adote os seguintes passos: (1) verifique se o resultado está formulado corretamente e se ele realmente é o que melhor pode representar o resultado do projeto. Se não, altere o resultado e busque o respectivo indicador.(2) Se ainda assim, o indicador que julgue adequado não estiver na planilha, indique um novo que será analisado quando à adequação ao projeto.",2018-05-10,N,26
28,Empreender Competitivo,Acompanhamento financeiro,"É necessário ter a rubrica de todos os empresários em todas as páginas da proposta, mesmo que seja um número muito grande?","Embora o edital não tenha previsto exceções, entende-se as propostas com mais de um núcleo setorial podem conter apenas as rubricas de um representante de cada um dos núcleos, além dos representantes da entidade proponente.",2017-11-01,N,27
29,Empreender Competitivo,Acompanhamento financeiro,"É necessária a assinatura de todos os empresários, mesmo que seja um número muito grande?","Embora o edital não tenha previsto exceções, entende-se nas propostas com mais de cinco núcleos setoriais as assinaturas dos empresários podem ser substituídas por assinaturas de um representante de cada núcleo envolvido",2017-11-01,N,29
30,Empreender Competitivo,Acompanhamento financeiro,As propostas precisam estar rubricadas pelos empresários todas as folhas?,"Sim, todas as páginas da proposta devem ser rubricas, pois como em qualquer documento, o usual é a assinatura ao final e a rubrica das demais páginas confirmando a concordância com todo o texto. Contudo, a bem da facilidade, duas exceções foram abertas em relação à assinatura e às rubricas. Peço que verifique as demais questões sobre o assunto.",2017-11-01,N,30
31,Empreender Competitivo,Acompanhamento financeiro,Quem precisa assinar as propostas?,"Esta questão foi alterada no Edital e o item 6.4A ganhou nova redação, simplificando o processo. O novo texto estabelece que as propostas devem ser assinadas - e rubricadas -  pelos representantes legais das entidades proponentes e um empresário representante de cada núcleo envolvido. O item 10 foi também modificado, lembrando que os convênios a serem celebrados exigirão a concordância formal das entidades proponentes e de todos os empresários envolvidos.",2017-11-01,N,31
32,Empreender Competitivo,Assuntos diversos,Apenas um teste,Resposta para apenas um teste,2018-05-10,N,33
33,Empreender Competitivo,Assuntos diversos,Apenas um teste,Resposta ao teste,2018-05-10,N,34
34,Empreender Competitivo,Acompanhamento financeiro,Quais os documentos de comprovação de despesas podem ser apresentados?,"A comprovação de despesas deve necessariamente ser feita por meio de nota ou cupom fiscal, preferencialmente emitidos de modo eletrônico. Excepcionalmente poderão ser aceitos recibos para despesas com taxi e estacionamento. Recibos poderão ainda ser aceitos quando houver a comprovação de que o prestador do serviço é entidade sem fins lucrativos.
Além das notas fiscais, devem ser anexados elementos como fotos, filmes, relatórios, listas de presença, entre outros, de modo a documentar a realização das ações. A CACB, sempre que julgar necessário, poderá solicitar elementos adicionais de modo a completar a perfeita documentação da realização das ações dos projetos apoiados.
Deverão ser apresentados relatórios de atividades preparados pelos prestadores de serviços para os serviços de consultoria e assessoria.
Quando ocorrer retenção de impostos, os respectivos recolhimentos deverão ser igualmente comprovados.",2022-05-16,N,32
35,Empreender Competitivo,Acompanhamento financeiro,"As despesas de viagem - alimentação, combustível, pedágio, estacionamento e hotel - podem ser consideradas como recurso da CACB?","As despesas devem seguir o previsto no quadro de previsão financeira da ação, conforme percentual descrito.",2018-06-05,N,35
36,Empreender Competitivo,Acompanhamento financeiro,Como devem ser comprovadas as despesas com deslocamento terrestre por automóvel?,"Estas despesas podem ser comprovadas de diferentes maneiras:

A.	Gastos com combustível, incluídos nos relatórios de viagem, acompanhados das respectivas notas fiscais e da indicação da distância percorrida.

B.	Reembolso por quilômetro rodado - recibo de reembolso ao transportador - necessariamente um empresário participante ou membro da equipe de projeto ligado à ACE ou entidade proponente. Este recibo além da identificação do transportador (nome e CPF e vínculo com o projeto) deve conter o percurso e a distância percorrida, além da fórmula ou referência adotada para a determinação do valor unitário (valor por quilômetro percorrido).",2022-05-18,N,36
37,E2022 - Apoio a demandas/Empreender Competitivo,Acompanhamento financeiro,Há um valor estipulado para gastos com refeições?,Não. O valor da despesa deve refletir a realidade local (estado e município) e estar alinhado com a previsão indicada na proposta/orçamento.,2022-05-16,S,37
38,Empreender Competitivo,Acompanhamento financeiro,Como devem ser apresentadas as despesas de viagem?,"As despesas de viagem - exceção feita a passagens e hospedagem - devem ser relacionadas em formulário próprio. Neste formulário todas as despesas devem ser relacionadas, tendo como anexo as respectivas notas ou cupons fiscais.

Os gastos devem ser compatíveis como os valores considerados nas ações dos projetos e com a realidade local das cidades em que forem realizados.

Alguns pontos adicionais devem ser observados:

A.	As passagens devem ser compradas de forma a atender o horário dos eventos, incluindo os deslocamentos necessários;
B.	A menos de justificativa que leve em conta o interesse do projeto, as passagens devem se referir ao trajeto entre a residência dos participantes e os locais dos eventos 
C.	As seguintes despesas não são elegíveis: bebidas alcoólicas, lavanderia, alterações de reservas de passagens ou hospedagem, telefone, assentos especiais ou quaisquer outras despesas não relacionadas à alimentação, transporte local ou hospedagem.",2022-05-16,N,38
39,E2022 - Apoio a demandas/Empreender Competitivo,Acompanhamento financeiro,Para ações envolvendo palestras/capacitações/consultoria há a necessidade de termo de referência e contrato?,"Sim, termos de referência e contratos são imprescindíveis.",2022-05-12,S,39
40,Empreender Competitivo,Acompanhamento financeiro,Há casos em que a apresentação de três orçamentos ou propostas pode ser dispensada?,Sim. Há casos em que a inviabilidade de competição pode ser demonstrada. Um documento específico sobre o tema será divulgado em breve.,2022-05-12,N,41
41,E2022 - Apoio a demandas/Empreender Competitivo,Acompanhamento financeiro,Como são apresentados aportes de contrapartida econômica?,"Os aportes de contrapartida econômica devem ser registrados no portal como despesas realizadas com recursos econômicos. Juntamente com o registro devem ser anexados documentos relativos à despesa efetivamente realizada ou elementos que comprovem o seu valor econômico, compatíveis com os praticados localmente (região onde o projeto está sendo executado). A utilização de equipamentos e estrutura da entidade proponente, bem como horas de trabalho de sua equipe em atividades do projeto, podem compor a contrapartida econômica.",2022-05-13,S,40
42,Empreender Competitivo,Acompanhamento financeiro,Existe um manual de instrução para questão de prestação de conta e orçamentos?,O manual está em preparação. Deve ser divulgado no decorrer de junho.,2022-05-12,N,42
43,Empreender Competitivo,Acompanhamento financeiro,É possível alterar prazos de ações?,"Sim, desde que as novas datas estejam contidas nos limites das datas do projeto como um todo. Todas as alterações devem ser comunicadas à CACB.",2022-05-12,N,43
44,E2022 - Apoio a demandas/Empreender Competitivo,Acompanhamento financeiro,Como “funciona” a conta do projeto?,"A conta do projeto é uma conta bancária de titularidade da entidade proponente, usada exclusivamente para os recursos do Empreender. Esta conta deve receber todos os recursos financeiros diretamente utilizados pelo projeto. Nela a CACB fará os aportes de subsídio assim como devem ser depositados os recursos de contrapartida financeira. Todas as despesas financeiras devem ser pagas com recursos da conta do projeto. As despesas pagas por outras contas não serão aprovadas.",2022-05-12,S,44
45,E2022 - Apoio a demandas/Empreender Competitivo,Acompanhamento financeiro,Pode ocorrer o reembolso de despesas feitas em nome de empresas participantes do projeto?,Não. Todas as despesas devem ser feitas em nome da entidade proponente e pagas com recursos da conta do projeto.,2022-05-12,S,45
46,E2022 - Apoio a demandas/Empreender Competitivo,Acompanhamento financeiro,Como são aportadas as contrapartidas financeiras?,"As contrapartidas financeiras devem ser depositadas na conta do projeto de acordo com o seu fluxo de caixa. Não há a necessidade de coincidência dos aportes com ações específicas. O importante é que toda a contrapartida financeira seja aportada à conta. Naturalmente, há que considerar que a CACB depositará sua parcela após a realização, registro e aprovação das despesas e considerando os aportes financeiros de contrapartida até então realizados. Vale lembrar ainda que o subsídio é limitado a 90% do valor previsto e a parcela final é depositada na conta após o encerramento do projeto. Por último, é importante lembrar que a responsabilidade pelo fluxo de caixa de cada projeto é da entidade proponente.",2022-05-12,S,46
47,Empreender Competitivo,Acompanhamento financeiro,É possível utilizar os rendimentos gerados com a aplicação financeira dos recursos do projeto?,Não. O uso destes recursos é condicionado à aprovação prévia do Sebrae. Mais adiante o tema será discutido no Comitê Gestor do projeto para que se possa discipliná-lo em definitivo.,2022-05-12,N,28
48,Empreender Competitivo,Acompanhamento financeiro,É possível contratar serviços às ACEs responsáveis pelos núcleos participantes de um projeto?,"Em princípio, não, pois a ACE é uma beneficiária, ainda que indireta, do projeto.
Situações muito particulares podem ser estudadas, a partir de consulta específica, devidamente descrita e justificada.",2022-05-12,N,47
49,E2022 - Apoio a demandas/Empreender Competitivo,Acompanhamento financeiro,É possível usar os rendimentos de aplicação financeira?,O uso dos rendimentos de aplicação financeira é condicionado à aprovação prévia da CACB,2022-05-12,S,48
50,Portal do Empreender,Empresas,Posso associar uma empresa a mais de um núcleo?,"Sim. Na tela de detalhe de empresa, use o botão ""Vincular Núcleo"" e adicione os núcleos dos quais a empresa participa. A tela de detalhes, ao final, apresenta uma relação dos núcleos aos quais a empresa está vinculada.",2021-04-09,S,49
51,Prêmio 21,Inscrição,Como se inscrever?,"Deve-se estar logado no Portal Empreender. Em seguida clique no item do menu superior “PROJETOS” e no subitem “Lista de Projetos”. Acesse a tela de detalhe do projeto que deseja inscrever e, no quadrante superior direito da tela, clique no botão “Participe do Prêmio Empreender 2021”. Após, basta acessar o botão “Cadastrar Proposta” no centro da tela, seguir os passos e fazer o upload da proposta.",2022-05-12,N,50
52,Prêmio 21,Inscrição,Quem pode se inscrever?,Todos os projetos participantes do Empreender Competitivo 2017-2021.,2022-05-12,N,51
53,E2022 - Apoio a demandas,Questões diversas,Existe uma concorrência de projetos na alocação de recursos?,"O modelo que vigorou até a edição que se encerrou neste ano teve
concorrência. Inicialmente, a CACB recebeu cerca de 240 propostas. Dessas, foram apoiadas cerca de 90 propostas.
Estamos estudando a possibilidade de induzir projetos a partir de
demandas identificadas junto às ACEs e Federações.",2022-05-11,S,52
54,E2022 - Apoio a demandas,Questões diversas,CACB apoia com tanto o financiamento total de projetos ou apoio com aportes parciais?,"Sim. O importante é que as ações apoiadas levem as empresas a
alcançar um resultado.",2022-05-18,N,53
55,E2022 - Apoio a demandas,Questões diversas,Existe um valor máximo por projeto?,"Não, porém somente a título de exemplo:
Um projeto de 12 meses, com 12 empresas, no valor de R$100 mil, tem uma contrapartida financeira de R$22,5 mil e uma contrapartida econômica de R$22,5 mil. Ou seja, são cerca de R$3.750,00 mensais de contrapartida. Ainda, se o projeto for composto somente de contrapartida financeira, cada um dos empresários deverão aportar cerca de R$312,50 mensais para o projeto.",2022-05-11,S,54
56,E2022 - Apoio a demandas,Questões diversas,"O projeto do Competitivo pode ser para completar um projeto maior a nível de município, como transformar em um pólo do segmento?",Sim. Desde que esteja associado à melhoria de competitividade das Micro e Pequenas Empresas: aumento do faturamento;. melhoria da qualidade dos produtos e serviços; qualificação da mão de obra; implementação de processos; etc.,2022-05-11,S,55
57,E2022 - Apoio a demandas,Questões diversas,É possível ter acesso aos modelos de projeto do Competitivo?,"O projeto é apresentado segundo uma estrutura definida pela CACB. Você pode ter acesso a esse modelo a partir do Portal do Empreender (www.empreender.org.br <http://www.empreender.org.br> ), ou junto à CACB. Ainda, a CACB pode tornar disponível os projetos apoiados mediante solicitação junto à  empreender@cacb.org.br <mailto:empreender@cacb.org.br>",2022-05-11,S,56
58,E2022 - Apoio a demandas,Questões diversas,"Para manifestar interesse em participar do Edital do Empreender, quem tem que manifestar é a Federação ou é cada Associação Comercial?","As propostas podem ser apresentadas por Federações vinculadas ao Sistema CACB, a partir do lançamento da Chamada, e não haverá um período específico para a sua submissão. A participação como entidade proponente é uma decisão da Federação, que poderá, a seu critério exclusivo, ceder esse direito para as Associações Comerciais.",2022-05-26,S,57
59,E2022 - Apoio a demandas,Questões diversas,A manifestação de interesse na chamada de propostas do Empreender é em formato de Ofício?,Não haverá formalização. A manifestação de interesse é feita diretamente pela simples inclusão de propostas no Portal do Empreender,2022-05-11,S,58
60,E2022 - Apoio a demandas,Questões diversas,Existe um limite máximo de participação por Estado?,"Não, mas a distribuição de recursos será acompanhada de modo a permitir um equilíbrio",2022-05-11,S,59
61,E2022 - Apoio a demandas,Acompanhamento financeiro,A contrapartida financeira é paga diretamente a CACB ou ao Sebrae?,A contrapartida financeira deve ser depositada na conta bancária do projeto,2022-05-19,S,60
62,E2022 - Apoio a demandas,Questões diversas,É necessário a existência de um Coordenador Estadual do Sebrae para acompanhamento do Empreender?,"O Sebrae poderá acompanhar o projeto nos  estados, em sintonia com o Sebrae Nacional e com as federações estaduais",2022-05-11,S,61
63,E2022 - Apoio a demandas,Questões diversas,A CACB ou o Sebrae farão a capacitação de um Consultor estadual para acompanhar os projetos?,Não há previsão para esta atividade na etapa de Apoio a demandas.,2022-05-11,S,62
64,E2022 - Apoio a demandas,Questões diversas,Qual o prazo máximo para duração dos projetos?,12 meses,2022-05-19,S,63
65,E2022 - Apoio a demandas,Acompanhamento financeiro,Posso correr o risco das despesas do projeto não serem aprovadas?,"As despesas devem obedecer à Instrução Normativa 41 do Sebrae e à Resolução CDN nº 333/2019, às orientações da CACB, bem como às condições estabelecidas no âmbito da chamada de propostas.",2022-05-19,S,64
66,E2022 - Apoio a demandas,Questões diversas,O que é preciso para uma entidade ser considerada habilitada?,"-	Estar com cadastro atualizado no Portal do Empreender.
-	Estar em dia com suas obrigações associativas para com a CACB e/ou Federações.
-	Manter a documentação complementar, adiante indicada, atualizada no Portal do Empreender:
a)	Certificado de inscrição no Cadastro Nacional de Pessoa Jurídica do Ministério da Fazenda – CNPJ; 
b)	Estatuto social, com alterações posteriores consolidadas, registrados nos órgãos competentes; 
c)	Ata de eleição ou ato de designação das pessoas habilitadas a representar a pessoa jurídica; 
d)	Balanço do exercício anterior e balancete atualizado pelo menos até o trimestre anterior à habilitação.
e)	Documento de identidade dos representantes legais da entidade e da inscrição no CPF ou de documento equivalente válido.
f)	Certidão de ausência de pendências do proponente junto ao Sistema Sebrae.
g)	Certidões de regularidade fiscal: 
	Certidão negativa de débitos relativos aos tributos federais e à dívida ativa da união;
	Certificado de Regularidade do FGTS – CRF; 
	Certidão Negativa de Débito Estadual;
	Certidão Negativa de Débitos Trabalhistas;
	Certidão Negativa de Débito Municipal, do domicílio ou da sede do proponente ou outra equivalente na forma da lei. Na sua falta, deverá ser apresentada declaração do proponente, assinada pelos representantes legais ou pelo seu contador, informando que possui isenção tributária e se responsabiliza pela informação prestada. 
-	Aceitar as condições gerais de participação da chamada de propostas.
a)	A própria submissão da proposta será considerada como uma declaração de concordância da entidade proponente em relação aos termos vigentes da Chamada e seus anexos.",2022-05-19,S,65
67,E2022 - Apoio a demandas,Acompanhamento financeiro,"Qual o documento obrigatório, que deve ser anexado em todos os lançamentos de despesas financeiras registradas no Portal?","Extrato da conta do projeto, indicando a saída do recurso da conta para o pagamento da despesa registrada.",2022-05-19,S,66
68,E2022 - Apoio a demandas,Acompanhamento financeiro,Como demonstrar que a contrapartida financeira foi depositada na conta do projeto?,"Por meio do registro da receita no Portal, dos seguintes documentos: extrato da conta do projeto indicando a entrada do recurso na conta e do comprovante do depósito.",2022-05-20,S,67
69,E2022 - Apoio a demandas,Portal,Onde posso relatar os erros apresentados pelo Portal?,"Pelo ""Algo deu errado"" localizado no canto inferior direito da tela.",2022-05-20,S,68
70,E2022 - Apoio a demandas,Acompanhamento financeiro,Como se dará o processo de conclusão dos projetos?,"Ao término do projeto deverão, no prazo máximo de 30 dias, ser apresentados os documentos técnicos e financeiros de encerramento, de acordo com as instruções a serem passadas pela CACB.",2022-05-20,S,69
71,E2022 - Apoio a demandas,Questões diversas,Porque é necessária a atualização da documentação e do cadastro da entidade no Portal?,"Para a entidade permanecer habilitada, pois a CACB verificará a validade da habilitação a cada nova proposta aprovada.",2022-05-20,S,70
72,E2022 - Apoio a demandas,Questões diversas,Por quanto tempo a entidade precisa guardar os documentos relativos à execução dos projetos?,"Manter sob sua guarda, pelo prazo de dez anos após o encerramento dos projetos, em perfeitas condições, todos os documentos relativos à execução dos projetos, em especial os documentos fiscais;",2022-05-20,S,71
73,E2022 - Apoio a demandas,Questões diversas,Um dos documentos exigidos para a habilitação da entidade proponente é a Certidão de ausência de pendências do proponente junto ao Sistema Sebrae. Que documento seria esse?,"Seria uma Declaração do SEBRAE UF, certificando que a entidade proponente não possui pendências junto a ele.",2022-05-26,S,72
74,E2022 - Apoio a demandas,Questões diversas,"Onde encontrar as logomarcas do projeto e das entidades, que devem ser usadas nos materiais institucionais, de acordo com o item h das informações adicionais do Edital?""","No Portal do Empreender, em Arquivos, você encontrará as logomarcas do Empreender, do Sebrae e da CACB, além de um manual que ensina a sequência correta das logos.
Em breve, as logos e o manual estarão disponíveis também no site www.cacb.org.br/empreender.
Dúvidas sobre aplicação de logomarca podem ser enviadas para o e-mail: joana.albuquerque@cacb.org.br",2022-05-30,S,73
107,E2022 - Apoio a demandas,Questões diversas,"Poderão participar do edital empresários que não tenham CNPJ? Apenas registro no conselho responsável? Ex: nutricionistas, produtor rural, guia de turismo, etc.","No projeto aprovado no Sebrae, para o eixo de ""Melhoria da Competitividade das MPEs"" no qual se enquadra o ""Apoio a demandas"" está previsto como público alvo: Microempresas e empresas de pequeno porte vinculadas a entidades empresariais. Nesse eixo, nem os Microempreendedores Individuais (MEIs) estão incluídos nos atendimentos. Como a título de exceção, poderíamos aceitar somente os produtores rurais.",2022-06-03,S,74
