idprojeto,idnucleo,nmprojeto,dtini,dtfim,dsobjetivo,vlcacb,vltotal,idbanco,dsagencia,dsconta,flcompleto,nuctr,operacao,termoadt,dspublicoalvo,dsresultado,dtassinaturaadt,flstatus,idgestorprojeto,vlcontrafinan,vlcontraecono,vlsubtotal,dsprojeto,nuduracao,identidadeprop,dsresultado2,dsresultado3,idprojeto_projeto_base,tipo_projeto,sistematica_financeira,forma_liberacao,orcamento_obrigatorio,identidadeexec,nmfantasia,dtini_realizada,dtfim_realizada,iddocsanexar,iddocsencerramento,idmodelosimpressao,dtfim_nova,dtini_nova,conta_tipo,pix_tipo,pix_chave,termino_solicitado,pj_restrito,premissas,id_projeto_classe,moeda_adicional,metas_vinculadas,financiamento_compartilhado,conta_corrente_cacb
71,22212,Aumento da Competividade das Automecânicas de Maravilha - SC,2013-08-01,2015-08-01,"Promover o aumento da competitividade das automecânicas nucleadas através do desenvolvimento técnico-profissional, de gestão e empreendedorismo.",55713.7700000000,99488.89,1  ,4236-6,3300-6,nao  ,,,206,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumentar em 24% o faturamento das empresas nucleadas em relação ao mesmo período do ano anterior,2013-08-01,concl,05079169990,21887.5600000000,21887.5600000000,43775.1200000000,"O núcleo de Automecânicas de Maravilha participa desde 13/07/1998 no processo do Programa Empreender, ou seja, completará 15 anos em 2013. Neste período o programa proporcionou grande melhora nas empresas participantes, e neste momento o grupo sente necessidade de reciclar e confirmar sua parceria associativista. Fomentar ações no projeto que atendam as atuais necessidades profissionais, promovendo ainda mais a integração do grupo, podendo com isso manter a perenidade que lhe é notória.",24,8,"Aumentar a satisfação dos clientes em 65% em 70% das empresas, até o final do projeto.",,190,APOIADO,,,,,SC - MARAVILHA - Automecânicas,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
72,22211,Desenvolvimento do Turismo Comercial no Munícipio de Maravilha - SC,2013-08-01,2015-08-01,"Promover o fortalecimento das empresas nucleadas, por meio do desenvolvimento de ações em datas comemorativas para atrair clientes das cidades próximas aumentando a competitividade do comércio varejista local.",169200.0000000000,302800.00,1  ,4236-6,3300-6,nao  ,,,205,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumentar em 25% o faturamento das empresas nucleadas ao final do projeto.,2013-08-01,concl,05079169990,67100.0000000000,66500.0000000000,133600.0000000000,"O Núcleo de Desenvolvimento Comercial de Maravilha existe com esta denominação desde o ano de 2006, quando passou a atuar com foco no comércio local. Antes disso, desde 1999 era denominado Núcleo de Turismo, quando atuava no desenvolvimento do turismo no município. Neste aspecto, resgatando as raízes de atuação do núcleo, identificou-se a necessidade de desenvolver na cidade um turismo comercial eventual, promovendo atividades que atraiam o público de sua microrregião, em que é pólo, atingindo nove municípios. 
As ações serão atrações em datas comemorativas, (Natal, Páscoa, Dia das Crianças e Dia das Mães), que causem impacto turístico, buscando clientes de outros municípios, e evitando que clientes locais se desloquem a outros centros.",24,8,Aumentar em 10% a carteira geral de clientes até o final do projeto.,,190,APOIADO,,,,,SC - MARAVILHA - Comércio varejista,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
73,22213,Desenvolvimento do Setor Metalmecânico dos Municípios de Maravilha e Iporã do Oeste,2013-08-01,2015-08-01,"Promover maior eficiência na gestão das empresas participantes com qualidade dos produtos e serviços realizados. Aperfeiçoar a mão de obra técnico-profissional existente, para que sejam mais competitivas no mercado podendo melhor atender seus clientes.",83713.7800000000,149488.90,1  ,4236-6,3300-6,nao  ,,,207,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,"Promover a melhoria de 2 processos nas empresas, sejam produtivos ou gerenciais.",2013-08-01,concl,05079169990,32887.5600000000,32887.5600000000,65775.1200000000,"O setor Metalmecânico na região extremo oeste catarinense nos últimos anos vem se destacando pelas novas empresas que surgiram, sendo a maioria delas micro e pequenas empresas, prestadoras de serviços de industrias maiores. Esta crescente faz com que haja uma necessidade constante de aperfeiçoamento técnico-profissional das empresas, para que possam se manter competitivas no mercado e melhor atender seus clientes. 
Na última edição do projeto os núcleos puderam desfrutar de ótimas oportunidades de melhoria e desenvolvimento na qualificação de mão de obra. Neste momento a continuidade destas ações é necessária para melhorar ainda mais os processos nas empresas participantes.",24,8,Aumentar em 6% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto.,Aumentar em 8% o faturamento das empresas participantes do núcleo de Iporã do Oeste até o fim do projeto.,190,APOIADO,,,,,SC - MARAVILHA - Metalmecânica,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
74,22203,Abrindo novos mercados para os moveleiros do Oeste Catarinense,2013-08-01,2015-08-01,"Promover o acesso a novos mercados através do lançamento de uma marca coletiva de móveis, com foco em preço e qualidade diferenciados reformulação do sistema de orçamentação e preço das empresas de Concórdia proporcionando o desenvolvimento econômico das empresas.",119438.8900000000,213288.89,1  ,4236-6,3300-6,nao  ,,,196,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumento de 10% no faturamento das empresas participantes até junho de 2015.,2013-08-01,concl,05079169990,70822.2800000000,23027.7200000000,93850.0000000000,"O Núcleo de Moveleiros da ACIP foi criado em 2008 e o Núcleo de Moveleiros de Concordia foi criado em 1999 reunindo micro e pequenas empresas do setor moveleiro do município e dos municípios vizinhos, sendo todas fabricantes de móveis sob medida, foi criada e registrada a marca NOZ para as empresas de Pinhalzinho visando à criação de produtos e atuação de forma conjunta em mercados estratégicos para as empresas, e o núcleo de Concordia pretende melhorar e profissionalizar o processo de orçamentação de moveis, as ações dos núcleos visam proporcionar às empresas o acesso a novos mercados.",24,8,"Adicionar 06 (seis) produtos novos ao portfólio da marca até julho de 2014, e mais 06 (seis) produtos novos até julho de 2015.",,190,APOIADO,,,,,SC - PINHALZINHO - Móveis - indústria,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
75,22180,A expansão da Vitivinicultura da cidade de Quilombo - SC,2013-08-01,2015-08-01,Promover transição da produção artesanal para a produção comercial por meio do desenvolvimento de ações tecnológicas e melhoria de produção.,49850.1100000000,89018.94,1  ,4236-6,3300-6,nao  ,,,171,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumentar em 10% a quantidade de mudas de parreiras plantadas até o final do projeto.,2013-08-01,concl,05079169990,19584.3900000000,19584.4400000000,39168.8300000000,"O Núcleo Setorial de Vitivinicultores é formado por pequenos produtores rurais do município de Quilombo, são famílias agricultoras, descendentes italianos que cultivam a cultura e a tradição de produção de uva e vinho. O núcleo foi criado no ano de 2009 com objetivo de atender as necessidades dos nucleados na melhoria da qualidade do vinho para inserir o produto no mercado, algumas ações já foram realizadas como a substituição de vasilhame para engarrafamento do vinho e a criação dos rótulos para cada produtor.",24,8,Aumentar em 20% a quantidade da produção de vinho até o final do projeto.,,190,APOIADO,,,,,SC - QUILOMBO - Outros,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
76,22198,Projeto de Excelência nas Empresas do Núcleo Imobilário da ACIRS,2013-08-01,2015-08-01,"Promover o aumento das vendas por meio da melhoria da gestão e dos processos internos, e da criação de diferencial competitivo das empresas participantes do projeto.",56688.2200000000,101222.22,1  ,4236-6,3300-6,nao  ,,,191,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumentar o faturamento em 8% até 2015,2013-08-01,concl,05079169990,22267.0000000000,22267.0000000000,44534.0000000000,"O crescimento do mercado imobiliário é a principal razão pela qual essa área se apresenta como investimento seguro e rentável. Imóveis sempre representaram no Brasil uma excelente opção de investimento, a oscilação e fragilidade da economia dos Estados Unidos e dos países europeus, aliados as obras relacionadas à Copa do Mundo impulsionaram ainda mais o mercado.
A velocidade com que o investidor pode se desfazer do investimento também é uma vantagem. Para iniciar um investimento imobiliário, é importante selecionar bem as imobiliárias parceiras, isso faz com que o núcleo de imobiliárias fique fortalecido e invista em ações de melhoria. 
A necessidade de investimento em qualidade das pessoas e dos serviços é fundamental, pois os corretores são o cartão de visita para qualquer cidade, porque ao ter interesse por um imóvel em uma cidade procurar-se primeiro informações desta, como infra-estrutura, população, lazer entre outros e geralmente este questionamentos são feitos aos corretores.",24,8,Elevar a contratação de mão de obra em 5% até 2015,Melhoria de 2 processos interno,190,APOIADO,,,,,SC - RIO DO SUL - Imobiliárias,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
77,22225,Projeto de Gestão da Inovação para o Alto Vale do Itajaí,2013-08-01,2015-08-01,"Promover o desenvolvimento das empresas do setor de TIC, por meio de parceiras com a transferência de tecnologia e qualificação técnica com estímulo à inovação e empreendedorismo.",140047.1000000000,250111.10,1  ,4236-6,3300-6,nao  ,,,203,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumentar o número de projetos de pesquisa e desenvolvimento dentro das empresas em 20% no decorrer do projeto,2013-08-01,concl,05079169990,55032.0000000000,55032.0000000000,110064.0000000000,"O setor de Tecnologia do Alto Vale do Itajaí vem ganhando cada vez mais espaço no mercado, onde se percebe um forte crescimento nos últimos anos, este que acompanha o crescimento do setor no estado que é de 20% a 30% a.a. conforme pesquisa do SINDPDSC (Sindicato dos Processadores de Dados de Santa Catarina). Ainda Levando em consideração que o setor de TI é atividade meio para os diversos outros setores, fornecendo suporte as diversas atividades desenvolvidas por estes através das soluções oferecidas. Atualmente o setor sofre com a falta de mão de obra, que não acompanha o índice de crescimento, segundo pesquisa da ACATE (Associação Catarinense de Empresas de Tecnologia) o déficit anual de mão de obra do setor é de 20%. A variada gama de clientes e esta evolução natural do mercado provoca nas empresas a necessidade de inovação e gerenciamento do crescimento das empresas sem perder a qualidade de serviço",24,8,Aumentar o número de clientes em 10% até a conclusão do projeto,,190,APOIADO,,,,,SC - RIO DO SUL - Informática - serviços,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
78,22199,Desenv. da educação empreendedora para o crescimento das empresas do Núcleo da Mulher Empresária da ACIRS,2013-08-01,2015-08-01,"Apoiar e gerar o desenvolvimento da educação empreendedora nas empresas nucleadas lideradas por mulheres através de ações de acesso a mercados, treinamentos e educação corporativa voltada ao empreendedorismo.",38017.7900000000,67888.90,1  ,4236-6,3300-6,nao  ,,,192,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumento da contratação de mão de obra em 10% até 2015.,2013-08-01,concl,05079169990,14935.5600000000,14935.5500000000,29871.1100000000,"Mais organizada, dedicada, responsável e sempre em busca de excelentes resultados. Essas características representam o perfil da mulher atual, que a cada dia ocupa mais espaço na sociedade, no trabalho e, principalmente, frente às pequenas, médias e grandes empresas. E não estão apenas como contratadas, mas gerenciando negócios de sucesso, muitas vezes, delas mesmas. Não é por acaso que hoje são maioria entre o número de empreendedores brasileiros. De 2008 para 2009, o quadro, dominado até então por homens, se reverteu. Passou de 51,3% (masculino) e 48,7% (feminino) para 46,6% e 53,4% respectivamente. Isso gera a preocupação em gerar e apoiar o desenvolvimento de mulheres empreendedoras. O Alto Vale do Itajaí está com um crescimento elevando nessa área, percebendo-se a abertura de novas empresas e até mesmo sua forte atuação nas associações comercias através dos núcleos. As mulheres têm como característica a ambiguidade, porém por ser multitarefas é natural que haja no dia a dia a sobrecarga. Escolher caminhos é o grande desafio da mulher que assume o empreendedorismo.",24,8,Aumento do faturamento em 10% até 2015.,,190,APOIADO,,,,,SC - RIO DO SUL - Mulher empresária,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
79,22182,Desenv. Emp. e Fomento a Importância Ambiental nas emp. do núcleo automecânicas,2013-08-01,2015-08-01,"Promover ações de preservação ambiental, aumentara competitividade, a sustentabilidadee fortalecer o associativismo do Núcleo de Automecânicas, através de capacitações técnicas e gerenciais, que proporcionem aumento de qualidade nos serviços, da lucrativi",46803.5600000000,83577.78,1  ,4236-6,3300-6,nao  ,,,174,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Promover a melhoria de 2 processos gerenciais nas empresas nucleadas até o fim do projeto;,2013-08-01,concl,05079169990,18387.1100000000,18387.1100000000,36774.2200000000,"Diante de um panorama empresarial caracterizado pela competitividade, qualidade e avanços tecnológicos, o desafio de manter-se atualizado é constante para os gestores das empresas do setor de Automecânicas. Nota-se que é necessário inovar e buscar aperfeiçoamento técnico-administrativo para obter e manter vantagens competitivas no seu segmento de mercado. Perante isso, o núcleo identificou que as principais necessidades são as questões de qualificação da gestão administrativa e melhoria nas questões voltadas a preservação do meio ambiente. 
É importante ressaltar que o núcleo é constituído, em sua maior parte, por empresas familiares, e que necessitam capacitar tanto o empresário quanto os familiares que estão inseridos na empresa, e futuramente assumirão o empreendimento. Além disso, identificou-se a necessidade de inovar no sentido de promover ações de cunho ambiental.",24,8,Aumentar em 15% o faturamento das empresas nucleadas até 2015.,Diminuir em 70% os rejeitos (entulhos) armazenados dentro das empresas até o final da vigência do projeto.,190,APOIADO,,,,,SC - SAO MIGUEL DO OESTE - Automecânicas,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
80,22200,Fidelização e Melhoria ao Mercado Automecânicas Rio Negrinho,2013-08-01,2015-08-01,"Aumentar as vendas e a fidelização com os conceitos existente já aplicados pelo Núcleo Estadual de Automecânicas como o cartão fidelidade, buscando capacitar as equipes administrativas e técnicas na operacionalização da ferramenta junto as questões estrat",43933.3300000000,78533.33,1  ,4236-6,3300-6,nao  ,,,193,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Melhoria de dois processos nas empresas nucleadas participantes do projeto com definição estratégica  até janeiro de 2014,2013-08-01,concl,05079169990,17300.0000000000,17300.0000000000,34600.0000000000,"O Núcleo de Automecânicas da ACIRNE completou 12 anos em outubro de 2012. É composto por 12 empresas, onde já realizaram diversas atividades na busca da melhoria de gestão, acesso ao mercado questões ambientais e atividades sociais como curso de mecânica para mulheres, Programas de Inspeção Técnica Veicular objetivando orientar motoristas para fazer a manutenção preventiva. 

Já formou lideranças que inclusive atuam na entidade empresarial local e estadual buscando sempre a melhor aliança para o desenvolvimento das empresas ligadas ao grupo.

Com as ferramentas de gestão e fidelidade em funcionamento aliado as aulas técnicas ministradas através do programa de capacitação do NEA, o intuito para apresentação do Projeto é melhor a integração das informações solidificando os procedimentos existentes, aprimorando-os para a busca da conquista de clientes junto ao mercado automotivo de Rio Negrinho que é de mais de 20.000 veículos.",24,8,Aumento de 15% do faturamento bruto nas empresas participantes do projeto até dezembro de 2014;,Aumento de 15% de cliente nas empresas participantes do projeto até dezembro de 2014;,190,APOIADO,,,,,SC - RIO NEGRINHO - Automecânicas,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
81,22183,Desenv. Comp. e Emp. das empresas do núcleo dos jovens Empreendedores,2013-08-01,2015-08-01,"Promover o crescimento profissional e pessoal, através da troca de experiências, compartilhamento de idéias inovadoras, capacitações técnicas e gerenciais que resultem em um aumento de qualidade dos serviços, da lucratividade, modernização e melhoria da g",92686.2200000000,165511.10,1  ,4236-6,3300-6,nao  ,,,175,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Promover a melhoria de 2 processos gerenciais nas empresas nucleadas até o fim do projeto,2013-08-01,concl,05079169990,36412.4400000000,36412.4400000000,72824.8800000000,"O JESMO - Núcleo dos Jovens Empreendedores de São Miguel do Oeste, é formado por empresários que há 9 anos estão trabalhando juntos para o crescimento de suas empresas e desenvolvimento de lideranças. 
Perante o contexto empresarial marcado pela competitividade, qualidade e avanços tecnológicos, o desafio de manter-se atualizado é essencial para os jovens empreendedores, que sentem a necessidade de inovar e buscar aperfeiçoamento técnico-administrativo para obter e manter vantagens competitivas no seu segmento de mercado. Perante isso, o núcleo identificou que as principais necessidades são as questões de qualificação da gestão administrativa, identificação de ações inovadoras e desenvolvimento de lideranças.",24,8,Aumentar em 15% o faturamento das empresas nucleadas até 2015.,Aumentar em 30% o número de clientes ativos durante o período de vigência do projeto,190,APOIADO,,,,,SC - SAO MIGUEL DO OESTE - Jovens empresários,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
82,22208,Desenv. Empresarial dos Núcleos Setoriais de Mecânica Pesada e Automecânica de Xanxerê,2013-08-01,2015-08-01,"Promover o desenvolvimento das empresas participantes do Núcleo Setorial de Mecânica Pesada, através de capacitações técnicas e gerenciais, que resultem no aumento de qualidade nos serviços, da lucratividade, modernização e melhoria da gestão.",70012.4400000000,125022.22,1  ,4236-6,3300-6,nao  ,,,202,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumento no numero de clientes atendidos mensalmente em 4% até o final do projeto;,2013-08-01,desco,05079169990,27504.8900000000,27504.8900000000,55009.7800000000,"Com o objetivo de atender as necessidades de adequação das empresas nas questões de gestão empresarial, adequação as novas normas fiscais, sensibilização dos clientes quanto ao conceito de manutenção preventiva de veículos e qualificação da mão de obra os núcleos de mecânica pesada e auto mecânicas se uniram na realização deste projeto.
O núcleo de Auto Mecânicas foi constituído em 1999 e o de Mecânica Pesada em 2005 e para as empresas de ambos existe mercado potencia não atendido até agora.",24,8,Aumento no faturamento de 12% até o final do projeto.,,190,APOIADO,,,,,SC - XANXERE - Automecânicas,2013-08-01,,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
83,22204,Fortalecimento do Setor da Panificação e Confeitaria,2013-08-01,2015-08-01,"Promover o aumento do faturamento, da produtividade e redução da rotatividade por meio da melhoria da gestão, do atendimento aos clientes e da adequação a novas tecnologias.",126200.8900000000,225358.89,1  ,4236-6,3300-6,nao  ,,,197,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Elevar o faturamento em 10% até o final do projeto,2013-08-01,concl,05079169990,49606.5000000000,49551.5000000000,99158.0000000000,"O núcleo de panificação foi iniciado no ano de 1996 com o intuito de unir os empresários do ramo de panificação da região da amurel. Atualmente, o setor de panificação vem aderindo novos formatos de atuação e atendimento ao cliente, passando a diversificar a sua linha de produção. O núcleo é formado por micro e pequenos empresários, sendo alguns a mais de 10 (dez) anos de experiência, que buscam acompanhar a constante evolução do setor. Durante a sua existência, o núcleo vem realizando ações de compra conjunta de matéria prima, como trigo e margarina, oficinas de qualificação para funcionários e gestores, participação nas principais férias e congressos do setor de panificação como FIPAN – Feira Internacional de Panificação, Confeitaria e Varejo Independente de alimentos e CONGREPAN – Congresso Brasileira da Indústria da Panificação e Confeitaria.",24,8,Diminuição da rotatividade da mão de obra em 20% até o final do projeto,,190,APOIADO,,,,,SC - TUBARAO - Panificadoras e confeitarias,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
84,20282,Utilização do Marketing como Diferencial Competitivo na cadeia automotiva da região de Canoinhas,2013-08-01,2015-01-08,"Evidenciar as empresas nucleadas através de ferramentas de marketing, buscando excelência nos serviços prestados, almejando a captação de novos clientes, a fidelização dos já existentes, o consequente o incremento no faturamento.",19101.1100000000,34111.11,1  ,4236-6,3300-6,nao  ,,,176,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Incremento no número de ações de marketing em 10%nas empresas nucleadas até dezembro de 2014;,2013-08-01,concl,05079169990,7505.0000000000,7505.0000000000,15010.0000000000,"O Núcleo de Reparação Automotiva de Canoinhas e Três Barras – NACT da Associação Empresarial de Canoinhas – ACIC iniciou suas atividades em 15 de setembro de 1994. Atualmente é composto de 05 empresas, que realizam diversas atividades conjuntas visando melhorias na gestão empresarial, na qualidade dos serviços prestados, acesso de mercado, questões ambientais e atividades sociais como cursos de mecânica básica e Inspeção Veicular Gratuita, ambos direcionados á comunidade com o objetivo de instruir para importância da manutenção preventiva dos veículos automotores.
Os integrantes do NACT participam efetivamente das reuniões e programas de capacitação do Núcleo Estadual de Automecânicas do Estado de Santa Catarina – NEA, bem como, acatam suas decisões e discutem possíveis melhorias no setor automotivo.
Para valorizar essas ações e levar ao conhecimento do grande público, é fundamental utilizar ferramentas de marketing para evidenciar essas ações e assim diferenciar as mecânicas filiadas ao NACT das demais existentes em Canoinhas e Três Barras e aumentar o número de oficinas nucleadas",24,8,Aumento do número de cliente nas empresas participantes do projeto em 15% até dezembro de 2014;,Aumento no faturamento bruto nas empresas participantes do projeto em 15% até dezembro de 2014,190,APOIADO,,,,,SC - CANOINHAS - Automecânicas,2013-08-01,2015-01-08,,,,2015-01-08,2013-08-01,Corrente,,,,false,,,,false,,false
85,22229,Núcleo Setorial das Empresas de Reparação Automotiva,2013-08-01,2015-08-01,"Aprimorar o desenvolvimento das empresas através de implantação do software de gerenciamento, melhorias das praticas de gestão, qualificação profissional e ampliação do acesso ao mercado.",85256.8900000000,152244.45,1  ,3344-8,956387-3,nao  ,,,131,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumentar em 15% o faturamento das empresas participantes até o final do projeto.,2013-08-01,concl,08958545895,33587.5600000000,33400.0000000000,66987.5600000000,"Os empresários do segmento de reparação automotiva de Buritama e José Bonifácio conheceram o Projeto Empreender em 2003, quanto este estava sendo implantado do Estado de São Paulo. Posteriormente foram fundados os núcleos setoriais. Periodicamente, os empresários se reúnem para planejar e desenvolver ações de melhorias das empresas. Desde o início têm o apoio incondicional das Associações Comerciais locais e FACESP na implementação e realização das ações.
Atualmente, vinte micro e pequenas empresas participam dos núcleos setoriais, representando 30% das em-presas do segmento nos municípios, com faturamento médio mensal R$ 25.000,00, que geram 100 postos diretos de trabalho que atendem em média 200 veículos por mês, sendo todas filiadas a Associações Comerciais locais.
José Bonifácio localiza-se na Região Noroeste Paulista a 50 km de São José do Rio Preto, um dos principais municípios do Estado de São Paulo e concentra um número expressivo de empresas de reparação automotiva, inclusive redes e grandes distribuidores de peças de reposição. As ações de principal relevância do projeto são: a implantação de um software específico de gerenciamento, melhorias nos processos de gestão e qualificação da mão de obra.",24,9,Aumentar em 10% o número atendimentos nas empresas participantes até o final do projeto.,,190,APOIADO,,,,,SP - JOSE BONIFACIO - Automecânicas,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
86,22193,Uma Nova Perspectiva sobre Segurança no Ambiente Familiar e no Trabalho,2013-08-01,2015-08-01,Estimular a cultura de análise e prevenção a acidentes que venham a prejudicar os colaboradores e a empresa direta ou indiretamente.,26757.7800000000,47777.78,1  ,4236-6,3300-6,nao  ,,,186,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Ter a participação de 90% das empresas do núcleo no Programa de Segurança no Lar,2013-08-01,concl,05079169990,10510.0000000000,10510.0000000000,21020.0000000000,"São mais acidentes que acontecem dentro de casa do que os que acontecem no trabalho. Segundo a SBOT (Sociedade Brasileira de Ortopedia e Traumatologia) dentre os acidentes mais comuns estão: Quedas 28%, queimaduras 19%, Envenenamento 17%, Choques 14%, Asfixia 6%, Outros 16%. Ainda de acordo com o SBOT cerca de 25% das pessoas que estão na faixa de 65 anos caem dentro de casa pelo menos uma vez por ano e 34% dos que caem sofrem algum tipo de fratura. Hoje é de obrigação de o empregador ter um acompanhamento visando a segurança de seus colaboradores dentro da empresa, o que não acontece quando o mesmo se encontra em sua moradia.",24,8,Ter 10 instituições de ensino de nível fundamental e médio que se tornem parceiras do programa,Conscientizar diretamente cerca de 8 mil pessoas.,190,APOIADO,,,,,SC - RIO DO SUL - Outros,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
87,22230,Núcleo Setorial das Empresas da Cadeia da Construção Civil de Birigui e José Bonifácio,2013-08-01,2015-08-01,"Promover a melhoria da qualidade dos processos de custos, gestão administrativa e financeira e o aumento da participação das empresas no mercado local e regional.",86302.2200000000,154111.11,1  ,3344-8,956387-3,nao  ,,,132,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumentar em 15% o faturamento das empresas participantes até o final do projeto.,2013-08-01,concl,08958545895,34108.8900000000,33700.0000000000,67808.8900000000,"As empresas da cadeia da construção civil Birigui e José Bonifácio participam do Projeto Empreender desde
2010 e reúnem-se periodicamente e desenvolvem ações para melhorar e aumentar a competividade. As Associações
Comerciais locais e a FACESP apoiam o núcleo desde sua formação na implementação e realização
das ações.
Atualmente, vinte e uma micro e pequenas empresas participam dos núcleos setoriais de Birigui e José Bonifácio
representando 40% das empresas do segmento nos municípios. Geram 250 postos de trabalhos diretos
com faturamento médio de R$ 60.000,00 (sessenta mil reais).
Birigui se destaca no setor industrial calçadista, enquanto em José Bonifácio o setor terciário é predominante.
Os pequenos municípios do entorno estão em franco crescimento devido à demanda de mão-de-obra desses
polos regionais que contribui com o aumento da renda da população.
Com as perspectivas positivas para os próximos anos, deve haver melhorias nas empresas envolvidas nos
núcleos quanto aos conhecimentos gerenciais e ação de marketing. O objetivo principal do projeto é a melhoria
na gestão dos custos, gestão administrativa e financeira e ações de marketing para conquista de novos
mercados.",24,9,Aumentar em 10% o número de clientes das empresas participantes até o final do projeto.,,190,APOIADO,,,,,SP - JOSE BONIFACIO - Materiais de construção - loja,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
88,22216,Aumento da Competitividade das Empresas e Profissionais do NS. de Automecânicas da ACIMVI,2013-08-01,2015-08-01,"Promover o desenvolvimento das empresas associadas, através do fortalecimento das a atividades conjuntas, com a ampliação do acesso a novas tecnologias, a capacitação técnica e administrativa das oficinas mecânicas, promovendo o desenvolvimento com ações",59982.2100000000,107111.10,1  ,4236-6,3300-6,nao  ,,,210,Empresas dos núcleos setoriais em funcionamento há mais de dois anos,Aumentar em 3% a quantidade de postos de trabalho das empresas participantes até o final do projeto,2013-08-01,concl,05079169990,23564.4400000000,23564.4500000000,47128.8900000000,"Conforme informações publicadas recentemente, Santa Catarina figura entre os Estados que mais possuem automóveis cadastrados no país, onde com o aumento considerável de veículos e a necessidade crescente de manutenção especializada, juntamente com o aumento da rapidez no lançamento de novas tecnologias, novos modelos de veículos, cresce também a necessidade dos empresários do segmento estarem se atualizando tecnologicamente e gerencialmente.
Neste ambiente, entende-se como imprescindível o investimento no setor automotivo, dada a origem do empresário deste segmento ser muitas vezes mais voltadas à operação, em um ambiente empresarial altamente mutável, onde a evolução deste mercado está exigindo cada dia mais, além do conhecimento técnico, também uma maior capacidade gerencial.
Além deste cenário, temos nas empresas do setor de manutenção automotiva, a grande possibilidade de através da melhoria da cultura empresarial, estarmos trabalhando tambpem a cultura ambiental, através de ações das próprias empresas voltadas à conservação do meio ambiente e a busca para se evitar a poluição, além destas empresas estarem também influenciando seus clientes de maneira sensível neste setor econômico, devido à grande polarização econômica da cidade e micro-região, atraindo novos investimentos e como conseqüência, necessitando de ações para a estruturação do crescimento urbano da cidade.
Neste conceito, o desenvolvimento de ações voltadas ao desenvolvimento do segmento automotivo vem colaborar para melhorar o mercado de manutenção automotiva, a segurança da população no trânsito e por conseqüência a melhoria da qualidade de vida da região abrangida pelo núcleo setorial de automecânicas da ACIMVI.
Entendemos que devido ao tempo de existência, e o rol de ações já realizadas pelo núcleo setorial automotivo em prol das empresas, do segmento e da comunidade, a participação no Projeto Empreender Competitivo irá levar as ações do núcleo setorial de automecânicas a um novo patamar de competitividade.",24,8,Aumentar em 8% o faturamento das empresas e profissionais participantes do projeto até o final do projeto,"Aumentar em 5% a carteira de clientes das empresas participantes, até o final do projeto.",190,APOIADO,,,,,SC - TIMBO - Automecânicas,2013-08-01,2015-08-01,,,,2015-08-01,2013-08-01,Corrente,,,,false,,,,false,,false
