idnucleo,nuano,nuplacao,dtcriacao,nmplacao,txresultado,txindicador,txdescricao,dtpinicio,dtpfim,nmresponsavel,nmcolaboradores,nmparceiros,txrecursos,nmfiscal,dtultimaalteracao,stplacao,faceb
20015,2010,2,2010-10-26,Beleza Potiguar,1:Aumentar em 10% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto;  2:Aumentar em 5% o faturamento das empresas;  3:Promover a melhoria de pelo menos 3 processos empresariais  nos empreendimentos participantes até o fim do projeto.  4:Elevar a produtividade em até 3% nos salões participantes até o fim do projeto;  5:Elevar a carteira de clientes em até 5% nos salões participantes até o fim do projeto.,,"Promover o desenvolvimento sustentável das empresas que fazem parte do núcleo setorial de beleza de Natal, traduzido no aulento da receita, da produtividade...",2010-07-01,2011-12-31,Clauber Wagner Martins de Araújo,,"ACRN, CREDCON-RN, SENAC","R$126.770,00",Clauber Wagner Martins de Araújo,,atras,false
20017,2010,1,2010-10-22,Duas Rodas potiguar,1:Aumentar em 10% a quantidade de postos de trabalho nas empresas até o fim do projeto;  2:Aumentar em 5% o faturamento das empresas até o fim do projeto;  3: Promover a melhoria de pelo menos três  processos empresariais nos empreendimentos participantes  até o final do projeto;  4:Elevar a produtividade em até 3% nas lojas de moto peças e serviços participantes até o fim do projeto;  5: Elevar a carteira de clientes em até 5% nas lojas de moto peças e serviços participantes até o final do projeto.,,"Promover o desenvolvimetno sustentável das empresas que fazem parte do núcleo setorial de moto peças e serviços do RN, traduzido no aumetno da receita, da ...",2010-11-01,2012-12-31,Clauber Wagner Martins de Araújo,,,"R$117.800,00",Clauber Wagner Martins de Araújo,,atras,false
20018,2010,1,2010-10-22,Super mercados Norte - RioGrandenses,1:Aumentar em 10% a quantidade de postos de trabalho nas empresas até o fim do projeto;  2:Aumentar em 5% o faturamento das empresas até o fim do projeto;  3: Promover a melhoria de pelo menos três  processos empresariais nos empreendimentos participantes  até o final do projeto;  4:Elevar a produtividade em até 3% nas empresas participantes até o fim do projeto;  5: Elevar a carteira de clientes em até 5% nas empresas participantes até o final do projeto.,,"Promover o desenvolvimento sustentável das empresas que fazem parte do núcleo setorial de mercadinhos, traduzido no aumento da receita, da produtividade e da...",2010-10-01,2011-12-31,Clauber Wagner Martins de Araújo,,,"R$113.800,00",Clauber Wagner Martins de Araújo,,atras,false
20026,2010,1,2010-10-18,CONSULTORIA E CAPACITAÇÃO PARA A MANUALIZAÇÃO DOS PROCESSOS DAS EMPRESAS DE CONTABILIDADE,"1: Aumentar em 20% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto;  2: Aumentar em 5% o faturamento das empresas participantes até o fim do projeto;  3: Promover a melhoria de pelo menos 05 (cinco) processos empresariais nos empreendimentos participantes até o fim do projeto;  4: Reduzir em 10 % os custos operacionais,  até o final do projeto;  5: Elevar o volume da carteira de clientes das empresas participantes em 5%, até o fim do projeto.",,"Aumentar a padronização de procedimentos nas empresas do Núcleo Setoria de Contabilidade, por meio de consultoria e da capacitação, com foco na criação do ...",2010-07-01,2011-12-31,Ben-Hur Neres de Barros,,SERCON,"R$38.500,00",Ben-Hur Neres de Barros,,atras,false
20028,2010,1,2010-10-18,Capacitação Preparatória para certificação de qualidade dos fornecedores da PETROBRÁS,"1: Aumentar em 20% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto;  2: Aumentar em 5% o faturamento das empresas participantes até o fim do projeto;  3: Promover a melhoria de pelo menos 05 (cinco) processos empresariais nos empreendimentos participantes até o fim do projeto;  4: Reduzir os custos de produção em 10 %, até o final do projeto;  5: Elevar o volume das vendas em 10%, até o fim do projeto.",,"Aumentar a padronização de procedimentos nas empresas do Núcleo Setorial de Petróleo e Gás da área de fornecedores da Petrobrás,através de processo de ...",2010-07-01,2011-12-31,Ben-Hur Neres de Barros,,SERPAF,"R$53000,00",Ben-Hur Neres de Barros,,atras,false
20034,2010,1,2010-10-26,"Melhoria da produtividade e qualidade do mel e derivados, realização da 1ª Feira do Mel","1:Aumentar em 30% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto;  2:Aumentar em 15% o faturamento das empresas;  3:Promover a melhoria de pelo menos 5 processos empresariais  nos empreendimentos participantes até o fim do projeto;  4:Reduzir em 10% os custos da produção, até o final do projeto;  5:Elevar o volume das vendas de mel e seus derivados em 25%, até o fim do projeto.",,"Aumentar a padronização de procedimentos nas empresas do Núcleo Apicultura do município de Canindé do São Francisco/SE, através de processo de capacitação...",2010-07-01,2011-12-31,Ben-Hur Neres de Barros,,AMAS,"R$38.500,00",Ben-Hur Neres de Barros,,atras,false
20042,2016,1,2016-11-08,ESTRATÉGIA PARA PRESENÇA DOS ATORES NO NÚCLEO,PARTICIPAÇÃO NAS REUNIÕES DO NS MATERIAL DE CONSTRUÇÃO,BAIXA PRESENÇA DOS PARTICIPANTES NAS REUNIÕES,ESTIVE COM RICARDO DAMASCENO (UM DOS DIRETORES DA ACEFS) PARA PEDIR AJUDA DE COMO AUMENTAR A FREQUENCIA DOS PARTICIPANTES NAS REUNIÕES,2016-07-04,2017-08-31,Tatiane Amaral,RICARDO DAMASCENO,"ACEFS , FACEB",APRESENTAR A COORDENADORA HERRIETTE CEDAZ  AO DIRETOR RICARDO,,2017-08-09,termi,false
20042,2016,2,2016-12-12,Campanha Setorial Construção Civil,Capacitações para o segmento,,Com o intuito de discutir sobre o atual cenário do segmento de Mat. de Construção e outras temáticas pertinentes ao funcionamento de uma empresa deste setor,2016-04-26,2016-04-28,LUCIA LEITE,,SEBRAE,"Sala, data show, sistema de som",SEBRAE,2016-12-14,termi,false
20042,2017,1,2017-07-16,ENCONTRO COM ESPECIALISTA,Acompanhamento profissionais em 2 dias com oficinas e palestras para o setor,,"18 áreas de atendimentos especializados, discursões estratégicas e troca de experiência, além da possibilidade de bons negócios",2017-05-10,2017-05-11,SEBRAE,,,,,2017-07-16,termi,false
20051,2007,1,2008-03-08,Referenciais de atuação do Núcleo Setorial de TI,,,Referencias de atuação do NSTI,2007-08-08,2008-12-31,Cesar,,,,,,termi,false
20051,2008,1,2008-07-30,FORTALECIMENTO DA MARCA,CONHECIMENTO E CREDIBILIDADE DO MERCADO,CONHECIMENTO E CREDIBILIDADE DO MERCADO,"MARKETING, WORKSHOP, FEIRA DE TECNOLOGIA",2008-07-01,2009-06-30,PRESIDENTE NSTI E ADRIANO,ASSOCIADOS NSTI,"ACIPG, JORNAL DA MANHÃ, DIÁRIO DA MANHÃ, DIÁRIO DOS CAMPOS, TV VILA VELHA, TVM",FOLDER´s  BANNER´s  SITE,Associados NSTI,,termi,false
20051,2008,2,2008-08-04,Referenciais de Atuação do Núcleo Setorial de TI 2008 - 2009,Conhecimento e credibilidade do mercado. Redução do ISS. Acesso a linhas de créditos e programas de capacitação e profissionalização do setor. Aumento de interação do NSTI e o mercado consumidor. Implementação de melhoria de processos.,Fortalecimento da marca. Buscar incentivo fiscal para empresas de tecnologia. Reconhecimento do APL. Manual Orientativo. Convergência.,Participantes envolvidos e integrantes NSTI,2008-07-01,2009-06-30,PRESIDENTE NSTI,Associados NSTI,ACIPG SEBRAE FACIAP IE´s PREF.MUNIC.ASSESPRO CAMARA MUNICIPAL REDE APL MEIOS COMUNICAÇÃO,"Metaplan, Folder´s, Banner, Site.",Associados NSTI,,termi,false
20056,2010,1,2010-10-20,Pólo gastronômico de Toledo,1:Aumentar em 8% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto;  2:Aumentar em 12% o faturamento das empresas participantes até o fim do projeto;  3:Promover a melhoria de pelo menos 2 processos empresariais  nos empreendimentos participantes até o fim do projeto;  4: Ter 75% das empresas atendidas por soluções em capacitação e qualificação até o fim do projeto.,,Aumentar o faturamento das empresas pertencetes ao núcleo setorial de gastronomia através da inovação e do aprimoramento e desenvolvimento das competências ...,2010-07-01,2011-12-31,Valentim Gilberto Naue,,Prefeitura Munincipal de Toledo,"R$210.000,00",Valentim Gilberto Naue,,atras,false
20061,2008,1,2008-06-11,Confecção de Guia de Bolso dos Empreendimentos,"Confeccionar 10.000 (dez mil) Guias de bolso que serão levados as Feiras de Turismo no periodo de junho de 2008 a junho de 2009, onde estaremos divulgando os empreendimentos que fazem parte do núcleo evidenciando ainda mais o potencial turístico da região.","- Conseguir fazer 10.000 (dez mil) guias de bolso no mês de junho, com busca de 50% de patrocínios.",Elaboração do Guia de Bolso do Núcelo de Turismo,2008-05-15,2008-09-06,Núcleo de Turismo,Consultora,"Acime, Prefeitura Municipal.","Fotos, mapa da cidade,Criação de arte de cada empreendimento, computadores, R$ 6.000,00, grafica para impressão",Consultora e Coordenadora do Núcleo,,termi,false
20061,2008,2,2008-09-04,Reunião com Candidatos a Eleição Municipal,"Buscar apoio dos Candidatos a eleição municipal, para as futuras açãos do segmento de tursimo.","Assinatura de um termo de compromisso com o núcleo de turismo, que se eleito o canditado venha a cumprir como o acordo.",Promover um debate entre os empresários do Núcleo de Turismo com os Candidatos a Eleição Municipal,2008-08-21,2008-09-02,O Núcleo,,,saala de reunião e cafezinho,Todos,,termi,false
20062,2007,1,2008-07-15,PLANO ESTRATÉGICO DE AÇÃO DE NÚCLEO DE TURISMO DE SANTA HELENA 2007/2008,Aumento de visitantes no município em 20%  Aumentar em 20% o faturamento  Participação em 80%,Competitividade  Marketing  União do Grupo (participação),"núcleo Setorial do Turismo\\\\\\'",2007-08-01,2008-12-31,Flavio Degasperi,"Prefeitura Municipal, UNIOESTE",ACISA,Financeiros; Divulgar ações de núcleos; pesquisas;,RAFAELA GAZZIERO,,termi,false
20062,2009,1,2009-10-30,I FESTIVAL GASTRONÔMICO E CULTURAL,"DIVULGAÇÃO DO NÚCLEO DE TURISMO DO MUNICIPIO DE SANTA HELENA PARA TODA A REGIÃO OESTE DO PARANÁ, BEM COMO PARA OS PAISES: PARAGUAI E ARGENTINA.",ASSOCIATIVISMO,ELABORAÇÃO DE PRATO TIPICO,2009-09-25,2009-09-27,FLAVIO DEGASPERI,NUCLEO DE TURISMO,ACISA,"CARRO, MATERIAL DE ESCRITORIO E PESSOAS.",GEOVANA,,termi,false
20066,2008,1,2008-06-05,Qualificação,- Aumentar o lucro bruto em 25% até dezembro 2008.  - Reduzir custos m 06% até dezembro 2008.,"- Trazer para Medianeira profissionias da área de confecções, através do Sindiwest, para orientações para nossos profissionais e empresários.",Profissionais para orientações da área,2008-01-29,2008-07-15,Aguinaldo e Hélio,Acime,Sindiwest,- Horas técnicas  - Recursos financeiros,Luciane,,termi,false
20066,2008,2,2008-06-05,Qualificação,- Aumentar o lucro bruto em 25% até dezembro 2008.  - Reduzir custos em 06% até dezembro 2008.,Organização de um evento sobre tendências até abril de 2008,Evento sobre tendências,2008-04-01,2008-04-30,Aguinaldo e Hélio,Acime,Sindiwest,- Horas técnicas  - Contatos  - Telefone,Luciane,,termi,false
20066,2008,3,2008-06-09,Qualificação,- Aumentar o lucro bruto em 25% até dezembro de 2008.  - Reduzir em 06% os custos até dezembro de 2008.,- Que todas as empresas do núcleo possam proporcionar curso de melhoramento das técnicas para seus funcionários.,curso para aprimoramento da mão de obra,2008-02-01,2008-12-30,Aguinaldo e Hélio,Luciane,"Sindiwest, Acime, Sebrae",- Estrutura física;  - Horas técnicas;,Luciane,,termi,false
20066,2008,4,2008-06-09,Qualificação,- Aumentar em 25% o faturamento bruto das empresas até dezembro de 2008.  - Reduzir em 06% os custosde produção das empresas até dezembro de 2008.,- Número de visitas em feiras do setor feitas pelas empresas do núcleo durante o ano de 2008.,Visitar feiras do setro,2008-02-01,2008-12-30,Aguinaldo e Hélio,todos,"Acime, Sindiwest, Sebrae",- Horas técnicas  - Recursos financeiros  - Informações,Luciane,,termi,false
20066,2008,5,2008-06-09,Qualificação,- Aumentar em 25% o faturamento bruto até dezembro de 2008.  - Reduzir 06% de despesas de produção até dezembor de 2008.,- Número de visitas técnicas feitas pelas empresas do núcleo durante o ano de 2008.,visitas técnicas,2008-05-01,2008-05-30,Aguinaldo e Hélio,todos,Sindiwest e Sebrae,- Transporte  - Horas técnicas  - Contatos,Luciane,,termi,false
20066,2008,6,2008-06-09,Qualificação,- Aumentar em 25% o faturamento bruto das empresas.  - Reduzir em 06% as despesas de produção dasempresas.,- Número de participações de empresarios e funcionários das empresas nucleadas nas palestras.,participação dos nucleados em palestras promovidas pela Acime,2008-02-01,2008-12-30,Aguinaldo e Hélio,todos,"Acime, Sindiwest, Sebrae",- Horas técnicas,Luciane,,termi,false
20066,2008,7,2008-06-09,Estrutura,Reestruturar em 10% as condições físicas de trabalho das empresas,- nº de empresas que efetuou troca de maquinários durante o ano de 2008.,troca de maquinários,2008-02-01,2008-12-30,todos,todos,"Bancos, Instituições financeiras, Sebrae, Acime",- Horas técnicas  - Informações,Luciane,,termi,false
20066,2008,8,2008-06-09,Estrutura,- Reestruturar em 10% as condições físicas de trabalho.,- Nº de empresas que efeutaram compra de técnologia durante o ano de 2008,compra de tecnologia,2008-02-01,2008-12-30,todos,todos,Instituições financeiras,- Contatos com instituições financeiras  - Conhecimento das linhas de crédito,Luciane,,termi,false
20066,2008,9,2008-06-09,Logística,Implantar um controle eficiente de estoque em todas as empresas do núcleo,- Implantar um controle de estoque eficiente em todas as empresas do núcleo até dezembro de 2008,controle de estoque,2008-03-01,2008-12-30,todos,todos,"Acime, sebrae",- financeiros  - horas técnicas  - softwer,Luciane,,termi,false
20066,2008,10,2008-06-09,Lucro (Sobrevivencia),- Aumentar em 05% o lucro líquido até dezembro de 2008,- nº de empresas nucleadas participantes de um treinamento da área financeira.,participação em treinamentos na área financeira,2008-06-01,2008-07-30,Anelise e Otília,todos,Acime e Sebrae,"financeiros,  horas técnbicas",Luciane,,termi,false
20066,2008,11,2008-06-09,Lucro (Sobrevivencia),- Aumentar em 05% o lucro líquido até dezembro de 2008.,"- Nº de qualificações dos colaboradores e empresarios das empresas, que participaram de qulificações.  - nº de empresas que conseguiram enxugar despesas.",reduzir despesas,2008-02-01,2008-12-30,Anelise,todos,"Acime,Sebrae, Sindiwest",- horas técnicas e recursos financeiros,Luciane,,termi,false
20066,2008,12,2008-06-10,Mercado,- Aumentar as vendas em 10% até dezembrode 2008.,- Nº de funcionários e empresários qualificados e organisação das empresas.,Qualificar os empresarios e funcionários da empresa e organisá-las,2008-01-10,2008-12-30,Lenice e Anelise,todos,"Sebrae, Acime",- Horas técnicas  - Recursos financeiros,Luciane,,termi,false
20066,2008,13,2008-06-10,Mercado,- Aumentar as vendas em 10% até dezembro de 2008.,- Nº de consultorias de produção feitas por empresa.,cnsultorias de produção nas empresas,2008-02-01,2008-07-30,Lenice e Anelise,todos,Sindiwest,- horas técnicas   - Recursos financeiros,Luciane,,termi,false
20066,2008,14,2008-06-10,Mercado,- Aumentar em 10% as vendas até dezembro de 2008.,- Nº de vezes que as empresas nucleadas participarão em Feiras durante o ano de 2008.,participação em feiras,2008-01-01,2008-12-30,Lenice e Anelise,todos,Sindiwest e Acime,- financeiros e horas técnicas,Luciane,,termi,false
20066,2008,15,2008-06-10,Mercado,- Aumentar as vendas em 10% até dezembro de 2008.,- Nº de empresas que contrataram representantes.,contratar representantes,2008-01-01,2008-08-30,Lenice e Anelise,todos,outras indústrias de confecções,- financeiros e bons contatos,Luciane,,termi,false
20066,2008,16,2008-06-10,Mercado,- Aumentar em 10% as vendas até dezembro de 2008.,- Nº de catálagos feitos pelo núcleo em 2008,elaboração de catálagos coleções primavera/verão e outono/inverno,2008-01-01,2008-12-30,Lenice e Anelise,todos,"fotógrafo, Acime, Sebrae",- financeiro  - parcerias  - horas técnicas,Luciane,,termi,false
20066,2008,17,2008-06-10,Atitude,- Aumentar em 100% o nº de empresas associadas ao núcleo,- Cada empresário participante do núcleo terá que trazer mais uma empresa para o núcleo.,dobrar o nº de associados ao núcleo,2008-01-01,2008-07-30,todos,consultora do empreender,Acime,horas técnicas e bons contatos,Luciane,,termi,false
20066,2008,18,2008-06-10,Atitude,- aumentar em 100% o nº de empresas associadas ao núcleo.,- divulgação mensal das ações do núcleo na mídia.,divulgação mensal das ações do núcleo na mídia,2008-01-01,2008-12-30,Cida e Hélio,todos,Acime e Imprensa,- horas técnicas para elaboração das matérias  - parceirias com a imprensa,Luciane,,termi,false
20066,2008,19,2008-06-10,Parcerias,"- diminuir para R$20,00 mensalidade do Sindiwest para empresas ja associadas ao núcleo",- Negociação com Sindiwest,Associar empresas do núcleo ao Sindiwest,2008-01-01,2008-06-30,Aguinaldo e Cida,todos,Acime e sindiwest,- Horas técnicas,Luciane,,termi,false
20066,2008,20,2008-06-10,Parceiros,"- Diminuir para R$20,00 o valor da mensalidade do Sindiwest para empresas do núcleo",- Reunião com Iraci para informar-se sobre financiamentos a fundo perdido,informações sobre recursos a fundo perdido,2008-02-01,2008-11-01,Aguinaldo e Cida,todos,"Faciap, Sebrae",horas técnicas,Luciane,,termi,false
20067,2008,1,2008-03-31,PALESTRAS TÉCINICAS,QUE TODOS OS PARTICIPANTES SAIAM COM MAIOR CONHECIMENTO NA ÁREA TÉCNICA ABORDADA,ASSUNTO ABORDADO DENTRO DAS NECESSIDADES DAS EMPRESAS,ASSUNTO TÉCNICO DE COMUM INTERESSE DOS PARTICIPANTES,2008-04-10,2008-05-15,NELSON,"ILDO, TURATTO E ÁLVARO",ACEDV E FORNECEDORES,"TELEFONE E LOCAL PARA MAIS DE 100 PESSOAS, RECURSOS AUDIO E VÍDEO, PAPEL PARA ANOTAÇÃO",NEIDA E BORSATTI,,termi,false
20067,2012,1,2012-07-19,Copa Iguaçu de Motocross,Que o Núcleo seja amplamente divulgado conquistando com isso mais integrantes.   - Conseguir recursos para dar andamento aos projetos existentes,"Que o núcleo seja conhecido, divulgaçao e arrecadaçao de recursos visando a construçao do Centro de Formaçao Profissional.",Realizaçao da 7ª Etapa da Copa Iguaçu de MotoCross em parceria com Gordo Motos e Casa da Paz. O evento tende a se tornar um marco no calendario do municipio,2012-07-03,2012-07-30,"Chitolina, Zanella, Gordo, casa da Paz","Turatto, Padovani, Rogério, Gilvano, Edemar, Nelson, Borsatti, Itacir",Casa da Paz e Gordo Motos e prefeitura Municipal,"Financeiros, Humanos e materiais",Maria,,termi,false
20067,2019,1,2019-11-07,Centro de capacitação de mão-de-obra qualificada - escola,,,construção de um centro de capacitação,2019-02-01,2019-12-15,FABIO LAURENTINO,,,,,2019-11-07,,false
20067,2019,2,2019-11-07,Mecânica Básica para Mulheres,,,Aperfeiçoamento,2019-02-01,2019-12-15,JONATAN CHITOLINA,,,,,2019-11-07,,false
20067,2019,3,2019-11-07,Criar de cronograma de visitações aos nucleados com confraternização,,,UNIÃO DOS NUCLEADOS,2019-02-01,2019-12-15,FABIO LAURENTINO,,,,,2019-11-07,,false
20069,2007,1,2008-04-17,PALESTRA INFECÇÃO REPRODUTIVA C/ PRADO,PARTICIPAÇÃO 100% DOS PARTICIPANTES DO NÚCLEO.,,PALESTRA INFECÇÃO REPRODUTIVA C/ A PRADO,2007-07-17,2007-08-03,ADEMIR ZANETTI,ELIANDRO ZILLI,"PRADO, SINDICATO RURAL PATRONAL","SALA, DATA SHOW.",CONSULTORA CLÁUDIA,,termi,false
20069,2007,2,2008-04-17,PALESTRA BIOSYN,PARTICIPAÇÃO DE 100% DOS PARTICIPANTES DO NÚCLEO.,,PALESTRA BIOSYN,2007-08-03,2007-08-29,ADEMIR ZANETTI,VALDIR E CÉLIO,"SINDICATO RURAL PATRONAL, BIOSYN.","SALA, DATA SHOW.",CONSULTORA CLÁUDIA.,,termi,false
20069,2007,3,2008-04-17,PALESTRA SOBRE HOMEOPATIA ARENALIS,PARTICIPAÇÃO 100% DOS PARTICIPANTES DO NÚCLEO.  EVENTO ABERTO A OUTROS PRODUTORES DE LEITE DA CIDADE.,,PALESTRA SOBRE HOMEOPATIA ARENALIS,2007-05-15,2007-06-21,ADEMIR ZANETTI,ELIANDRO E VALDIR,"AMPLA, ARENALIS.","LOCAL PARA A PALESTRA, DATA SHOW, LOCAL PARA JANTAR DE CONFRATERNIZAÇÃO.",CONSULTORA CLÁUDIA.,,termi,false
20069,2007,4,2008-04-17,CURSO MANEJO DE GADO BOVINO DE LEITE,OPORTUNIADADE PARA QUE OS FUNCIONÁRIOS E PRODUTORES DE LEITE DO NÚCLEO QUE AINDA NÃO FIZERAM O TREINAMENTO.,,CURSO MANEJO DE GADO BOVINO DE LEITE,2007-05-15,2007-07-27,VALDIR,CÉLIO,"SINDICATO RURAL PATRONAL, SENAR.","LOCAL PARA TREINAMENTO, MATERIAL (COM INSTRUTOR DO CURSO), INSCRIÇÕES.",CONSULTORA CLÁUDIA.,,termi,false
