idusuario,idlingua,idformacao,dsintitu,dtini,dtfim,cdtitulo,dsarea
52,es,4,"Concejo de Medellín, Escuela de Gobierno y Políticas Públicas de Antioquia. Colombia",08/2007,09/2007,espec,"Curso Elaboración, formulación y seguimiento de proyectos de desarrollo"
52,pt,1,Universidad de Antioquia,03/2003,07/2007,gradu,Comunicação Social - Jornalismo
52,pt,2,Secretaria Especial dos Direitos Humanos da Presidência da República. Brasil,10/2008,10/2009,espec,Curso ZDireitos Humanos e Mediação de Conflitos
52,pt,3,Servicio Nacional de Aprendizaje SENA. Colômbia. 2008,02/2008,04/2008,espec,Curso ZEstratégias pedagógicas para el desarrollo del pensamientoZ.
52,pt,4,"Concejo de Medellín, Escuela de Gobierno y Políticas Públicas de Antioquia. Colombia",08/2007,09/2007,espec,"Elaboración, formulación y seguimiento de proyectos de desarrollo"
55,pt,1,"Universidade Federal de Uberlândia, UFU",02/2000,06/2004,gradu,Ciências Econômicas
55,pt,2,"Fundação Getulio Vargas, FGV-SP",02/2006,06/2008,espec,MBA em Gestão Empresarial
55,pt,3,"Universidade Federal de Uberlândia, UFU",02/2012,10/2014,mestr,Administração
56,es,1,Fundación Getúlio Vargas - FGV,04/2004,07/2005,espec,Gestão Estratégica de Marketing
56,es,2,Faculdades Integradas UPIS,03/1997,07/2001,gradu,Secretariado Ejecutivo
57,es,1,Integrale/Fecap,01/2004,12/2006,espec,Bauru - San Paolo
58,pt,1,UFSC/SEaD-Universidade Federal de Santa Catarina/Ministério do Turismo,07/2010,11/2010,espec,Turismo
58,pt,2,UEMA/EaD - Universidade Estadual do Maranhão,11/2009,12/2013,gradu,Licenciatura em Pedagogia
59,pt,1,Unitins - Fundação da Universidade do Tocantins,03/2007,12/2010,gradu,Administração de empresa
60,pt,1,UFPA - Universidade Federal do Pará,02/2004,04/2009,mestr,Planejamento do Desenvolvimento Regional
61,en,1,FACULDADE ESTÁCIO DE SÁ DE SANTA CATARINA,02/2007,08/2009,espec,HUMAN RESOURCE MANAGEMENT
61,en,2,FACULDADE ESTÁCIO DE SÁ DE SANTA CATARINA,02/2002,07/2006,gradu,ADMINISTRATION EMPHASIS ON FOREIGN TRADE
61,pt,1,FACULDADE ESTÁCIO DE SÁ DE SANTA CATARINA,02/2007,08/2009,espec,GESTÃO DE RECURSOS HUMANOS
61,pt,2,FACULDADE ESTÁCIO DE SÁ DE SANTA CATARINA,02/2002,07/2006,gradu,ADMINISTRAÇÃO COM HABILITAÇÃO EM COMÉRCIO EXTERIOR
64,pt,1,Faculdade de Ciências da Administração de Pernambuco - FCAP/UPE,02/2008,01/2009,espec,Planejamento e Gestão Organizacional
64,pt,2,Universidade Católica de Pernambuco,08/2002,12/2006,gradu,Comunicação Social - Jornalismo
66,pt,1,União de Negócios em Administração - UNA,01/1999,07/2001,gradu,Gestão Empresarial
67,pt,1,Faculdade Internacional de Curitiba - FACINTER,02/2011,12/2013,gradu,Secretariado Executivo
71,pt,1,UNOESC -Joaçaba,02/1997,11/2000,gradu,Administração
73,es,1,UNIVILLE - Universidad de la Región de Joinville,02/2000,02/2004,gradu,Ciencias Económicas
74,pt,1,Faculdade de Direito de Teófilo Otoni,01/1995,12/1999,gradu,Direito
74,pt,2,Faculdade de Processamento de Dados,01/1997,12/1998,gradu,TI
74,pt,3,Faculdade de Direito Vale do Rio Doce,01/1998,12/1999,espec,Direito Público
74,pt,4,Fundação Getúlio Vargas,01/2007,12/2009,espec,Gestão Empresarial
75,pt,1,Univille,01/2005,12/2008,gradu,Administração com habilitação em Marketing
80,pt,1,FUNDACAO UNIVERSIDADE REGIONAL DE BLUMENAU (FURB),03/2010,06/2012,mestr,DESENVOLVIMENTO REGIONAL
80,pt,2,FUNDACAO UNIVERSIDADE REGIONAL DE BLUMENAU (FURB),08/2006,12/2009,gradu,ECONOMIA
81,es,1,ANHANGUERA,08/2011,08/2012,espec,MBA em estratégia de Negocios
81,pt,1,Plinio Leite - Anhaguera,06/2011,06/2012,espec,MBA - estratégia de negocios
83,pt,1,UNIVERSIDADE CANDIDO MENDES,01/1998,08/2002,espec,ADMINISTRAÇÃO
