id,id_orcamento_pai,idprojeto,nuacao,idnat,idgrupo,identidadeprop,descricao,valor_economico,valor_financeiro,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,id_centro_custo
43,,1242,6,0tq4i,0j01z,325,Capacitação,0.00,18200.42,2019-01-16 10:19:25,renato.rossi,2022-02-19 00:31:23,patriciarego,
44,,1242,7,0tq4i,0j01z,177,Mostra do Mobiliário,13636.36,18369.64,2019-01-16 10:19:25,renato.rossi,2022-02-19 00:22:14,patriciarego,
45,,1242,7,0tq4i,0j01z,325,Mostra do Mobiliário,0.00,38098.81,2019-01-16 10:19:25,renato.rossi,2022-02-19 00:31:23,patriciarego,
46,,1235,1,0tq4i,0j01z,25,Estruturação do projeto,1000.00,0.00,2019-01-17 17:45:46,renato.rossi,2019-01-17 17:45:46,renato.rossi,
47,,1235,2,0tq4i,0j01z,25,Gestão e Monitoramento,2593.20,0.00,2019-01-17 17:45:46,renato.rossi,2019-01-17 17:45:46,renato.rossi,
48,,1235,3,0tq4i,0j01z,25,Acompanhamento da execução das mensurações,2500.00,0.00,2019-01-17 17:45:46,renato.rossi,2019-01-17 17:45:46,renato.rossi,
49,,1235,4,0tq4i,0j01z,25,Acompanhamento da execução das avaliações,2500.00,0.00,2019-01-17 17:45:46,renato.rossi,2019-01-17 17:45:46,renato.rossi,
50,,1235,5,0tq4i,0j01z,25,Capacitação,21098.18,32004.52,2019-01-17 17:45:46,renato.rossi,2019-12-12 10:34:06,patriciarego,
51,,1235,5,0tq4i,0j01z,321,Capacitação,0.00,71034.68,2019-01-17 17:45:46,renato.rossi,2022-02-19 00:31:23,patriciarego,
52,,1235,6,0tq4i,0j01z,25,Exposição em feiras,10363.63,9957.21,2019-01-17 17:45:46,renato.rossi,2019-12-12 10:35:29,patriciarego,
53,,1235,6,0tq4i,0j01z,321,Exposição em feiras,0.00,16247.10,2019-01-17 17:45:46,renato.rossi,2022-02-19 00:31:23,patriciarego,
54,,1235,7,0tq4i,0j01z,25,Visita a Feiras,1112.73,4016.27,2019-01-17 17:45:46,renato.rossi,2019-12-12 10:36:11,patriciarego,
55,,1235,7,0tq4i,0j01z,321,Visita a Feiras,0.00,8540.22,2019-01-17 17:45:46,renato.rossi,2022-02-19 00:31:23,patriciarego,
56,,1240,1,0tq4i,0j01z,175,Estruturação do projeto,1294.08,0.00,2019-01-18 11:17:02,renato.rossi,2022-02-19 00:22:14,renato.rossi,
57,,1240,2,0tq4i,0j01z,175,Gestão e Monitoramento,4000.00,0.00,2019-01-18 11:17:02,renato.rossi,2022-02-19 00:22:14,renato.rossi,
58,,1240,3,0tq4i,0j01z,175,Acompanhamento da execução das mensurações,2000.00,0.00,2019-01-18 11:17:02,renato.rossi,2022-02-19 00:22:14,renato.rossi,
59,,1240,4,0tq4i,0j01z,175,Acompanhamento da execução das avaliações,2000.00,0.00,2019-01-18 11:17:03,renato.rossi,2022-02-19 00:22:14,renato.rossi,
60,,1240,5,0tq4i,0j01z,175,Capacitação,4896.36,6544.00,2019-01-18 11:17:03,renato.rossi,2022-02-19 00:22:14,renato.rossi,
61,,1240,5,0tq4i,0j01z,323,Capacitação,0.00,13616.00,2019-01-18 11:17:03,renato.rossi,2022-02-19 00:31:23,renato.rossi,
62,,1240,6,0tq4i,0j01z,175,Consultoria Multidisciplinar,12763.64,19305.00,2019-01-18 11:17:03,renato.rossi,2022-02-19 00:22:14,renato.rossi,
63,,1240,6,0tq4i,0j01z,323,Consultoria Multidisciplinar,0.00,39195.00,2019-01-18 11:17:03,renato.rossi,2022-02-19 00:31:23,renato.rossi,
64,,1240,7,0tq4i,0j01z,175,Visita a Feiras,17018.18,23400.00,2019-01-18 11:17:03,renato.rossi,2022-02-19 00:22:14,renato.rossi,
65,,1240,7,0tq4i,0j01z,323,Visita a Feiras,0.00,49400.00,2019-01-18 11:17:03,renato.rossi,2022-02-19 00:31:23,renato.rossi,
66,,1237,1,0tq4i,0j01z,174,Estruturação do projeto,3635.44,0.00,2019-01-18 11:17:31,renato.rossi,2022-02-19 00:22:14,patriciarego,
67,,1237,2,0tq4i,0j01z,174,Gestão e Monitoramento,2500.00,0.00,2019-01-18 11:17:31,renato.rossi,2022-02-19 00:22:14,renato.rossi,
68,,1237,3,0tq4i,0j01z,174,Acompanhamento da execução das mensurações,3000.00,0.00,2019-01-18 11:17:31,renato.rossi,2022-02-19 00:22:14,renato.rossi,
69,,1237,4,0tq4i,0j01z,174,Acompanhamento da execução das avaliações,3808.21,0.00,2019-01-18 11:17:31,renato.rossi,2022-02-19 00:22:14,renato.rossi,
70,,1237,5,0tq4i,0j01z,174,Capacitação,9600.00,11931.02,2019-01-18 11:17:31,renato.rossi,2022-02-19 00:22:14,patriciarego,
71,,1237,5,0tq4i,0j01z,322,Capacitação,0.00,26481.63,2019-01-18 11:17:31,renato.rossi,2022-02-19 00:31:23,patriciarego,
72,,1237,6,0tq4i,0j01z,174,Visitas técnicas e eventos,33527.27,44462.48,2019-01-18 11:17:31,renato.rossi,2022-02-19 00:22:14,patriciarego,
73,,1237,6,0tq4i,0j01z,322,Visitas técnicas e eventos,0.00,98511.81,2019-01-18 11:17:31,renato.rossi,2022-02-19 00:31:23,patriciarego,
74,,1241,1,0tq4i,0j01z,176,Estruturação do projeto,2123.18,0.00,2019-01-18 11:17:56,renato.rossi,2022-02-19 00:22:14,renato.rossi,
75,,1241,2,0tq4i,0j01z,176,Gestão e Monitoramento,3000.00,0.00,2019-01-18 11:17:56,renato.rossi,2022-02-19 00:22:14,renato.rossi,
76,,1241,3,0tq4i,0j01z,176,Acompanhamento da execução das mensurações,3000.00,0.00,2019-01-18 11:17:56,renato.rossi,2022-02-19 00:22:14,renato.rossi,
77,,1241,4,0tq4i,0j01z,176,Acompanhamento da execução das avaliações,6000.00,0.00,2019-01-18 11:17:56,renato.rossi,2022-02-19 00:22:14,renato.rossi,
78,,1241,5,0tq4i,0j01z,176,Consultoria em Marketing,1818.18,2600.00,2019-01-18 11:17:56,renato.rossi,2022-02-19 00:22:14,renato.rossi,
79,,1241,5,0tq4i,0j01z,324,Consultoria em Marketing,0.00,5400.00,2019-01-18 11:17:57,renato.rossi,2022-02-19 00:31:23,renato.rossi,
80,,1241,6,0tq4i,0j01z,176,Capacitação,7954.54,18499.89,2019-01-18 11:17:57,renato.rossi,2022-02-19 00:22:14,patriciarego,
81,,1241,6,0tq4i,0j01z,324,Capacitação,0.00,34998.00,2019-01-18 11:17:57,renato.rossi,2022-02-19 00:31:23,patriciarego,
82,,1241,7,0tq4i,0j01z,176,Visitas técnicas,30227.27,37581.53,2019-01-18 11:17:57,renato.rossi,2022-02-19 00:22:14,patriciarego,
83,,1241,7,0tq4i,0j01z,324,Visitas técnicas,0.00,79920.58,2019-01-18 11:17:57,renato.rossi,2022-02-19 00:31:23,patriciarego,
84,,1241,8,0tq4i,0j01z,176,Exposição em Feiras,10909.09,14118.58,2019-01-18 11:17:57,renato.rossi,2022-02-19 00:22:14,patriciarego,
85,,1241,8,0tq4i,0j01z,324,Exposição em Feiras,0.00,30881.42,2019-01-18 11:17:57,renato.rossi,2022-02-19 00:31:23,patriciarego,
86,,1160,1,0tq4i,0j01z,294,Estruturação do projeto,0.00,2113.02,2019-01-24 11:52:30,renato.rossi,2022-02-19 00:31:18,renato.rossi,
87,,1160,2,0tq4i,0j01z,294,Gestão e monitoramento,0.00,2582.58,2019-01-24 11:52:30,renato.rossi,2022-02-19 00:31:18,renato.rossi,
88,,1160,3,0tq4i,0j01z,294,Acompanhamento da execução das mensurações,0.00,1565.20,2019-01-24 11:52:30,renato.rossi,2022-02-19 00:31:18,renato.rossi,
89,,1160,4,0tq4i,0j01z,294,Acompanhamento da execução das avaliações,0.00,1565.20,2019-01-24 11:52:30,renato.rossi,2022-02-19 00:31:18,renato.rossi,
90,,1160,5,0tq4i,0j01z,193,+ Insights (Fórum de aprimoramento de estratégia,2400.00,5808.00,2019-01-24 11:52:30,renato.rossi,2022-02-19 00:26:50,renato.rossi,
91,,1160,5,0tq4i,0j01z,294,+ Insights (Fórum de aprimoramento de estratégia,0.00,6192.00,2019-01-24 11:52:30,renato.rossi,2022-02-19 00:31:18,renato.rossi,
92,,1160,6,0tq4i,0j01z,193,Melhoria no posicionamento estratégico,4500.00,11310.00,2019-01-24 11:52:30,renato.rossi,2022-02-19 00:26:50,renato.rossi,
93,,1160,6,0tq4i,0j01z,294,Melhoria no posicionamento estratégico,0.00,15190.00,2019-01-24 11:52:30,renato.rossi,2022-02-19 00:31:18,renato.rossi,
94,,1160,7,0tq4i,0j01z,193,Participar da Feira do Empreendedor/SP ou feira si,0.00,4725.00,2019-01-24 11:52:30,renato.rossi,2022-02-19 00:26:50,renato.rossi,
95,,1160,7,0tq4i,0j01z,294,Participar da Feira do Empreendedor/SP ou feira si,0.00,5775.00,2019-01-24 11:52:30,renato.rossi,2022-02-19 00:31:18,renato.rossi,
96,,1158,1,0tq4i,0j01z,293,Estruturação do projeto,0.00,4200.00,2019-01-24 11:53:54,renato.rossi,2022-02-19 00:31:18,renato.rossi,
97,,1158,2,0tq4i,0j01z,293,Gestão e monitoramento,0.00,4700.00,2019-01-24 11:53:54,renato.rossi,2022-02-19 00:31:18,renato.rossi,
98,,1158,3,0tq4i,0j01z,293,Acompanhamento da execução das mensurações,0.00,3500.00,2019-01-24 11:53:55,renato.rossi,2022-02-19 00:31:18,renato.rossi,
99,,1158,4,0tq4i,0j01z,293,Acompanhamento da execução das avaliações,0.00,3500.00,2019-01-24 11:53:55,renato.rossi,2022-02-19 00:31:18,renato.rossi,
100,,1158,5,0tq4i,0j01z,192,Feirão de Imóveis,8500.00,24000.00,2019-01-24 11:53:55,renato.rossi,2022-02-19 00:26:50,renato.rossi,
101,,1158,5,0tq4i,0j01z,293,Feirão de Imóveis,0.00,30500.00,2019-01-24 11:53:55,renato.rossi,2022-02-19 00:31:18,renato.rossi,
102,,1158,6,0tq4i,0j01z,192,Campanha Publicitária,5000.00,10000.00,2019-01-24 11:53:55,renato.rossi,2022-02-19 00:26:50,renato.rossi,
103,,1158,6,0tq4i,0j01z,293,Campanha Publicitária,0.00,10000.00,2019-01-24 11:53:55,renato.rossi,2022-02-19 00:31:18,renato.rossi,
104,,1158,7,0tq4i,0j01z,192,Capacitação e Qualificação,3910.00,5490.00,2019-01-24 11:53:55,renato.rossi,2022-02-19 00:26:50,renato.rossi,
105,,1158,7,0tq4i,0j01z,293,Capacitação e Qualificação,0.00,13100.00,2019-01-24 11:53:55,renato.rossi,2022-02-19 00:31:18,renato.rossi,
106,,1162,1,0tq4i,0j01z,296,Estruturação do projeto,0.00,5900.00,2019-01-24 11:55:28,renato.rossi,2022-02-19 00:31:19,renato.rossi,
107,,1162,2,0tq4i,0j01z,296,Gestão e Monitoramento,0.00,6400.00,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:31:19,renato.rossi,
108,,1162,3,0tq4i,0j01z,296,Acompanhamento da execução das mensurações,0.00,4900.00,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:31:19,renato.rossi,
109,,1162,4,0tq4i,0j01z,296,Acompanhamento da execução das avaliações,0.00,4800.00,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:31:19,renato.rossi,
110,,1162,5,0tq4i,0j01z,195,Visitas as feiras  e Visitas Técnica,2000.00,22500.00,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:26:51,renato.rossi,
111,,1162,5,0tq4i,0j01z,296,Visitas as feiras  e Visitas Técnica,0.00,27000.00,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:31:19,renato.rossi,
112,,1162,6,0tq4i,0j01z,195,Qualificação da mão da obra dos colaboradores,7557.00,9800.00,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:26:51,patriciarego,
113,,1162,6,0tq4i,0j01z,296,Qualificação da mão da obra dos colaboradores,0.00,12640.00,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:31:19,patriciarego,
114,,1162,7,0tq4i,0j01z,195,Capacitação dos empresários Nucleados,3000.00,4500.00,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:26:51,renato.rossi,
115,,1162,7,0tq4i,0j01z,296,Capacitação dos empresários Nucleados,0.00,5500.00,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:31:19,renato.rossi,
116,,1162,8,0tq4i,0j01z,195,Implantar o 5 “ S”,2600.00,4300.00,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:26:51,patriciarego,
117,,1162,8,0tq4i,0j01z,296,Implantar o 5 “ S”,0.00,6500.00,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:31:19,patriciarego,
118,,1162,9,0tq4i,0j01z,195,Estratégias de Marketing,3000.00,17806.58,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:26:51,patriciarego,
119,,1162,9,0tq4i,0j01z,296,Estratégias de Marketing,0.00,22193.42,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:31:19,patriciarego,
120,,1162,10,0tq4i,0j01z,195,Conexão empresarial,1000.00,4193.42,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:26:51,patriciarego,
121,,1162,10,0tq4i,0j01z,296,Conexão empresarial,0.00,4506.58,2019-01-24 11:55:29,renato.rossi,2022-02-19 00:31:19,patriciarego,
122,,1129,1,0tq4i,0j01z,283,Estruturação do projeto,0.00,3500.00,2019-01-24 11:57:09,renato.rossi,2022-02-19 00:31:17,renato.rossi,
123,,1129,2,0tq4i,0j01z,283,Gestão e Monitoramento,0.00,4000.00,2019-01-24 11:57:09,renato.rossi,2022-02-19 00:31:17,renato.rossi,
124,,1129,3,0tq4i,0j01z,283,Acompanhamento da execução das mensurações,0.00,2200.00,2019-01-24 11:57:09,renato.rossi,2022-02-19 00:31:17,renato.rossi,
125,,1129,4,0tq4i,0j01z,283,Acompanhamento da execução das avaliações,0.00,2200.00,2019-01-24 11:57:09,renato.rossi,2022-02-19 00:31:17,renato.rossi,
126,,1129,5,0tq4i,0j01z,22,Capacitação vivencial,3400.00,3900.00,2019-01-24 11:57:09,renato.rossi,2019-01-24 11:57:09,renato.rossi,
127,,1129,5,0tq4i,0j01z,283,Capacitação vivencial,0.00,6000.00,2019-01-24 11:57:09,renato.rossi,2022-02-19 00:31:17,renato.rossi,
128,,1129,6,0tq4i,0j01z,22,Implantar processos de RH,3800.00,4500.00,2019-01-24 11:57:09,renato.rossi,2019-01-24 11:57:09,renato.rossi,
129,,1129,6,0tq4i,0j01z,283,Implantar processos de RH,0.00,10000.00,2019-01-24 11:57:09,renato.rossi,2022-02-19 00:31:17,renato.rossi,
130,,1129,7,0tq4i,0j01z,22,Melhoria dos processos – Capacitação de consul,3800.00,4500.00,2019-01-24 11:57:09,renato.rossi,2019-01-24 11:57:09,renato.rossi,
131,,1129,7,0tq4i,0j01z,283,Melhoria dos processos – Capacitação de consul,0.00,10000.00,2019-01-24 11:57:09,renato.rossi,2022-02-19 00:31:17,renato.rossi,
132,,1129,8,0tq4i,0j01z,22,Visita técnica,2100.00,8500.00,2019-01-24 11:57:09,renato.rossi,2019-01-24 11:57:09,renato.rossi,
133,,1129,8,0tq4i,0j01z,283,Visita técnica,0.00,8500.00,2019-01-24 11:57:09,renato.rossi,2022-02-19 00:31:17,renato.rossi,
134,,1129,9,0tq4i,0j01z,22,Capacitação de liderança,3500.00,2500.00,2019-01-24 11:57:09,renato.rossi,2019-01-24 11:57:09,renato.rossi,
135,,1129,9,0tq4i,0j01z,283,Capacitação de liderança,0.00,3000.00,2019-01-24 11:57:09,renato.rossi,2022-02-19 00:31:17,renato.rossi,
136,,1161,1,0tq4i,0j01z,295,Estruturação do projeto,0.00,7800.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:31:19,renato.rossi,
137,,1161,2,0tq4i,0j01z,295,Gestão e Monitoramento,0.00,8000.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:31:19,renato.rossi,
138,,1161,3,0tq4i,0j01z,295,Acompanhamento da Execução das Mensurações,0.00,5000.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:31:19,renato.rossi,
139,,1161,4,0tq4i,0j01z,295,Acompanhamento da Execução das avaliações,0.00,5000.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:31:19,renato.rossi,
140,,1161,5,0tq4i,0j01z,194,Feirão de Imóveis 2019,10000.00,31500.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:26:51,renato.rossi,
141,,1161,5,0tq4i,0j01z,295,Feirão de Imóveis 2019,0.00,38500.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:31:19,renato.rossi,
142,,1161,6,0tq4i,0j01z,194,Capacitação e Qualificação,6365.00,12100.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:26:51,renato.rossi,
143,,1161,6,0tq4i,0j01z,295,Capacitação e Qualificação,0.00,14830.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:31:19,renato.rossi,
144,,1161,7,0tq4i,0j01z,194,Campanha Publicitaria,4500.00,13500.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:26:51,renato.rossi,
145,,1161,7,0tq4i,0j01z,295,Campanha Publicitaria,0.00,17000.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:31:19,renato.rossi,
146,,1161,8,0tq4i,0j01z,194,Participação em Congresso / Conferência,1500.00,9000.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:26:51,renato.rossi,
147,,1161,8,0tq4i,0j01z,295,Participação em Congresso / Conferência,0.00,12000.00,2019-01-24 11:58:56,renato.rossi,2022-02-19 00:31:19,renato.rossi,
148,,1133,1,0tq4i,0j01z,284,Estruturação do projeto,0.00,3004.45,2019-01-24 12:01:31,renato.rossi,2022-02-19 00:31:17,renato.rossi,
149,,1133,2,0tq4i,0j01z,284,Gestão e Monitoramento,0.00,3672.11,2019-01-24 12:01:31,renato.rossi,2022-02-19 00:31:17,renato.rossi,
150,,1133,3,0tq4i,0j01z,284,Acompanhamento da Execução das Mensurações,0.00,2225.52,2019-01-24 12:01:31,renato.rossi,2022-02-19 00:31:17,renato.rossi,
151,,1133,4,0tq4i,0j01z,284,Acompanhamento da Execução das avaliações,0.00,2225.52,2019-01-24 12:01:31,renato.rossi,2022-02-19 00:31:17,renato.rossi,
152,,1133,5,0tq4i,0j01z,183,Visita técnica  em empresa referência em gestão,4295.00,6952.00,2019-01-24 12:01:31,renato.rossi,2022-02-19 00:26:49,renato.rossi,
153,,1133,5,0tq4i,0j01z,284,Visita técnica  em empresa referência em gestão,0.00,10647.00,2019-01-24 12:01:31,renato.rossi,2022-02-19 00:31:17,renato.rossi,
154,,1133,6,0tq4i,0j01z,183,Curso em Gestão Empresarial,4295.00,5903.00,2019-01-24 12:01:31,renato.rossi,2022-02-19 00:26:49,renato.rossi,
155,,1133,6,0tq4i,0j01z,284,Curso em Gestão Empresarial,0.00,10197.00,2019-01-24 12:01:31,renato.rossi,2022-02-19 00:31:17,renato.rossi,
156,,1133,7,0tq4i,0j01z,183,Consultoria Individual em Gestão Empresarial,4295.00,12652.50,2019-01-24 12:01:31,renato.rossi,2022-02-19 00:26:49,renato.rossi,
157,,1133,7,0tq4i,0j01z,284,Consultoria Individual em Gestão Empresarial,0.00,14947.50,2019-01-24 12:01:31,renato.rossi,2022-02-19 00:31:17,renato.rossi,
158,,1136,1,0tq4i,0j01z,285,Estruturação do projeto,0.00,4610.20,2019-01-24 12:03:34,renato.rossi,2022-02-19 00:31:17,renato.rossi,
159,,1136,2,0tq4i,0j01z,285,Gestão e Monitoramento,0.00,5634.68,2019-01-24 12:03:34,renato.rossi,2022-02-19 00:31:17,renato.rossi,
160,,1136,3,0tq4i,0j01z,285,Acompanhamento da Execução das Mensurações,0.00,3414.96,2019-01-24 12:03:34,renato.rossi,2022-02-19 00:31:17,renato.rossi,
161,,1136,4,0tq4i,0j01z,285,Acompanhamento da Execução das avaliações,0.00,3414.96,2019-01-24 12:03:34,renato.rossi,2022-02-19 00:31:17,renato.rossi,
162,,1136,5,0tq4i,0j01z,184,Busca de novas tecnologias no mercado nacional e i,1800.00,51598.80,2019-01-24 12:03:34,renato.rossi,2022-02-19 00:26:49,patriciarego,
163,,1136,5,0tq4i,0j01z,285,Busca de novas tecnologias no mercado nacional e i,0.00,48338.06,2019-01-24 12:03:34,renato.rossi,2022-02-19 00:31:17,patriciarego,
164,,1136,6,0tq4i,0j01z,184,Desenvolvimento da gestão estratégica para ampli,2878.50,2878.50,2019-01-24 12:03:34,renato.rossi,2022-02-19 00:26:49,patriciarego,
165,,1136,6,0tq4i,0j01z,285,Desenvolvimento da gestão estratégica para ampli,0.00,6338.14,2019-01-24 12:03:34,renato.rossi,2022-02-19 00:31:17,patriciarego,
166,,1137,1,0tq4i,0j01z,286,Estruturação do projeto,0.00,8500.00,2019-01-24 12:04:44,renato.rossi,2022-02-19 00:31:17,renato.rossi,
167,,1137,2,0tq4i,0j01z,286,Gestão e Monitoramento,0.00,9500.00,2019-01-24 12:04:44,renato.rossi,2022-02-19 00:31:17,renato.rossi,
168,,1137,3,0tq4i,0j01z,286,Acompanhamento da Execução das Mensurações,0.00,7000.00,2019-01-24 12:04:44,renato.rossi,2022-02-19 00:31:17,renato.rossi,
