id,idprojeto,nuacao,nome,descricao,tipo,unidade,quantidade,realizado,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,comentario,valor_moeda_adicional,valor_reais
13,2012,5,Capacitação Realizada,Meta de atendimento referente ao número de capacitações realizadas na Ação.,at,Número de capacitações realizadas,11,100,2020-09-22 17:03:32,amauger,2020-09-22 17:03:32,amauger,,,
14,2012,5,Consultoria,Meta de atendimento referente ao número de horas de consultoria prestada.,at,Número de horas de Consultoria,250,,2020-09-22 17:04:18,amauger,2020-09-22 17:04:18,amauger,,,
15,2012,5,Relatório,Meta de entrega referente ao número de Relatórios a serem entregues na Ação,en,Número de Relatórios,2,2,2020-09-22 17:05:12,amauger,2020-09-22 17:05:12,rezende,,,
16,2012,6,Empresas participantes,Meta de atendimento referente ao número de empresas participantes da Ação.,at,Número de empresas participantes,50,,2020-09-22 17:21:35,amauger,2020-09-22 17:21:35,amauger,,,
17,2012,6,Capacitação Realizada,Meta de atendimento referente ao número de capacitações realizadas na Ação.,at,Número de capacitações realizadas,11,,2020-09-22 17:22:54,amauger,2020-09-22 17:22:54,amauger,,,
18,2012,6,Consultoria,Meta de atendimento referente ao número de horas de consultoria prestada,at,Número de horas de Consultoria,250,,2020-09-22 17:23:55,amauger,2020-09-22 17:23:55,amauger,,,
19,2012,6,Relatório,Meta de entrega referente ao número de Relatórios a serem entregues como comprovação da realização da Ação.,en,Número de Relatórios,2,,2020-09-22 17:24:52,amauger,2020-09-22 17:24:52,amauger,,,
20,2012,7,Empresas participantes,Meta de atendimento referente ao número de empresas participantes na Ação.,at,Número de empresas participantes,50,,2020-09-22 17:33:44,amauger,2020-09-22 17:33:44,amauger,,,
21,2012,7,Capacitação Realizada,Número de atendimento referente ao número de capacitações realizadas na Ação.,at,Número de capacitações realizadas,11,,2020-09-22 17:34:24,amauger,2020-09-22 17:34:24,amauger,,,
22,2012,7,Consultoria,Meta de atendimento referente ao número de horas de consultoria prestada,at,Número de horas de Consultoria,250,,2020-09-22 17:35:06,amauger,2020-09-22 17:35:06,amauger,,,
23,2012,7,Relatório,Meta de entrega referente ao número de Relatórios a serem entregues como comprovação da Ação.,en,Número de Relatórios,2,,2020-09-22 17:36:00,amauger,2020-09-22 17:36:00,amauger,,,
24,2012,8,Empresas participantes,Meta de atendimento referente ao número de empresas participantes da Ação.,at,Número de empresas participantes,50,,2020-09-22 17:42:27,amauger,2020-09-22 17:42:27,amauger,,,
25,2012,8,Capacitação Realizada,Meta de atendimento referente ao número de capacitações realizadas na Ação.,at,Número de capacitações realizadas,11,,2020-09-22 17:43:09,amauger,2020-09-22 17:43:09,amauger,,,
26,2012,8,Consultoria,Meta de atendimento referente ao número de horas de consultoria prestadas na Ação.,at,Número de horas de Consultoria,250,,2020-09-22 17:44:02,amauger,2020-09-22 17:44:02,amauger,,,
27,2012,8,Relatório,Meta de entrega referente ao número de Relatórios a serem entregues como comprovação da Ação.,en,Número de Relatórios,2,,2020-09-22 17:45:10,amauger,2020-09-22 17:45:10,amauger,,,
28,2006,7,Empresas atendidas,"Contou com a participação de 12 empresas, sendo que todas concluíram os 10 dias de capacitação.",at,Empresas,12,100,2020-11-11 01:47:18,goliveira,2020-11-11 01:47:18,renato.rossi,,,
29,2013,2,Horas de consultoria,Número de horas de consultoria,at,Número de horas de Consultoria,64,,2021-03-09 15:33:26,amauger,2021-03-09 15:33:26,amauger,,,
30,2013,2,Empresas participantes,Número de empresas participantes,at,Número de empresas participantes,20,,2021-03-09 15:34:34,amauger,2021-03-09 15:34:34,amauger,,,
31,2013,2,Relatório,Número de Relatórios,en,Número de Relatórios,4,,2021-03-09 15:35:12,amauger,2021-03-09 15:35:12,amauger,,,
32,2013,1,Consultoria,Número de horas de consultoria,at,Número de horas de Consultoria,70,,2021-03-09 15:36:30,amauger,2021-03-09 15:36:30,amauger,,,
33,2013,1,Adesão,Número de adesões ao projeto,at,Número de adesões,10,,2021-03-09 15:37:06,amauger,2021-03-09 15:37:06,amauger,,,
34,2013,1,Projeto Estruturado,Número de projetos estruturados,en,Número de projetos estruturados,1,,2021-03-09 15:37:42,amauger,2021-03-09 15:37:42,amauger,,,
35,2028,1,Participação de entidades empresariais,"Esta ação compreende a seleção dos municípios a serem contemplados com o apoio e, ato contínuo, a criação e o fortalecimento de núcleos setoriais e sua operação.

Um núcleo será assistido por um consultor pelo prazo de 12 meses. Após esse período, o consultor passará a atender um novo grupo de empresas, por igual período. 

A ACE deverá buscar formas de atender os grupos de empresas após 12 meses por meio dos recursos disponíveis ou por meio da captação de novos recursos junto aso associados, nucleados e outros parceiros do município ou estado. 

A atuação dos núcleos dar-se-á de duas diferentes formas:

•	Tradicional 

É a forma clássica de atuação do EMPREENDER, com núcleos setoriais vinculados a uma ACE e reuniões presenciais. Será aplicada em 65 municípios das regiões Centro-Oeste, Norte, Nordeste, e ainda o Espírito Santo.

•	A distância

Trata-se de uma nova forma de atuação, em que os núcleos setoriais são formados e operados a distância com base em recursos telemáticos. Com isto, elimina-se a restrição territorial. Estes núcleos serão acompanhados por consultores ligados à CACB, nos estados da região Sul e ainda São Paulo e Minas Gerais.

Os empresários participantes desses núcleos poderão ser indicados pela CACB, SEBRAE com suas respectivas representações nos estados, e pelas ACEs.

Estes núcleos terão operação experimental e serão ligados diretamente à CACB.

A atuação dos consultores nas ACEs é acompanhada e apoiada pela equipe CACB e por três coordenadores regionais – Centro-Oeste, Nordeste e Norte.",en,Entidade,65,65,2022-01-17 11:55:03,renato.rossi,2022-01-17 11:55:03,renato.rossi,,,
36,2028,4,Avaliação do projeto,Avaliação geral do projeto,en,Avaliação,3,,2022-02-18 09:33:07,renato.rossi,2022-02-18 09:33:07,lsoares,,,
37,2028,4,Avaliação,Avaliação do Projeto II,en,Avaliação,3,,2022-02-22 12:18:58,lsoares,2022-02-22 12:18:58,lsoares,,,
38,2028,4,Avaliação,Avaliação Final,en,Avaliação,3,,2022-02-22 12:35:28,lsoares,2022-02-22 12:35:28,lsoares,,,
39,2028,5,ACEs participantes do EMPREENDER,Participantes do EMPREENDER,en,Participantes,65,,2022-02-22 12:41:03,lsoares,2022-02-22 12:41:03,lsoares,,,
40,2028,5,Núcleos setoriais apoiados pelo prazo de 12 meses,Núcleos setoriais apoiados pelo prazo de 12 meses,en,Núcleos setoriais,730,,2022-02-22 12:43:34,lsoares,2022-02-22 12:43:34,lsoares,,,
41,2028,5,Empresas atendidas,9.400 empresas atendidas,at,Atendimento das empresas,9400,,2022-02-22 12:48:10,lsoares,2022-02-22 12:48:10,lsoares,,,
42,2028,6,Oficinas telemáticas,Oficina - interna,en,Oficinas,5,,2022-02-22 12:55:22,lsoares,2022-02-22 12:55:22,lsoares,,,
43,2028,6,Encontro presencial,Oficina - interna,en,Encontros,1,,2022-02-22 12:56:23,lsoares,2022-02-22 12:56:23,lsoares,,,
44,2028,6,Documento com a Metodologia atualizada,Atualização da Metodologia,en,Metodologia,1,,2022-02-22 12:57:32,lsoares,2022-02-22 12:57:32,lsoares,,,
45,2028,7,Cursos,Número de inscritos em cursos presenciais e á distância,en,Inscritos,189,,2022-02-22 13:04:08,lsoares,2022-02-22 13:04:08,lsoares,,,
46,2028,7,Cursos,Número de cursos,en,Cursos,9,,2022-02-22 13:05:32,lsoares,2022-02-22 13:05:32,lsoares,,,
47,2028,7,Formação de consultores,Curso de formação de consultores,en,Cursos,1,,2022-02-22 13:07:30,lsoares,2022-02-22 13:07:30,lsoares,,,
48,2028,7,Formação de coordenadores,Curso de formação de coordenadores,en,Cursos,1,,2022-02-22 13:07:55,lsoares,2022-02-22 13:07:55,lsoares,,,
49,2028,8,Evento de âmbito nacional,Evento nacional,en,Eventos,1,,2022-02-22 13:10:48,lsoares,2022-02-22 13:10:48,lsoares,,,
50,2028,8,Publicação com as melhores práticas,Publicações,en,Divulgação,1,,2022-02-22 13:11:53,lsoares,2022-02-22 13:11:53,lsoares,,,
51,2028,8,Missão a Brasília com representantes dos núcleos,Missão a Brasília com representantes,en,Divulgação,1,,2022-02-22 13:13:04,lsoares,2022-02-22 13:13:04,lsoares,,,
52,2028,8,Eventos de âmbito estadual/regional,Eventos de âmbito estadual/regional,en,Eventos,9,,2022-02-22 13:13:37,lsoares,2022-02-22 13:13:37,lsoares,,,
53,2028,9,Apoio a ações propostas,Relatórios das ações,en,Ações,400,,2022-02-22 13:23:31,lsoares,2022-02-22 13:23:31,lsoares,,,
54,2028,9,Realizar atendimentos,Levantamento dos atendimentos,at,Atendimentos,4800,,2022-02-22 13:24:45,lsoares,2022-02-22 13:24:45,lsoares,,,
55,2028,10,Divulgar o projeto entre entidades empresariais,Divulgação do projeto,en,Divulgação,400,,2022-02-22 13:28:31,lsoares,2022-02-22 13:28:31,lsoares,,,
56,2028,10,Evento nacional,Evento nacional,en,Divulgação,1,,2022-02-22 13:29:40,lsoares,2022-02-22 13:29:40,lsoares,,,
57,2028,10,Eventos estaduais,Eventos estaduais,en,Divulgação,27,,2022-02-22 13:30:22,lsoares,2022-02-22 13:30:22,lsoares,,,
58,2028,11,Executivos capacitados,Relatório das capacitações,at,Divulgação,400,,2022-02-22 13:32:01,lsoares,2022-02-22 13:32:01,lsoares,,,
59,2028,11,Eventos de capacitação realizados,Relatório de capacitações,at,Divulgação,29,,2022-02-22 13:33:18,lsoares,2022-02-22 13:33:18,lsoares,,,
60,2028,12,Realização de planos estratégicos para entidades,Levantamento da realização de planos estratégicos para entidades,at,Planejamento,400,,2022-02-22 13:36:42,lsoares,2022-02-22 13:36:42,lsoares,,,
61,2028,12,Nivelamento de consultores,Nivelamento de consultores,at,Cursos,10,,2022-02-22 13:37:41,lsoares,2022-02-22 13:37:41,lsoares,,,
62,2028,13,Evento telemático,Levantamento das oficinas,at,Oficinas,1,,2022-02-22 13:39:42,lsoares,2022-02-22 13:39:42,lsoares,,,
63,2028,14,Artes para produção de cartazes,Relatórios de produção,en,Materiais,1,,2022-02-22 13:42:26,lsoares,2022-02-22 13:42:26,lsoares,,,
64,2028,14,Artes para produção de banners,Relatórios de produção,en,Materiais,1,,2022-02-22 13:43:01,lsoares,2022-02-22 13:43:01,lsoares,,,
65,2028,14,Material promocional para uso da coordenação,Relatórios de produção,en,Materiais,1,,2022-02-22 13:43:35,lsoares,2022-02-22 13:43:35,lsoares,,,
66,2028,14,Produção de matérias sobre as atividades do projeto,Relatórios de produção,en,Produção,1,,2022-02-22 13:44:12,lsoares,2022-02-22 13:44:12,lsoares,,,
67,2028,14,Produção de matérias sobre o EMPREENDER,Relatórios de produção,en,Materiais,1,,2022-02-22 13:44:47,lsoares,2022-02-22 13:44:47,lsoares,,,
68,2028,14,Cobertura jornalística dos eventos nacionais,Relatórios de divulgação,en,Divulgação,1,,2022-02-22 13:45:14,lsoares,2022-02-22 13:45:14,lsoares,,,
69,2028,14,Revisão tecnológica,Relatório das oficinas,en,Oficinas,1,,2022-02-22 13:45:50,lsoares,2022-02-22 13:45:50,lsoares,,,
70,2028,14,Atendimento às ACEs,Relatórios dos participantes,at,Participantes,400,,2022-02-22 13:46:44,lsoares,2022-02-22 13:46:44,lsoares,,,
71,2028,14,Atendimento às coordenações,Relatórios de atendimento,at,Atendimentos,9,,2022-02-22 13:47:42,lsoares,2022-02-22 13:47:42,lsoares,,,
72,2028,14,Atendimento aos núcleos setoriais,Relatórios de atendimentos,at,Atendimentos,2186,,2022-02-22 13:48:15,lsoares,2022-02-22 13:48:15,lsoares,,,
73,2028,14,Implementação de novas facilidades ligadas aos núcleos,Relatórios das Implementações de novas facilidades ligadas aos núcleos e à operação do EMPREENDER em geral,at,Atendimentos,1,,2022-02-22 13:49:01,lsoares,2022-02-22 13:49:01,lsoares,,,
74,2032,1,Número de empresas que adotam práticas sustentáveis,Indicador I - descrição,at,Empresa,100,50,2022-08-09 06:15:44,renato.rossi,2022-08-09 06:15:44,renato.rossi,,,
75,2032,1,Indicador II,ds,en,Evento,5,3,2022-08-09 06:16:14,renato.rossi,2022-08-09 06:16:14,renato.rossi,,,
76,2032,2,Indicador I,ds,en,Empresa,200,50,2022-08-09 06:17:40,renato.rossi,2022-08-09 06:17:40,renato.rossi,,,
77,2032,2,Indicador II,sd,en,Evento,20,10,2022-08-09 06:18:14,renato.rossi,2022-08-09 06:18:14,renato.rossi,ds,,
78,2033,1,Indicador I,sa,en,empresa,500,,2022-08-09 07:31:56,renato.rossi,2022-08-09 07:31:56,renato.rossi,,,
79,2033,1,Indicador II,ds,en,Evento,30,,2022-08-09 07:33:03,renato.rossi,2022-08-09 07:33:03,renato.rossi,,,
80,2033,2,Indicador I,ds,en,Empresa,40,,2022-08-09 07:34:38,renato.rossi,2022-08-09 07:34:38,renato.rossi,,,
81,2033,2,Indicador II,fdf,en,Evento,5,,2022-08-09 07:35:10,renato.rossi,2022-08-09 07:35:10,renato.rossi,,,
82,2029,4,Exemplo de meta enquanto espera o Sigeor,Apenas um exemplo,en,Publicações,50,40,2022-08-26 15:27:52,renato.rossi,2022-08-26 15:27:52,renato.rossi,,,
83,2034,1,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-10-28 15:20:25,rcarrijo,2022-10-28 15:20:25,gabriel.g,,,
84,2035,1,Número de empresas capacitadas,"Participação de 6 empresas
Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,6,,2022-11-16 17:43:29,rcarrijo,2022-11-16 17:43:29,gabriel.g,,,
85,2035,1,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-17 15:11:33,rcarrijo,2022-11-17 15:11:33,gabriel.g,,,
86,2035,2,Número de consultorias realizadas,Número de consultorias realizadas,at,Empresas atendidas,7,,2022-11-18 16:57:08,rcarrijo,2022-11-18 16:57:08,gabriel.g,,,
87,2035,2,Número de relatórios de consultoria,Número de relatórios de consultoria,en,Relatórios,1,,2022-11-18 16:58:08,rcarrijo,2022-11-18 16:58:08,rcarrijo,,,
88,2035,3,Número de consultorias realizadas,Número de consultorias realizadas,at,Empresas atendidas,7,,2022-11-18 17:02:01,rcarrijo,2022-11-18 17:02:01,gabriel.g,,,
89,2035,3,Número de relatórios de consultoria,Número de relatórios de consultoria,en,Relatórios,1,,2022-11-18 17:02:39,rcarrijo,2022-11-18 17:02:39,rcarrijo,,,
90,2035,4,Número de consultorias realizadas,Número de consultorias realizadas,at,Empresas atendidas,5,,2022-11-18 17:05:47,rcarrijo,2022-11-18 17:05:47,gabriel.g,,,
91,2035,4,Número de relatórios de consultoria,Número de relatórios de consultoria,en,Relatórios,1,,2022-11-18 17:06:12,rcarrijo,2022-11-18 17:06:12,rcarrijo,,,
92,2035,5,Gestão do projeto,Gestão do projeto,en,Relatórios,1,,2022-11-18 17:13:04,rcarrijo,2022-11-18 17:13:04,rcarrijo,,,
93,2037,1,Número de consultorias realizadas,"- A meta descreve o número de consultorias realizadas
- Forma de verificação: relatório da consultoria - com avaliação do gestor",en,Consultorias,1,,2022-11-23 10:52:21,gabriel.g,2022-11-23 10:52:21,gabriel.g,,,
94,2037,1,Número de empresas atendidas,"Participação de 15 empresas
Forma de verificação: lista de presença e evidências da consultoria",at,Empresas,15,,2022-11-23 10:54:04,gabriel.g,2022-11-23 10:54:04,gabriel.g,,,
95,2037,2,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-23 10:58:00,gabriel.g,2022-11-23 10:58:00,gabriel.g,,,
96,2037,2,Número de empresas capacitadas,"Participação de 15 empresas
Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,15,,2022-11-23 10:58:37,gabriel.g,2022-11-23 10:58:37,gabriel.g,,,
97,2037,3,Número de cursos realizados,"- A meta descreve o número de cursos realizados
- Forma de verificação: relatório do curso - com avaliação do gestor",en,Cursos,1,,2022-11-23 11:03:05,gabriel.g,2022-11-23 11:03:05,gabriel.g,,,
98,2037,3,Número de empresas atendidas,"Participação de 15 empresas
Forma de verificação: lista de presença e evidências do curso",at,Empresas,15,,2022-11-23 11:04:09,gabriel.g,2022-11-23 11:04:09,gabriel.g,,,
99,2037,4,Gestão do projeto,Gestão do projeto,en,Relatórios,1,,2022-11-23 11:07:36,gabriel.g,2022-11-23 11:07:36,gabriel.g,,,
100,2036,5,Gestão do projeto,Gestão do projeto,en,Relatórios,1,,2022-11-23 11:22:06,gabriel.g,2022-11-23 11:22:06,gabriel.g,,,
101,2036,4,Número de treinamentos realizados,"- A meta descreve o número de treinamentos realizados
- Forma de verificação: relatório do treinamento - com avaliação do gestor",en,Treinamentos,1,,2022-11-23 11:24:52,gabriel.g,2022-11-23 11:24:52,gabriel.g,,,
102,2036,4,Número de empresas atendidas,"Participação de 7 empresas
Forma de verificação: lista de presença e evidências do treinamento",at,Empresas,7,,2022-11-23 11:26:17,gabriel.g,2022-11-23 11:26:17,gabriel.g,,,
103,2036,3,Número de mentorias realizadas,"- A meta descreve o número de mentorias realizadas
- Forma de verificação: relatório da mentoria - com avaliação do gestor",en,Mentorias,1,,2022-11-23 11:39:00,gabriel.g,2022-11-23 11:39:00,gabriel.g,,,
104,2036,3,Número de empresas atendidas,"Participação de 10 empresas
Forma de verificação: lista de presença e evidências da mentoria",at,Empresas,10,,2022-11-23 11:41:39,gabriel.g,2022-11-23 11:41:39,gabriel.g,,,
105,2036,1,Número de treinamentos realizados,"- A meta descreve o número de treinamentos realizados
- Forma de verificação: relatório do treinamento - com avaliação do gestor",en,Treinamentos,1,,2022-11-23 11:50:46,gabriel.g,2022-11-23 11:50:46,gabriel.g,,,
106,2036,1,Número de empresas atendidas,"Participação de 5 empresas
Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,5,,2022-11-23 11:51:44,gabriel.g,2022-11-23 11:51:44,gabriel.g,,,
107,2036,2,Número de feiras visitadas,"- A meta descreve o número de feiras visitadas
- Forma de verificação: relatório da visita à feira - com avaliação do gestor",en,Feiras,1,,2022-11-23 12:06:39,gabriel.g,2022-11-23 12:06:39,gabriel.g,,,
108,2036,2,Número de empresas envolvidas na ação,"Participação de 5 empresas
Forma de verificação: lista de presença e evidências da visita à feira",at,Empresas,5,,2022-11-23 12:08:26,gabriel.g,2022-11-23 12:08:26,gabriel.g,,,
109,2034,1,Número de empresas atendidas,"- Participação de 20 empresas
- Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,20,,2022-11-23 20:36:41,gabriel.g,2022-11-23 20:36:41,gabriel.g,,,
110,2034,2,Número de consultorias realizadas,"- A meta descreve o número de consultorias realizadas
- Forma de verificação: relatório da consultoria - com avaliação do gestor",en,Consultorias,1,,2022-11-23 20:41:26,gabriel.g,2022-11-23 20:41:26,gabriel.g,,,
111,2034,2,Número de empresas atendidas,"- Participação de 20 empresas
- Forma de verificação: lista de presença e evidências da consultoria",at,Empresas,20,,2022-11-23 20:41:56,gabriel.g,2022-11-23 20:41:56,gabriel.g,,,
112,2034,3,Gestão do projeto,Gestão do projeto,en,Relatórios,1,,2022-11-23 20:47:52,gabriel.g,2022-11-23 20:47:52,gabriel.g,,,
113,2038,1,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-25 09:24:15,gabriel.g,2022-11-25 09:24:15,gabriel.g,,,
114,2038,1,Número de empresas atendidas,"- Participação de 13 empresas
- Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,13,,2022-11-25 09:24:54,gabriel.g,2022-11-25 09:24:54,gabriel.g,,,
115,2038,2,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-25 09:30:06,gabriel.g,2022-11-25 09:30:06,gabriel.g,,,
116,2038,2,Número de empresas atendidas,"- Participação de 13 empresas
- Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,13,,2022-11-25 09:30:55,gabriel.g,2022-11-25 09:30:55,gabriel.g,,,
117,2038,3,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-25 09:32:27,gabriel.g,2022-11-25 09:32:27,gabriel.g,,,
118,2038,3,Número de empresas atendidas,"- Participação de 13 empresas
- Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,13,,2022-11-25 09:33:00,gabriel.g,2022-11-25 09:33:00,gabriel.g,,,
119,2038,4,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-25 09:36:30,gabriel.g,2022-11-25 09:36:30,gabriel.g,,,
120,2038,4,Número de empresas atendidas,"- Participação de 13 empresas
- Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,13,,2022-11-25 09:37:01,gabriel.g,2022-11-25 09:37:01,gabriel.g,,,
121,2038,5,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-25 09:40:46,gabriel.g,2022-11-25 09:40:46,gabriel.g,,,
122,2038,5,Número de empresas atendidas,"- Participação de 13 empresas
- Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,13,,2022-11-25 09:41:23,gabriel.g,2022-11-25 09:41:23,gabriel.g,,,
123,2038,6,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-25 09:50:15,gabriel.g,2022-11-25 09:50:15,gabriel.g,,,
124,2038,6,Número de empresas atendidas,"- Participação de 13 empresas
- Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,13,,2022-11-25 09:52:14,gabriel.g,2022-11-25 09:52:14,gabriel.g,,,
125,2038,7,Número de feiras visitadas,"- A meta descreve o número de feiras visitadas
- Forma de verificação: relatório da visita à feira - com avaliação do gestor",en,Feiras,1,,2022-11-25 09:56:36,gabriel.g,2022-11-25 09:56:36,gabriel.g,,,
126,2038,7,Número de empresas atendidas,"- Participação de 13 empresas
- Forma de verificação: lista de presença e evidências da visita à feira",at,Empresas,13,,2022-11-25 09:58:04,gabriel.g,2022-11-25 09:58:04,gabriel.g,,,
127,2038,8,Gestão do projeto,Gestão do projeto,en,Relatórios,1,,2022-11-25 10:07:42,gabriel.g,2022-11-25 10:07:42,gabriel.g,,,
128,2039,1,Número de consultorias realizadas,"- A meta descreve o número de consultorias realizadas
- Forma de verificação: relatório da consultoria - com avaliação do gestor",en,Consultorias,1,,2022-11-25 10:38:59,gabriel.g,2022-11-25 10:38:59,gabriel.g,,,
129,2039,1,Número de empresas atendidas,"- Participação de 5 empresas
- Forma de verificação: lista de presença e evidências da consultoria",at,Empresas,5,,2022-11-25 10:39:39,gabriel.g,2022-11-25 10:39:39,gabriel.g,,,
130,2039,2,Número de eventos visitados,"- A meta descreve o número de eventos visitados
- Forma de verificação: relatório da visita ao evento - com avaliação do gestor",en,Eventos,1,,2022-11-25 10:44:10,gabriel.g,2022-11-25 10:44:10,gabriel.g,,,
131,2039,2,Número de empresas atendidas,"- Participação de 5 empresas
- Forma de verificação: lista de presença e evidências da visita ao evento",at,Empresas,5,,2022-11-25 10:44:40,gabriel.g,2022-11-25 10:44:40,gabriel.g,,,
132,2039,3,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-25 11:12:03,gabriel.g,2022-11-25 11:12:03,gabriel.g,,,
133,2039,3,Número de empresas atendidas,"- Participação de 6 empresas
- Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,6,,2022-11-25 11:13:26,gabriel.g,2022-11-25 11:13:26,gabriel.g,,,
134,2039,4,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-25 14:28:47,gabriel.g,2022-11-25 14:28:47,gabriel.g,,,
135,2039,4,Número de empresas atendidas,"- Participação de 4 empresas
- Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,4,,2022-11-25 14:29:25,gabriel.g,2022-11-25 14:29:25,gabriel.g,,,
138,2039,5,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-25 14:38:16,gabriel.g,2022-11-25 14:38:16,gabriel.g,,,
139,2039,5,Número de empresas atendidas,"- Participação de 5 empresas
- Forma de verificação: certificado da capacitação",at,Empresas,5,,2022-11-25 14:38:41,gabriel.g,2022-11-25 14:38:41,gabriel.g,,,
140,2039,6,Número de capacitações realizadas,"- A meta descreve o número de capacitações realizadas
- Forma de verificação: relatório da capacitação - com avaliação do gestor",en,Capacitações,1,,2022-11-25 14:46:18,gabriel.g,2022-11-25 14:46:18,gabriel.g,,,
141,2039,6,Número de empresas atendidas,"- Participação de 5 empresas
- Forma de verificação: lista de presença e evidências da capacitação",at,Empresas,5,,2022-11-25 14:46:46,gabriel.g,2022-11-25 14:46:46,gabriel.g,,,
