idassociacao,idfederacao,nmrazao,nucnpj,dtfundacao,idcidade,nucep,nunumero,dscomplemento,nufone,nufax,nufone2,dsemail,dshomepage,flativo,flvalidado,dsendereco,dsbairro,idbanco,dsagencia,dsconta,dtultimaatualizacao,dtatualizacao,idgestorassociacao,id_tipo_entidade,id_antigo,sigla,sigla_unica,logoentidade,usuario_inclusao,usuario_alteracao,data_inclusao,data_alteracao,dsestado,idpais,nmrassociados
1789,54,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E SERVIÇO DE SÃO FRANCISCO DE PAULA",90052044000158,,8125,95400000,548,SALAS 09 cx 197,54 3244-1991,54 3244-1499,,acisfp@megaway.com.br,www.acissfp.com.br,S,t,,,,,,2022-03-22,2022-03-22,,1,,ACISSFP,,,sistema,Mluiza,,2022-03-22,,29,
1790,55,ASSOCIAÇÃO EMPRESARIAL DE SÃO MIGUEL DO OESTE,86251428000122,1969-10-08,8708,89900000,2307,"EDIFÍCIO ANDROMEDA, SALA 401 G",49 3622-0879,49 3622-0879,49 3622-0636,empreender2@acismo.com.br,www.acismo.com.br,S,t,RUA SETE DE SETEMBRO,CENTRO,,,,2017-10-25,2012-10-11,08174391967,1,,ACISMO,ACISMO,,sistema,,,,,29,
1791,57,Assoc Coml Indl sao Sebastiao da Grama,51881456000149,,9674,13790000,100,,1936461550,,1936461550,acissg@hotmail.com,www.acissg.com.br,S,t,rua Praca das Aguas 100,JARDIM SAO DOMINGOS,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1792,55,ASSOCIAÇÃO COM. IND. DE SUL BRASIL,12345678901234,2005-04-14,8726,,,,-49,-49,,,,N,,,,,,,,,,1,,,,,sistema,,,,,29,
1793,57,Assoc Coml Indl Taquaritinga,51791408000160,,9180,15900013,485,,1632522811,,1632522779,acitq@terra.com.br,www.acitq.com.br,S,t,rua General Osorio 829,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1794,57,Assoc Coml Indl Vargem Grande sul,51269827000136,,9772,13880000,90,,1936419700,19 3641-4133,19997270319,acivgsul@globo.com,www.acivgsul.com.br,S,t,rua sao Jorge 90,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1795,55,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROP. DE LONTRAS",02382332000103,,8537,89182000,00,,47 3523-0450,,,acial@acilontras.com.br,www.acilontras.com.br,N,t,"RUA WILLY SCHROEDER, S/Nº",CENTRO,,,,2020-09-29,2012-10-10,00490559093,1,,,,,sistema,,,,,29,
1796,55,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGRÍCOLA DE PINHEIRO PRETO",03966515000139,,8611,89570000,111,,49 3562-1454,,49 3562-1311,aciapp@ppreto.com.br,,N,t,AV. ARTHUR DA COSTA E SILVA,CENTRO,,,,2020-09-29,2012-10-11,,1,,,,,sistema,,,,,29,
1797,34,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROP DE BAEPENDI",00658009000194,,2723,37443000,64,,35 3343-1799,,,cdlbae@nelsulminas.com.br,,S,t,RUA MAJOR TOME RODRIGUES,CENTRO,,,,2012-10-19,2012-10-19,,1,,,,,sistema,,,,,29,
1798,55,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CAMPO ALEGRE,79367017000131,,8400,89294000,138,,47 3632-2193,47 3632-2193,,aciaca@netuno.com.br,,S,t,,CENTRO,,,,2023-01-17,2023-01-17,,1,,ACIACA,,,sistema,Mluiza,,2023-01-17,,29,
1800,54,Associação Comercial Industrial e Agropecuaria Horizontina,89687487000136,,7759,98920000,304,,5535371868,55 3537-4027,5535371011,aciaphz@aciaphz.com.br,www.aciaphz.com.br,S,t,"rua Duque de Caxias, 304",CENTRO,,,,2023-04-05,2023-04-05,68297289087,1,,ACIAP,,,sistema,pesquisa,,2023-04-05,,29,
1801,55,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE IRINEOPOLIS,02206585000126,,8503,89440000,111,,47 3625-1115,,47 3625-1100,cdl_ipolis@yahoo.com.br,,S,t,,,,,,2023-01-18,2023-01-18,,1,,ACII,ACII1,,sistema,Mluiza,,2023-01-18,,29,
1802,57,Assoc Coml Indl Agrop de Miracatu,00819252000147,,9362,11850000,258,Sala 03,1338471543,,13938471543,ace.miracatu@hotmail.com,http://www.acemiracatu.com.br,S,t,rua Joaquim Toshimatsu Miyagui 153 Sala 03,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1803,55,ASSOCIAÇÃO  COM.  IND. E AGROP. DE NOVA ITABERABA,02706946000101,2005-04-14,8576,89818000,193,,49 3327-0143,49 3327-0031,,agricultura@novaitaberaba.sc.gov.br,,N,t,"AV PROGRESSO, 193",CENTRO,,,,2020-09-29,2008-01-18,00490559093,1,,,,,sistema,,,,,29,
1804,55,ASSOCIAÇÃO  COM.  IND. E AGROP. DE PAULO LOPES,,2005-04-14,8600,88490000,,,48 3253-0100,-48,,aciaplo@bol.com.br,,N,f,"RUA:JOSE PEREIRA DA SILVA, S/N",CENTRO,,,,,,,1,,,,,sistema,,,,,29,
1805,46,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE UNIÃO DA VITÓRIA,78281615000120,1951-05-15,6620,84600000,,,,42 3522-2032,,aceuv@aceuv.com.br,www.aceuv.com.br,S,t,,CENTRO,,,,2023-06-15,2023-06-15,,1,,ACEUV,,,sistema,gabriel.lima,,2023-06-15,,29,
1806,55,Associação Empresarial Rural e Cultural Camponovense,83826958000163,,8403,89620000,974,,49936440812,49 3544-0812,49988299596,camposnovos@facisc.org.br,www.acircan.com.br,S,t,rua Coronel Pedro Carlos,CENTRO,,,,2023-04-05,2023-04-05,59154039991,1,,ACIRCAN,ACIRCAN,,sistema,pesquisa,,2023-04-05,,29,
1807,58,"ASSOCIAÇÃO  COMERCIAL, INDUSTRIAL MICRO E PEQUENAS EMPRESAS DE ARAGUACEMA",,2005-04-14,9803,77690000,,,63 3472-1232,63 3472-1375,,,,N,f,"Av. Bernardo  Sayao, 615",CENTRO,,,,,,,1,,,,,sistema,,,,,29,
1808,57,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E  AGRIC DE VOTORANTIM",45913621000102,,9788,18110110,169,,15 3243-4611,15 3243-8996,,acev@acev.com.br,david@acev.com.br,S,t,SEBASTIAO LOPES,CENTRO,,,,2012-12-11,2012-12-11,,1,,,,,sistema,,,,,29,
1809,54,Associação Comercial Industrial Serviços e Agronegócios de Sarandi,90162124000166,,8182,99560000,1055,SALA 01,5433613535,54 3361-2137,54999305530,acisar@acisar.com,www.acisar.com,S,t,rua Victor Davoglio n° 1527,,,,,2023-04-05,2023-04-05,,1,,Acisar,,,sistema,pesquisa,,2023-04-05,,29,
1810,54,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, DE SERVIÇO E AGROP. DE CAPELA DE SANTANA",04873115000141,,7544,95745000,2240,LOJA 01,51 3698-1433,51 3698-2387,,acisacaps@yahoo.com.br,,N,t,AV. CEL ORESTES LUCAS,CENTRO,,,,2020-09-24,2010-08-24,,1,,,,,sistema,,,,,29,
1811,54,Assoc. Coml. Agredindo. Serviços de Palmeira das Missões,89287676000111,,7935,98300000,779,CLUBE COMERCIAL,5537422288,55 3742-2288,,acaip@mksnet.com.br,www.acaip.com.br,S,t,"rua Benjamim Constant, 463",,,,,2023-04-05,2023-04-05,,1,,ACAIP,,,sistema,pesquisa,,2023-04-05,,29,
1813,57,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL NOVA EUROPA,04860085000139,,9409,14920000,494,,16 3387-1212,,,acene@acene.com.br,sideneiricardoneu@hotmail.com,S,t,RUA PRUDENTE DE MORAES,CENTRO,,,,2012-12-21,2012-12-21,,1,,,,,sistema,,,,,29,
1814,57,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE OURO VERDE,03657698000100,,9437,17920000,776,,18 3872-1615,18 3872-1133,,ace.ov@abcrede.com.br,ace.ouroverde@hotmail.com,S,t,AVENIDA SÃO PAULO,CENTRO,,,,2012-12-21,2012-12-21,,1,,,,,sistema,,,,,29,
1815,31,"Associação Comercial, Industrial, de Serviços e Agronegócios de Alegre",36027340000153,1996-02-24,1803,29500000,26,"GALERIA DECARADEL, SALAS 4 E 5",2835522226,28 3552-2725,28999104798,associalegre@hotmail.com,www.acisaes.com.br,S,t,"rua dr. Chacon, 212 , 3º Andar",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACISA,,,sistema,pesquisa,,2023-04-05,,29,
1817,54,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, AGROP. E PRESTAÇÃO DE SERVIÇOS DE TAPERA",87446852000195,,8224,99490000,492,,54 3385-1888,54 3385-1213,,acit@acit.brtdata.com.br,www.tapera.com.br/acit,S,t,,,,,,2022-03-22,2022-03-22,,1,,ACIT-Tapera,ACIT1,,sistema,Mluiza,,2022-03-22,,29,
1818,57,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE GUAIÇARA,02396544000140,1997-10-15,9160,16430000,01,ANEXO AO TERMINAL RODOVIÃZRIO,14 3547-1377,,,ALINESILC@BOL.COM.BR,,S,t,AV. 9 DE JULHO,CENTRO,,,,2010-09-09,2010-09-09,,1,,,,,sistema,,,,,29,
1819,57,Assoc Coml Indl Presidente Epitacio,48802052000108,,9531,19470000,262,,1832811710,18 3281-2002,1832811710,acipe@acipe.com.br,http://www.acipe.com.br,S,t,rua Parana 262,CENTRO,,,,2023-04-05,2023-04-05,01156374863,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1820,58,ASSOCIAÇÃO  COMERCIAL E INDUSTRIAL DE FORMOSO DO ARAGUAIA,,2005-04-14,9857,77470000,,,63 3357-1252,-63,,,,N,f,Av. Joaquim Batista Oliveira lt 16/17 QD - G,CENTRO,,,,,,,1,,,,,sistema,,,,,29,
1821,32,ASSOCIAÇÃO  COM. IND.  E AGROP. DE BOM JARDIM DE GOIÁS,1919100000189,2005-04-14,2089,76245000,,,64 3657-1828,64 3657-1720,,adiel-nunes@cultura.com.br,,N,f,"AV. TIRADENTES , 805",CENTRO,,,,,,,1,,,,,sistema,,,,,29,
1822,57,Assoc Coml Indl Agrop sao Migiuel Arcanjo,50784214000174,,9667,18230000,1001,,1598301007,15 3279-3032,1532793032,aciasma@smanet.com.br,saomiguelarcanjo.sincobr.com.br/,S,t,Marginal Fadel Jabur 1001,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
1823,55,Associação Empresarial de Schroeder,00835401000161,1995-07-03,8718,89275000,242,,4733741445,47 3374-1545,47999577280,acias@netuno.com.br,WWW.ACIAS.NET,S,t,"rua Blumenau, 242",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACIAS,ACIAS1,,sistema,pesquisa,,2023-04-05,,29,
1824,31,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROIND. DE ALFREDO CHAVES",36037505000178,,1804,29240000,126,LOJA 05,27 3269-1534,27 3269-1534,,aciaac2004@ig.com.br,,S,t,RUA LUIS PATERLINE,CENTRO,,,,2008-06-18,2008-06-18,,1,,,,,sistema,,,,,29,
1825,34,Associacao Comercial e Empresarial de sao Roque de Minas,02572516000136,1998-02-27,3907,37928000,215,A,37988215573,37 3433-1304,,acesaoroquedeminas@gmail.com,não temos,S,t,"av Padre Murilo de Almeida Conceicao, 215",CENTRO,,,,2023-04-05,2023-04-05,90744985668,1,,ACE,,,sistema,pesquisa,,2023-04-05,,29,
1826,34,Associação Comercial e Empresarial de Sacramento,20030573000175,1936-05-30,3726,38190000,49,,3433511466,34 3351-1466,34999049166,aciapss@aciapss.com.br,acesacramento.com.br,S,t,av. Antonio Carlos 49,Centro,,,,2023-04-05,2023-04-05,,1,,ACE SACRAMENTO,,,sistema,pesquisa,,2023-04-05,,29,
1827,34,Associação Comercial e Empresarial de são João Nepomuceno,17756461000191,1964-03-17,3866,36680099,113,,3232611842,32 3261-1842,,ace@acesjnep.com.br,www.acesjn.com.br,S,t,rua Coronel José Dutra 321,CENTRO,,,,2023-04-05,2023-04-05,,1,,ACE,,,sistema,pesquisa,,2023-04-05,,29,
1829,34,Associação Comercial e Empresarial de Bicas,04192400000105,,2764,36600000,25,1º ANDAR,3232714875,32 3271-1000,32988924781,asscombicas@asscombicas.com.br,https://asscombicas.com.br,S,t,"rua Capitão Pedro Assis Amaral, Nº25, 1º Andar",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACE,,,sistema,pesquisa,,2023-04-05,,29,
1830,34,"ASSOCIAÇÃO  COMERCIAL, INDUSTRIAL, AGROPECUÁRIA E DE SERVIÇOS DE CONGONHAL",,2005-04-14,2888,37557000,,,35 3424-1166,35 3424-1166,,,,N,f,"Rua Coronel Evaristo, 736",CENTRO,,,,,,,1,,,,,sistema,,,,,29,
1832,54,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, AGROP. E DE SERVIÇOS DE PINHEIRO MACHADO",01378195000170,,7977,96470000,34,,53 3248-1464,,,aciaspm@hotmail.com,,N,t,RUA ISRAEL AZAMBUJA,CENTRO,,,,2020-09-24,2012-10-18,,1,,,,,sistema,,,,,29,
1834,34,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ATALÉIA,04702894000112,,2717,39850000,14,A,33 3526-1705,33 3526-1341,,aciataleia@yahoo.com.br,,S,t,Rua Itambacuri,CENTRO,,,,2012-10-19,2012-10-19,,1,,,,,sistema,,,,,29,
1835,55,Associação Empresarial e Cultural de Biguaçu,80152192000190,,8376,88160190,576,,4832434212,48 3243-4212,48996029184,acibig@acibig.com.br,www.acibigcdl.com.br,S,t,"Rua: Sete de Setembro, 576",,,,,2023-04-05,2023-04-05,,1,,ACIBIG,,,sistema,pesquisa,,2023-04-05,,29,
1837,34,ASSOCIAÇÃO  COMERCIAL E INDUSTRIAL DE MAR DE ESPANHA,,2005-04-14,3378,36640000,,,32 3276-1156,32 3276-1856,,,,N,f,"RUA ALFREDO LAGROTA, 53",CENTRO,,,,,,,1,,,,,sistema,,,,,29,
1838,34,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, DE PRESTAÇÃO DE SERVIÇOS E AGROPECUÁRIA DE POMPEU",20928537000123,1995-07-27,3634,35640000,185,,37 3523-2168,37 3523-1596,37 3523-4001,acipeu@netpeu.com.br,,S,t,Rua Ministro Francisco Campos,CENTRO,,,,2016-08-23,2012-10-23,03646974664,1,,,,,sistema,,,,,29,
1840,34,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL, AGROPECUÁRIA E DE PRESTAÇÃO DE SERVIÇOS DO PRATA",21243712000101,,3657,38140000,430,,34 3431-1469,34 3431-1893,,acipra@netsite.com.br,,S,t,RUA. PARANÁ,OLIVEIRA,,,,2015-07-08,2009-05-08,,1,,,,,sistema,,,,,29,
1841,50,ASSOCIAÇÃO  COMERCIAL E INDUSTRIAL DE RIO BONITO,73795106000100,,7039,28800000,348,SALA 211,21 2734-2117,21 2734-2117,,ascirb@acessy.com.br,,S,t,RUA DOUTOR MATTOS,CENTRO,,,,2012-12-03,2012-12-03,,1,,,,,sistema,,,,,29,
1842,31,Associação Comercial e Empresarial de rio Novo do sul,36402063000111,1958-08-24,1981,29290000,02,,28988094741,,280999269114,aernsonline@yahoo.com.br,rionovoace,S,t,"Praça Áureo Viana, nº 06",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACERNS,,,sistema,pesquisa,,2023-04-05,,29,
1843,34,Associação Comercial e Industrial de rio Pomba,86952397000137,,3706,36180000,63,LOJA 12,3235711043,32 3571-2235,,acirp@gmail.com,não tem,S,t,"rua Padre Manoel, 73 Loja 12",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACIRP,,,sistema,pesquisa,,2023-04-05,,29,
1844,34,"ASSOCIAÇÃO  COMERCIAL, INDUSTRIAL E DE SERVIÇOS DE SALINAS",25204942000112,,3727,39560000,67,,38 3841-1387,38 3841-3092,,angelangelapbsalinas@hotmail.com,,S,t,,,,,,2023-01-12,2023-01-12,,1,,ACE - Salinas,,,sistema,Mluiza,,2023-01-12,,29,
1845,55,Associação Empresarial de Salto Veloso,78511441000145,,8664,89595000,48,,4935360734,49 3536-1004,49999341452,acisv@acisv.com.br,http://www.acisv.com.br/,S,t,"rua Carlos Gomes,177",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACISV,,,sistema,pesquisa,,2023-04-05,,29,
1846,57,Assoc Coml Emprl sta Cruz das Palmeiras,50073261000100,,9601,13652114,280,CAIXA POSTAL 49,1936722050,19 3672-2050,1936722302,acescp@acescp.com.br,www.acescp.com.br,S,t,rua Aurora Henrique Posse 280 Caixa Postal 049,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
