id,idprojeto,identidadeprop,percentual_participacao_economica,percentual_participacao_financeira,participacao_financeira,participacao_economica,valor_total_financeiro,valor_total_economico,controle_documento,controlar_liberacao,contrapartida,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
49,1173,160,0.00,22.50,min,neu,42605.73,42605.73,EL,false,sim,2019-01-25 11:14:16,renato.rossi,2022-10-08 10:55:49,renato.rossi
50,1173,301,0.00,50.00,max,neu,104147.36,,EL,true,nao,2019-01-25 11:14:16,renato.rossi,2022-10-08 10:55:53,renato.rossi
51,1175,161,0.00,22.50,min,neu,42850.00,26900.00,EL,false,sim,2019-01-25 11:16:10,renato.rossi,2022-10-08 10:55:49,renato.rossi
52,1175,302,0.00,50.00,max,neu,85250.00,,EL,true,nao,2019-01-25 11:16:10,renato.rossi,2022-10-08 10:55:53,renato.rossi
53,1176,162,0.00,22.50,min,neu,32000.00,31000.00,EL,false,sim,2019-01-25 11:18:17,renato.rossi,2022-10-08 10:55:49,renato.rossi
54,1176,303,0.00,50.00,max,neu,77000.00,,EL,true,nao,2019-01-25 11:18:17,renato.rossi,2022-10-08 10:55:53,renato.rossi
55,1178,163,0.00,22.50,min,neu,43300.00,40128.00,EL,false,sim,2019-01-25 11:19:33,renato.rossi,2022-10-08 10:55:49,renato.rossi
56,1178,304,0.00,50.00,max,neu,101852.00,,EL,true,nao,2019-01-25 11:19:33,renato.rossi,2022-10-08 10:55:53,renato.rossi
57,1179,164,0.00,22.50,min,neu,50200.00,35300.00,EL,false,sim,2019-01-25 11:20:45,renato.rossi,2022-10-08 10:55:49,renato.rossi
58,1179,305,0.00,50.00,max,neu,104500.00,,EL,true,nao,2019-01-25 11:20:45,renato.rossi,2022-10-08 10:55:53,renato.rossi
59,1180,165,0.00,22.50,min,neu,36695.00,25250.00,EL,false,sim,2019-01-25 11:22:17,renato.rossi,2022-10-08 10:55:49,renato.rossi
60,1180,306,0.00,50.00,max,neu,75702.00,,EL,true,nao,2019-01-25 11:22:17,renato.rossi,2022-10-08 10:55:53,renato.rossi
61,1182,167,0.00,22.50,min,neu,50275.00,37615.00,EL,false,sim,2019-01-25 11:23:36,renato.rossi,2022-10-08 10:55:49,renato.rossi
62,1182,308,0.00,50.00,max,neu,107404.09,,EL,true,nao,2019-01-25 11:23:36,renato.rossi,2022-10-08 10:55:53,renato.rossi
63,1183,168,0.00,22.50,min,neu,63468.66,31852.99,EL,false,sim,2019-01-25 11:24:45,renato.rossi,2022-10-08 10:55:49,renato.rossi
64,1183,309,0.00,50.00,max,neu,116504.23,,EL,true,nao,2019-01-25 11:24:45,renato.rossi,2022-10-08 10:55:53,renato.rossi
65,1184,169,0.00,22.50,min,neu,38235.00,25825.00,EL,false,sim,2019-01-25 11:25:48,renato.rossi,2022-10-08 10:55:49,renato.rossi
66,1184,310,0.00,50.00,max,neu,78292.93,,EL,true,nao,2019-01-25 11:25:49,renato.rossi,2022-10-08 10:55:53,renato.rossi
67,1188,170,0.00,22.50,min,neu,41373.53,41373.53,EL,false,sim,2019-01-25 11:28:25,renato.rossi,2022-10-08 10:55:49,renato.rossi
68,1188,311,0.00,50.00,max,neu,101135.29,,EL,true,nao,2019-01-25 11:28:25,renato.rossi,2022-10-08 10:55:53,renato.rossi
69,1192,171,0.00,22.50,min,neu,45643.75,30543.75,EL,false,sim,2019-01-25 11:29:39,renato.rossi,2022-10-08 10:55:49,renato.rossi
70,1192,312,0.00,50.00,max,neu,82341.92,,EL,true,nao,2019-01-25 11:29:39,renato.rossi,2022-10-08 10:55:53,renato.rossi
71,1194,173,0.00,22.50,min,neu,20500.00,19650.00,EL,false,sim,2019-01-25 11:30:38,renato.rossi,2022-10-08 10:55:49,renato.rossi
72,1194,314,0.00,50.00,max,neu,48967.64,,EL,true,nao,2019-01-25 11:30:38,renato.rossi,2022-10-08 10:55:53,renato.rossi
73,1193,172,0.00,22.50,min,neu,66007.47,46633.27,EL,false,sim,2019-01-25 11:31:55,renato.rossi,2022-10-08 10:55:49,nmabeck
74,1193,313,0.00,50.00,max,neu,137672.01,0.00,EL,true,nao,2019-01-25 11:31:55,renato.rossi,2022-10-08 10:55:53,nmabeck
75,1017,20,0.00,22.50,min,neu,29756.24,29756.24,EL,false,sim,2019-01-25 15:27:32,renato.rossi,2022-10-08 10:55:49,renato.rossi
76,1017,240,0.00,50.00,max,neu,72737.52,,EL,true,nao,2019-01-25 15:27:32,renato.rossi,2022-10-08 10:55:53,renato.rossi
77,1024,139,0.00,22.50,min,neu,30281.18,30281.18,EL,false,sim,2019-01-25 15:28:42,renato.rossi,2022-10-08 10:55:49,renato.rossi
78,1024,241,0.00,50.00,max,neu,74020.64,,EL,true,nao,2019-01-25 15:28:42,renato.rossi,2022-10-08 10:55:53,renato.rossi
79,1028,141,0.00,22.50,min,neu,20286.00,20286.00,EL,false,sim,2019-01-25 15:32:37,renato.rossi,2022-10-08 10:55:49,renato.rossi
80,1028,243,0.00,50.00,max,neu,49588.00,,EL,true,nao,2019-01-25 15:32:37,renato.rossi,2022-10-08 10:55:53,renato.rossi
81,1030,142,0.00,22.50,min,neu,182636.99,182636.99,EL,false,sim,2019-01-25 15:36:16,renato.rossi,2022-10-08 10:55:49,renato.rossi
82,1030,244,0.00,50.00,max,neu,446445.96,,EL,true,nao,2019-01-25 15:36:16,renato.rossi,2022-10-08 10:55:53,renato.rossi
83,1036,143,22.50,22.50,min,min,48623.81,48623.81,EL,false,sim,2019-01-25 15:37:35,renato.rossi,2022-10-08 10:55:49,patriciarego
84,1036,245,0.00,55.00,max,neu,118858.21,0.00,EL,true,nao,2019-01-25 15:37:35,renato.rossi,2022-10-08 10:55:53,patriciarego
85,1037,144,22.50,22.50,min,min,46558.53,46558.53,EL,false,sim,2019-01-25 15:38:32,renato.rossi,2022-10-08 10:55:49,patriciarego
86,1037,246,0.00,55.00,max,neu,113809.77,0.00,EL,true,nao,2019-01-25 15:38:32,renato.rossi,2022-10-08 10:55:53,patriciarego
87,1042,145,0.00,22.50,min,neu,71015.63,71015.63,EL,false,sim,2019-01-25 15:39:28,renato.rossi,2022-10-08 10:55:49,renato.rossi
88,1042,247,0.00,50.00,max,neu,173593.75,,EL,true,nao,2019-01-25 15:39:28,renato.rossi,2022-10-08 10:55:53,renato.rossi
89,1044,146,0.00,22.50,min,neu,19012.50,19012.50,EL,false,sim,2019-01-25 15:40:55,renato.rossi,2022-10-08 10:55:49,renato.rossi
90,1044,248,0.00,50.00,max,neu,46475.00,,EL,true,nao,2019-01-25 15:40:55,renato.rossi,2022-10-08 10:55:53,renato.rossi
91,1052,147,0.00,22.50,min,neu,54000.00,54000.00,EL,false,sim,2019-01-25 15:42:01,renato.rossi,2022-10-08 10:55:49,renato.rossi
92,1052,249,0.00,50.00,max,neu,132000.00,,EL,true,nao,2019-01-25 15:42:01,renato.rossi,2022-10-08 10:55:53,renato.rossi
93,1053,148,0.00,22.50,min,neu,47250.00,47250.00,EL,false,sim,2019-01-25 15:43:16,renato.rossi,2022-10-08 10:55:49,renato.rossi
94,1053,250,0.00,50.00,max,neu,115500.00,,EL,true,nao,2019-01-25 15:43:16,renato.rossi,2022-10-08 10:55:53,renato.rossi
95,1218,149,0.00,22.50,min,neu,19257.30,19257.30,EL,false,sim,2019-01-25 15:44:40,renato.rossi,2022-10-08 10:55:49,renato.rossi
96,1218,317,0.00,50.00,max,neu,47073.40,,EL,true,nao,2019-01-25 15:44:40,renato.rossi,2022-10-08 10:55:53,renato.rossi
97,1219,150,0.00,22.50,min,neu,25917.36,25917.36,EL,false,sim,2019-01-25 15:45:33,renato.rossi,2022-10-08 10:55:49,renato.rossi
98,1219,318,0.00,50.00,max,neu,63353.52,,EL,true,nao,2019-01-25 15:45:33,renato.rossi,2022-10-08 10:55:53,renato.rossi
99,1228,151,0.00,22.50,min,neu,14924.26,14924.26,EL,false,sim,2019-01-25 15:47:09,renato.rossi,2022-10-08 10:55:49,renato.rossi
100,1228,320,0.00,50.00,max,neu,36481.52,,EL,true,nao,2019-01-25 15:47:09,renato.rossi,2022-10-08 10:55:53,renato.rossi
101,1223,44,0.00,22.50,min,neu,33580.57,33580.57,EL,false,sim,2019-01-25 16:08:23,renato.rossi,2022-10-08 10:55:49,renato.rossi
102,1223,319,0.00,50.00,max,neu,82085.86,,EL,true,nao,2019-01-25 16:08:23,renato.rossi,2022-10-08 10:55:53,renato.rossi
103,1007,30,0.00,22.50,min,neu,72337.50,0.00,EL,false,sim,2019-01-30 09:54:46,renato.rossi,2022-10-08 10:55:49,renato.rossi
104,1007,239,0.00,50.00,max,neu,88412.50,,EL,true,nao,2019-01-30 09:54:46,renato.rossi,2022-10-08 10:55:53,renato.rossi
105,1025,140,0.00,22.50,min,neu,120813.73,120813.73,EL,false,sim,2019-01-30 09:57:32,renato.rossi,2022-10-08 10:55:49,renato.rossi
106,1025,242,0.00,50.00,max,neu,295322.44,,EL,true,nao,2019-01-30 09:57:32,renato.rossi,2022-10-08 10:55:53,renato.rossi
107,1206,37,0.00,22.50,min,neu,10102.50,10102.50,EL,false,sim,2019-01-30 09:59:45,renato.rossi,2022-10-08 10:55:49,nmabeck
108,1206,316,0.00,50.00,max,neu,20205.00,0.00,EL,true,nao,2019-01-30 09:59:45,renato.rossi,2022-10-08 10:55:53,nmabeck
109,1200,28,0.00,22.50,min,neu,60372.90,0.00,EL,false,sim,2019-01-30 10:02:37,renato.rossi,2022-10-08 10:55:49,renato.rossi
110,1200,315,0.00,50.00,max,neu,73789.10,,EL,true,nao,2019-01-30 10:02:37,renato.rossi,2022-10-08 10:55:53,renato.rossi
111,1064,23,0.00,22.50,min,neu,25400.00,21200.00,EL,false,sim,2019-02-01 09:27:13,renato.rossi,2022-10-08 10:55:49,renato.rossi
112,1064,254,0.00,50.00,max,neu,56655.00,,EL,true,nao,2019-02-01 09:27:13,renato.rossi,2022-10-08 10:55:53,renato.rossi
113,1065,208,0.00,22.50,min,neu,6500.00,6400.00,EL,false,sim,2019-02-01 09:28:02,renato.rossi,2022-10-08 10:55:49,renato.rossi
114,1065,255,0.00,50.00,max,neu,15545.00,,EL,true,nao,2019-02-01 09:28:02,renato.rossi,2022-10-08 10:55:53,renato.rossi
115,1066,209,0.00,22.50,min,neu,51300.00,37620.00,EL,false,sim,2019-02-01 09:28:57,renato.rossi,2022-10-08 10:55:49,renato.rossi
116,1066,256,0.00,50.00,max,neu,107730.00,,EL,true,nao,2019-02-01 09:28:57,renato.rossi,2022-10-08 10:55:53,renato.rossi
117,1067,210,0.00,22.50,min,neu,38400.00,28160.00,EL,false,sim,2019-02-01 09:30:19,renato.rossi,2022-10-08 10:55:49,renato.rossi
118,1067,257,0.00,50.00,max,neu,80640.00,,EL,true,nao,2019-02-01 09:30:19,renato.rossi,2022-10-08 10:55:53,renato.rossi
119,1070,211,0.00,22.50,min,neu,24654.80,12484.00,EL,false,sim,2019-02-01 09:31:25,renato.rossi,2022-10-08 10:55:49,renato.rossi
120,1070,258,0.00,50.00,max,neu,45276.20,,EL,true,nao,2019-02-01 09:31:26,renato.rossi,2022-10-08 10:55:53,renato.rossi
121,1075,212,0.00,22.50,min,neu,53067.50,50675.70,EL,false,sim,2019-02-01 09:32:21,renato.rossi,2022-10-08 10:55:49,renato.rossi
122,1075,259,0.00,50.00,max,neu,126601.80,,EL,true,nao,2019-02-01 09:32:21,renato.rossi,2022-10-08 10:55:53,renato.rossi
123,1080,214,0.00,22.50,min,neu,45225.00,27625.00,EL,false,sim,2019-02-01 09:33:17,renato.rossi,2022-10-08 10:55:49,renato.rossi
124,1080,261,0.00,50.00,max,neu,81150.00,0.00,EL,true,nao,2019-02-01 09:33:17,renato.rossi,2022-10-08 10:55:53,renato.rossi
125,1079,213,0.00,22.50,min,neu,39600.00,29040.00,EL,false,sim,2019-02-01 09:34:36,renato.rossi,2022-10-08 10:55:49,renato.rossi
126,1079,260,0.00,50.00,max,neu,83160.00,,EL,true,nao,2019-02-01 09:34:36,renato.rossi,2022-10-08 10:55:53,renato.rossi
127,1081,215,0.00,22.50,min,neu,28750.00,28750.00,EL,false,sim,2019-02-01 09:35:36,renato.rossi,2022-10-08 10:55:49,renato.rossi
128,1081,262,0.00,50.00,max,neu,70000.00,,EL,true,nao,2019-02-01 09:35:36,renato.rossi,2022-10-08 10:55:53,renato.rossi
129,1082,216,0.00,22.50,min,neu,73189.57,73189.57,EL,false,sim,2019-02-01 09:36:19,renato.rossi,2022-10-08 10:55:49,patriciarego
130,1082,263,0.00,50.00,max,neu,160120.86,0.00,EL,true,nao,2019-02-01 09:36:19,renato.rossi,2022-10-08 10:55:53,patriciarego
131,1086,217,0.00,22.50,min,neu,26850.00,19690.00,EL,false,sim,2019-02-01 09:37:15,renato.rossi,2022-10-08 10:55:49,renato.rossi
132,1086,264,0.00,50.00,max,neu,56385.00,,EL,true,nao,2019-02-01 09:37:15,renato.rossi,2022-10-08 10:55:53,renato.rossi
133,1087,218,0.00,22.50,min,neu,17660.00,12540.00,EL,false,sim,2019-02-01 09:38:22,renato.rossi,2022-10-08 10:55:49,renato.rossi
134,1087,265,0.00,50.00,max,neu,35875.00,,EL,true,nao,2019-02-01 09:38:22,renato.rossi,2022-10-08 10:55:53,renato.rossi
135,1089,80,0.00,22.50,min,neu,37500.00,27500.00,EL,false,sim,2019-02-01 09:39:18,renato.rossi,2022-10-08 10:55:49,patriciarego
136,1089,266,0.00,50.00,max,neu,78750.00,,EL,true,nao,2019-02-01 09:39:18,renato.rossi,2022-10-08 10:55:53,renato.rossi
137,1091,178,22.50,22.50,min,min,48220.00,26660.00,EL,false,sim,2019-02-01 09:40:30,renato.rossi,2022-10-08 10:55:49,patriciarego
138,1091,267,0.00,50.00,max,neu,90720.00,0.00,EL,true,nao,2019-02-01 09:40:31,renato.rossi,2022-10-08 10:55:53,patriciarego
139,1092,179,0.00,22.50,min,neu,40350.00,14250.00,EL,false,sim,2019-02-01 09:41:42,renato.rossi,2022-10-08 10:55:49,patriciarego
140,1092,268,0.00,50.00,max,neu,66150.00,,EL,true,nao,2019-02-01 09:41:42,renato.rossi,2022-10-08 10:55:53,renato.rossi
141,1093,222,0.00,22.50,min,neu,40500.00,29700.00,EL,false,sim,2019-02-01 09:42:41,renato.rossi,2022-10-08 10:55:49,renato.rossi
142,1093,269,0.00,50.00,max,neu,85050.00,,EL,true,nao,2019-02-01 09:42:41,renato.rossi,2022-10-08 10:55:53,renato.rossi
143,1096,223,0.00,22.50,min,neu,174457.84,20529.14,EL,false,sim,2019-02-01 09:43:39,renato.rossi,2022-10-08 10:55:49,patriciarego
144,1096,270,0.00,50.00,max,neu,238317.42,0.00,EL,true,nao,2019-02-01 09:43:39,renato.rossi,2022-10-08 10:55:53,patriciarego
145,1098,224,0.00,22.50,min,neu,105839.60,8100.40,EL,false,sim,2019-02-01 09:44:36,renato.rossi,2022-10-08 10:55:49,patriciarego
146,1098,271,0.00,50.00,max,neu,139260.00,0.00,EL,true,nao,2019-02-01 09:44:36,renato.rossi,2022-10-08 10:55:53,patriciarego
147,1101,225,0.00,22.50,min,neu,35400.00,22000.00,EL,false,sim,2019-02-01 09:45:28,renato.rossi,2022-10-08 10:55:49,renato.rossi
148,1101,272,0.00,50.00,max,neu,70160.00,,EL,true,nao,2019-02-01 09:45:28,renato.rossi,2022-10-08 10:55:53,renato.rossi
149,1102,226,0.00,22.50,min,neu,25875.00,25875.00,EL,false,sim,2019-02-01 09:46:24,renato.rossi,2022-10-08 10:55:49,renato.rossi
150,1102,273,0.00,50.00,max,neu,63250.00,,EL,true,nao,2019-02-01 09:46:24,renato.rossi,2022-10-08 10:55:53,renato.rossi
151,1104,227,0.00,22.50,min,neu,55000.00,45300.00,EL,false,sim,2019-02-01 09:47:25,renato.rossi,2022-10-08 10:55:49,renato.rossi
152,1104,274,0.00,50.00,max,neu,120845.00,,EL,true,nao,2019-02-01 09:47:25,renato.rossi,2022-10-08 10:55:53,renato.rossi
153,1110,228,0.00,22.50,min,neu,29105.00,14500.00,EL,false,sim,2019-02-01 09:48:29,renato.rossi,2022-10-08 10:55:49,renato.rossi
154,1110,275,0.00,50.00,max,neu,53295.00,,EL,true,nao,2019-02-01 09:48:29,renato.rossi,2022-10-08 10:55:53,renato.rossi
155,1112,229,0.00,22.50,min,neu,22899.38,22899.37,EL,false,sim,2019-02-01 09:49:25,renato.rossi,2022-10-08 10:55:49,renato.rossi
156,1112,276,0.00,50.00,max,neu,55976.28,,EL,true,nao,2019-02-01 09:49:25,renato.rossi,2022-10-08 10:55:53,renato.rossi
157,1113,230,0.00,22.50,min,neu,44885.82,44885.82,EL,false,sim,2019-02-01 09:50:23,renato.rossi,2022-10-08 10:55:49,patriciarego
158,1113,277,0.00,50.00,max,neu,109720.88,0.00,EL,true,nao,2019-02-01 09:50:23,renato.rossi,2022-10-08 10:55:53,patriciarego
159,1115,231,0.00,22.50,min,neu,39125.00,42125.00,EL,false,sim,2019-02-01 09:51:06,renato.rossi,2022-10-08 10:55:49,renato.rossi
160,1115,278,0.00,50.00,max,neu,103325.00,,EL,true,nao,2019-02-01 09:51:06,renato.rossi,2022-10-08 10:55:53,renato.rossi
161,1118,232,0.00,22.50,min,neu,11411.33,5397.50,EL,false,sim,2019-02-01 09:52:14,renato.rossi,2022-10-08 10:55:49,renato.rossi
162,1118,279,0.00,50.00,max,neu,20544.15,,EL,true,nao,2019-02-01 09:52:14,renato.rossi,2022-10-08 10:55:53,renato.rossi
163,1119,233,0.00,22.50,min,neu,40765.00,40770.00,EL,false,sim,2019-02-01 09:53:06,renato.rossi,2022-10-08 10:55:49,renato.rossi
164,1119,280,0.00,50.00,max,neu,99665.00,,EL,true,nao,2019-02-01 09:53:06,renato.rossi,2022-10-08 10:55:53,renato.rossi
165,1120,234,0.00,22.50,min,neu,40375.00,32300.00,EL,false,sim,2019-02-01 09:54:07,renato.rossi,2022-10-08 10:55:49,renato.rossi
166,1120,281,0.00,50.00,max,neu,117325.00,,EL,true,nao,2019-02-01 09:54:07,renato.rossi,2022-10-08 10:55:53,renato.rossi
167,1125,180,0.00,22.50,min,neu,25010.00,11390.00,EL,false,sim,2019-02-01 09:55:03,renato.rossi,2022-10-08 10:55:49,patriciarego
168,1125,282,0.00,50.00,max,neu,44100.00,,EL,true,nao,2019-02-01 09:55:03,renato.rossi,2022-10-08 10:55:53,renato.rossi
169,1002,26,0.00,22.50,min,neu,30825.00,30825.00,EL,false,sim,2019-02-01 10:22:40,renato.rossi,2022-10-08 10:55:49,renato.rossi
170,1002,238,0.00,50.00,max,neu,75350.00,,EL,true,nao,2019-02-01 10:22:40,renato.rossi,2022-10-08 10:55:53,renato.rossi
171,1062,182,0.00,22.50,min,neu,82544.00,18856.00,EL,false,sim,2019-02-08 09:45:58,renato.rossi,2022-10-08 10:55:49,patriciarego
172,1062,253,0.00,50.00,max,neu,121800.00,0.00,EL,true,nao,2019-02-08 09:45:58,renato.rossi,2022-10-08 10:55:53,patriciarego
173,1059,41,0.00,22.50,min,neu,99463.00,20417.00,EL,false,sim,2019-02-08 09:59:19,renato.rossi,2022-10-08 10:55:49,patriciarego
174,1059,251,0.00,50.00,max,neu,146520.00,0.00,EL,true,nao,2019-02-08 09:59:19,renato.rossi,2022-10-08 10:55:53,patriciarego
175,1061,181,0.00,22.50,min,neu,72450.00,51750.00,EL,false,sim,2019-02-08 10:00:27,renato.rossi,2022-10-08 10:55:49,patriciarego
176,1061,252,0.00,50.00,max,neu,151800.00,0.00,EL,true,nao,2019-02-08 10:00:27,renato.rossi,2022-10-08 10:55:53,patriciarego
177,1001,351,0.00,0.00,neu,neu,0.00,0.00,EL,false,nao,2019-02-11 08:57:59,renato.rossi,2022-10-08 10:55:53,renato.rossi
179,189,87,0.00,0.00,neu,neu,0.00,0.00,EL,true,nao,2019-04-10 21:23:18,renato.rossi,2022-10-08 10:55:53,renato.rossi
180,189,88,0.00,0.00,neu,neu,0.00,0.00,EL,true,nao,2019-04-22 18:17:55,renato.rossi,2022-10-08 10:55:53,renato.rossi
181,171,21,0.00,22.50,min,neu,30900.00,24569.40,EL,false,sim,2019-05-06 11:54:01,renato.rossi,2022-10-08 10:55:49,renato.rossi
