id,tipogestor,idrecurso,flativo,data_inclusao,usuario_inclusao,data_alteracao,usuario_alteracao
31,associacao,31,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
32,associacao,35,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
33,associacao,36,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
34,associacao,37,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
35,associacao,72,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
36,associacao,73,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
37,associacao,76,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
38,associacao,81,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
39,associacao,82,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
40,associacao,83,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
41,associacao,85,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
42,associacao,100,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
43,associacao,103,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
44,associacao,104,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
45,associacao,105,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
46,nucleo,22,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
47,nucleo,26,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
48,nucleo,30,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
49,nucleo,31,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
50,nucleo,36,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
51,nucleo,37,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
52,nucleo,73,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
53,nucleo,76,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
54,nucleo,81,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
55,nucleo,82,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
56,nucleo,83,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
57,nucleo,84,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
58,nucleo,85,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
59,nucleo,103,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
60,nucleo,104,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
61,nucleo,105,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
64,projeto,2,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
65,projeto,12,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
66,projeto,19,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
67,projeto,20,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
68,projeto,21,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
69,projeto,23,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
70,projeto,29,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
71,projeto,56,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
72,projeto,71,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
73,projeto,78,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
74,projeto,89,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
75,projeto,93,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
76,projeto,102,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
77,projeto,110,S,2020-03-25 16:05:02,,2020-03-25 16:05:02,
100,projeto,126,S,2020-09-22 10:52:11,gabriel.lima,2020-09-22 10:52:11,
102,projeto,119,S,2020-09-24 09:54:47,renato.rossi,2020-09-24 09:54:47,
103,projeto,120,S,2020-09-24 09:57:03,renato.rossi,2020-09-24 09:57:03,
104,federacao,112,S,2020-09-29 17:08:40,gabriel.lima,2020-09-29 17:08:40,
105,associacao,112,S,2020-09-29 17:09:57,gabriel.lima,2020-09-29 17:09:57,
106,federacao,113,S,2020-09-29 17:08:40,gabriel.lima,2020-09-29 17:08:40,
107,federacao,114,S,2020-09-29 17:08:40,gabriel.lima,2020-09-29 17:08:40,
108,federacao,116,S,2020-09-29 17:08:40,gabriel.lima,2020-09-29 17:08:40,
109,associacao,113,S,2020-09-29 17:09:57,gabriel.lima,2020-09-29 17:09:57,
110,associacao,114,S,2020-09-29 17:09:57,gabriel.lima,2020-09-29 17:09:57,
111,associacao,116,S,2020-09-29 17:09:57,gabriel.lima,2020-09-29 17:09:57,
112,federacao,75,S,2020-09-30 08:52:28,gabriel.lima,2020-09-30 08:52:28,
113,associacao,75,S,2020-09-30 08:52:38,gabriel.lima,2020-09-30 08:52:38,
114,projeto,125,S,2020-10-06 12:07:58,gabriel.lima,2020-10-06 12:07:58,
115,projeto,180,S,2020-10-16 10:37:57,renato.rossi,2020-10-16 10:37:57,
116,projeto,173,S,2021-02-10 10:17:14,renato.rossi,2021-02-10 10:17:14,
117,associacao,180,S,2021-02-25 07:59:24,rmpereira,2021-02-25 07:59:24,
121,nucleo,35,S,2021-05-26 07:58:34,gabriel.lima,2021-05-26 07:58:34,
123,associacao,9,S,2022-03-24 07:27:50,renato.rossi,2022-03-24 07:27:50,
124,associacao,214,S,2022-03-28 07:49:17,gabriel.lima,2022-03-28 07:49:17,
125,nucleo,222,S,2022-06-09 15:52:58,renato.rossi,2022-06-09 15:52:58,
126,nucleo,222,S,2022-06-09 15:53:04,renato.rossi,2022-06-09 15:53:04,
127,empresa,223,S,2022-06-13 15:20:21,renato.rossi,2022-06-13 15:20:21,
128,projeto,57,S,2022-06-20 08:03:54,gabriel.lima,2022-06-20 08:03:54,
129,projeto,49,S,2022-06-20 08:03:54,gabriel.lima,2022-06-20 08:03:54,
130,projeto,59,S,2022-06-20 08:03:54,gabriel.lima,2022-06-20 08:03:54,
131,associacao,222,S,2022-06-28 09:05:14,renato.rossi,2022-06-28 09:05:14,
132,associacao,35,S,2022-07-05 17:23:05,renato.rossi,2022-07-05 17:23:05,
133,associacao,30,S,2022-07-05 17:23:05,renato.rossi,2022-07-05 17:23:05,
134,associacao,31,S,2022-07-05 17:23:05,renato.rossi,2022-07-05 17:23:05,
135,associacao,33,S,2022-07-05 17:23:05,renato.rossi,2022-07-05 17:23:05,
136,empresa,35,S,2022-07-15 07:36:36,gabriel.lima,2022-07-15 07:36:36,
137,associacao,174,S,2022-12-17 08:42:20,gabriel.lima,2022-12-17 08:42:20,
138,projeto,50,S,2023-01-25 07:12:03,gabriel.lima,2023-01-25 07:12:03,
140,associacao,263,S,2023-06-06 09:04:51,jose.filipi,2023-06-06 09:04:51,
