idquestoes,questao,proposicao,texto,idgrupo,ordem,upload_arquivo
11,Questão III-D – Sensibilização dos presidentes de associações comerciais,A sensibilização do presidente e de dirigentes da associação comercial é indispensável para a implementação do Empreender nos municípios. ,"<div>O presidente da associação comercial é peça fundamental no sucesso do Empreender. Alguns presidentes analisam o Empreender somente sob a ótica financeira, tornando o projeto suscetível à descontinuidade. A mudança de posicionamento começou a ocorrer nas médias e grandes associações comerciais, que passaram a ver no Empreender uma excelente ferramenta de fortalecimento das empresas associadas e um retorno de parte das mensalidades pagas por elas.</div><div><br></div><div>Nas associações comerciais de menor porte, o presidente tende a estar mais próximo do Empreender, acompanhando e cobrando resultados do projeto.&nbsp;</div><div><br></div><div>O presidente tem um papel importante na mobilização dos empresários para participarem do projeto e nas interações com o governo local, Federação e Sebrae.</div><div><br></div><div>Também compete ao presidente inserir o Empreender na estratégia da Associação Comercial, alocando os recursos necessários para a sua implementação.</div><div><br></div><div>A sensibilização dos presidentes é uma atividade que é realizada, normalmente, em dois dias. Tem como objetivo destacar a importância da implementação do Empreender, seja pela possibilidade de maior visibilidade da entidade junto aos empresários ou pelo aumento dos associados. Também busca aproximar as associações comerciais das Federações, da CACB, e do Sebrae.&nbsp;</div>",3,,false
12,Questão III-E – Sensibilização dos empresários,"As palestras de sensibilização voltadas para os empresários do município e realizadas por profissionais qualificados têm importante papel na mobilização dos empresários e, consequentemente, na formação e consolidação dos núcleos setoriais nas associações comerciais.","<div>Na etapa piloto e na fase de expansão do Empreender, foi realizada o que se denomina palestra de sensibilização. A CACB contratou profissionais com habilidades em comunicação para falar sobre a importância de as MPEs se unirem a empresas do mesmo segmento para se fortalecerem e perenizarem.</div><div><br></div><div>A ACE e o Sebrae eram responsáveis por fazer a mobilização das empresas no município, que envolvia campanhas em rádio, TV e material promocional distribuído junto às principais entidades do município. Houve locais em que mais de 1.500 pessoas estiveram presentes nos eventos. Nas palestras, as associações montaram estruturas de forma a identificar empreendedores que tivessem interesse em participar do projeto.</div><div>Na etapa piloto e na fase de expansão do Empreender, foi realizada o que se denomina palestra de sensibilização. A CACB contratou profissionais com habilidades em comunicação para falar sobre a importância de as MPEs se unirem a empresas do mesmo segmento para se fortalecerem e perenizarem.</div><div><br></div><div>A ACE e o Sebrae eram responsáveis por fazer a mobilização das empresas no município, que envolvia campanhas em rádio, TV e material promocional distribuído junto às principais entidades do município. Houve locais em que mais de 1.500 pessoas estiveram presentes nos eventos. Nas palestras, as associações montaram estruturas de forma a identificar empreendedores que tivessem interesse em participar do projeto.</div>",3,,false
13,Questão IV-A – Apoio do portal do Empreender,O Portal do Empreender poderá ser incrementado com alterações que permitam o acesso das empresas; a melhor interação entre consultores e empresários; a realização de negócios entre as empresas nucleadas e parceiras; a gestão do projeto pelos estados e associações comerciais; e a integração com os sistemas existentes nas entidades empresariais.,"<div>A CACB, com o objetivo de melhorar a gestão do Empreender, tem se apoiado no desenvolvimento e aprimoramento dos processos, assim como no uso de plataformas WEB.</div><div><br></div><div>O Portal do Empreender permite a gestão financeira e técnica dos projetos. A parte financeira foi completamente reestruturada e a técnica, por assim dizer, está em obras. É a partir dele que a CACB controla o repasse de recursos para as entidades que integram o sistema. Hoje, o portal conta com uma ferramenta de BI (business intelligence), facilitando o acesso às informações.</div><div><br></div><div>O Portal do Empreender está focado no cadastro de informações, como dados de núcleos setoriais, planos de ação, execução financeira dos projetos e cadastro de empresas.&nbsp;</div>",4,,false
14,Questão I-E - Atores do Sebrae,As possibilidades de sucesso do projeto são maiores quando o Empreender está inserido nas estratégias do Sebrae.,"<div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">A participação do Sebrae no desenvolvimento do Empreender varia de estado para estado. Em alguns, o Sebrae tem a figura do coordenador do Empreender, profissional vinculado à área onde o programa é gerido.&nbsp;</span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><br></span></font></div><div><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Nesses estados, a participação do Sebrae demonstrou-se mais efetiva. Normalmente, o projeto estava inserido na estratégia da entidade como importante instrumento de fortalecimento das MPEs.</span></font></div>",1,,false
15,Questão II-D – Estímulo a redes empresariais,"As redes empresariais de negócio devem ser estimuladas, mas restritas aos locais com potencial para se tornarem arranjos produtivos locais ou àqueles com arranjo institucional já estruturado.","<div>Outra experiência vinda do estado do PR com a metodologia do Empreender foram as redes empresariais de negócio. O modelo consistiu em trabalhar núcleos setoriais em uma determinada cadeia. O projeto Obra Nota 10 envolveu a cadeia da construção civil. Foram criados núcleos a jusante e a montante, contemplando empresas de material de construção, núcleos de arquitetos, núcleos de pedreiros, núcleos de corretores, núcleos de eletricistas, núcleos de imobiliárias, núcleos de fabricantes de tijolos, e outros.</div><div><br></div><div>O projeto tem um enorme potencial para gerar impacto na economia e nos empregos. As redes empresariais de negócio trabalham uma região, tendo em vista que poderá haver número insuficiente de empresas para formar um núcleo setorial em uma cidade.&nbsp;</div><div><br></div><div>Outra característica do projeto é a necessidade do envolvimento de vários atores da cadeia, como sindicatos, associações, governo, faculdades, escolas técnicas e entidades de representação profissional.&nbsp;</div><div><br></div><div>Essa metodologia chegou a ser usada na segunda edição do Empreender Internacional, restrita aos países que fazem fronteira com o Brasil. A percepção é que essa abordagem exige um esforço muito maior que a abordagem convencional, tanto em recursos humanos quanto financeiros. E mais uma vez irá se deparar com a ausência de pessoal qualificado na ponta.</div>",2,,false
16,Questão V-A – O Empreender e a sustentabilidade no curto prazo,"O Empreender deve ser implementado em municípios onde as entidades e os atores tendem a estar comprometidos com o projeto, mesmo em locais em que haja dificuldade de sustentabilidade a curto prazo.",,5,,false
17,Questão VI-A – Produtividade nas empresas,"As empresas atendidas pelo Empreender podem melhorar sua produtividade se estimuladas e acompanhadas ao longo do processo. Melhor fazer em grupos – nossos núcleos – do que individualmente. Para isso, deve-se incluir o tema da produtividade na capacitação dos atores e priorizar ações no planejamento das atividades dos núcleos.<br>",,6,,false
21,Questão 1,Você faz parte de algum núcleo setorial do Programa Empreender?,<p><br></p>,14,,false
25,Questão 2,"Considerando que as atividades nos estados estão restritas desde o final de março, qual a resposta mais provável caso as restrições se estendam após 11/5.",<p><br></p>,14,,false
26,Questão 3,Você teve acesso ao crédito a que se refere a MP 944?,"A MP 944/2020 estabelece que o Programa Emergencial de Suporte a Empregos do governo Federal garante linha de crédito exclusiva para pagamento de salários que servirá para cobrir toda a folha de pagamento por um período de dois meses, até o limite de duas vezes o valor de um salário mínimo por empregado – destinada a empresários, sociedades e cooperativas, com receita bruta anual entre R$ 360 mil e R$ 10 milhões.",14,,false
27,Questão 4,Você tentou acesso à alguma linha de crédito em condições especiais nos últimos 30 dias?,,14,,false
35,Questão 5,"Indique a ação, medida, capacitação ou ferramenta que mais pode ser útil à sua empresa (havendo mais de uma indique as demais na área de comentários)",,14,,false
39,Questão 6,"Sua empresa teve benefícios tributários, incluindo a postergação do pagamento de impostos, federais, estaduais ou municipais?",<div>O governo federal editou várias medidas que preveem a suspensão do pagamento dos impostos e a redução de encargos sobre a folha de pagamento. Os empresários também demandaram ações junto aos governos estaduais e municipais com vistas à redução ou postergação dos tributos.<br></div>,14,,false
40,Questão 7,Qual a sua percepção com relação ao faturamento no período  março-maio em comparação com períodos anteriores?,,14,,false
46,Tipo de entidade,"Indique o tipo de entidade, se Federação ou Associação Comercial",,12,,false
47,Nome do responsável,Indique o nome do responsável pelo preenchimento da consulta,,12,,false
48,Telefone,Indique o nº de telefone de contato da entidade (não esqueça o DDD),,12,,false
49,E-mail,Indique o endereço de e-mail para contato de eventuais interessados,,12,,false
50,Presença na WEB,Indique o endereço da página  WEB da entidade,,12,,false
52,Relacionamento com a ACE,Indique a alternativa abaixo que melhor reflete as medidas tomadas pela entidade,<p><br></p>,13,,true
53,Disseminação de informações,"Foram realizadas ações de disseminação de informações das medidas tomadas pelo governo federal, estadual e local","<p class=""Bullet2"">Esclarecimento sobre
iniciativas do governo federal, estadual ou municipal para apoio às empresas
como postergação dos pagamentos de impostos, flexibilização da legislação
trabalhista e outros.<o:p></o:p></p>",13,,true
54,Capacitação e desenvolvimento a distância,Foram tomadas ações de capacitação e trabalho a distância?,Ações de apoio aos empresários para capacitação e reciclagem em plataformas WEB.,13,,true
55,Acesso a crédito,Foram realizadas ações de apoio à obtenção de crédito pelos associados?,"<p class=""Bullet2""><br></p><p class=""Bullet2"">Interação com instituições financeiras de forma
a acelerar a liberação de recursos destinados ao apoio às empresas.<o:p></o:p></p>",13,,true
56,Outras ações,Foram tomadas ações ou medidas que não foram contempladas nas questões anteriores? Indique no campo de comentário,Ações além das mencionadas nas questões anteriores,13,,true
57,UF,Informe a UF onde sua empresa está localizada,,7,,false
58,Cidade,Informe a cidade onde sua empresa está localizada,,7,,false
59,Colaboradores,Informe o número de colaboradores da empresa,,7,,false
60,Idade,Informe há quanto tempo sua empresa atua no mercado,,7,,false
61,Quadro de associados,Houve redução no quadro de associados em função da pandemia?,,13,,true
62,Pressão por um posicionamento,A sua entidade tem sido pressionada pelos associados a posicionar-se de forma favorável à abertura dos Empreendimentos?,,15,,true
63,Posição da entidade,Qual tem sido o posicionamento da sua entidade perante as restrições impostas pelo governo?,,15,,true
64,Núcleos setoriais,Sua entidade tomou alguma medida em relação aos núcleos setoriais do EMPREENDER? Descreva o que já foi implementado e o que está e gestação,,15,,true
65,UF,Indique a UF de sua entidade,,12,,false
66,Cidade,Indique a cidade de sua entidade,,12,,false
