idusuario,idlingua,idexpprof,dtini,dtfim,dslocalidade,dsempresa,dsfuncao,dsdescri,flempratual
24,es,1,08/2011,12/2013,Brasil,CACB,Consultora - Cooperación Internacional,"Coordinar la implementación de la metodologia de núcleos sectoriales/redes de negocios en los países del Proyecto en alianza con Sebrae; coordinar reuniones, procesos selectivos, lanzamientos; desarrollar capacitaciones para los asesores e coordinadores; monitorar las actividades de las Cámaras y núcleos sectoriales.",s
25,pt,1,03/2002,12/2005,Brasil/PE/Nazaré da Mata,ACIN,Consultor/articulador,"Projeto Empreender,construção de 05 núcleos setoriais,moderação,articulação de parcerias,planejamento estratégico,associativismo, juntos somos fortes,diagnóstico empresarial,participação em congrassos da CACB por todo pais.",s
25,pt,2,01/2006,12/2009,Brasil/PE/Nazaré da mata,Prefeitura MUnicipal de Nazaré da Mata e ACIN,Consultor/Articulador,"Elaboração de Projetos para captação de recurso, elaboração do rpojeto Prefeito Emprendedor do SEbrae,estímulo a gestão municipal para as MPEs. Articulação de parcerias para cursos e palestras na área de empreendedorismo,atendimento ao cliente,novos empreendedores,e etc.",s
26,pt,1,05/2009,12/2009,Brasil/Santa Catarina/Tubarão,Doctor Company Sistema de Gestão Ltda.,Consultor Especialista,Consultoria comercial na Associação Empresarial de Imbituba.  Captação de associados.  Moderação de reuniões de núcleos setoriais.  Desenvolvimento e gerenciamento de cursos e palestras.  Atendimento ao associado.,s
26,pt,2,09/2009,12/2009,Brasil/Santa Catarina/Imbituba,CCAA Escola de Idiomas,Instrutor,Instrutor de aulas de inglês.,s
26,pt,3,05/2008,12/2008,Irlanda/Dublin,The Temple Bar Trading Company.,Supervisor de vendas,"Atendimento ao cliente, operação de caixa, reposição de mercadoria e controle de estoque.  Abertura e fechamento do estabelecimento.",n
26,pt,4,05/2007,04/2008,Irlanda/Dublin,Bewleys Hotel,Chef Assistant & Food & Beverage,Chefe assistente de cozinha.  Elaboração de preços para o cardápiode 2008.,n
26,pt,5,10/2006,04/2007,Brasil/Santa Catarina/São José,Engeplan Engenharia e Terraplenagem Ltda.,Assistente Administrativo,Responsável pela área de recursos humanos.  Gerenciamento da folha de pagamento e benefícios.,n
26,pt,6,04/2006,10/2006,Brasil/Santa Catarina/Florianópolis,SESI - Serviçõ Social da Indústria,Técnico Admisnitrativo,Atuação no Centro Administrativo Financeiro - CAF - DR - FIESC.  Auditoria interna na fiscalização das notas fiscais das regionais estaduais.  Controle patrimonial estadual.,n
26,pt,7,04/2004,04/2006,Brasil/Santa Catarina/Florianópolis,SESI - Serviço Social da Indústria,Estagiário,Estagiário na área de recursos humanos.  Gerenciamento da folha de pagamento e benefícios.  Controle de folha ponto.  Documentação necessária para contratação e recisão contratual de funcionários.  Auxílio em eventos internos.,n
27,pt,1,03/2007,10/2008,Brasil/MA/Açailândia,Bradesco,Escriturário,"Nesse período tive a oportunidade de ser funcionário do Bradesco na cidade de Açailândia-MA, na função de escriturário. Mas a partir do segundo mês de trabalho, fui direcionado a ser Assistênte de gerente de carteira de Pessoa Jurídica, função está que fiquei até o mês de outubro de 2008, onde pedir demissão devido a ter passado na seleção para gerenciar uma Cooperativa de Crédito, conforme abaixo citado.",n
27,pt,2,04/2008,02/2009,Brasil/MA/Açailândia,Sicoob Credima,gerente Geral,"No período de abril de 2008 a fevereiro de 2009, tive a oportunidade de  gerenciar a Cooperativa de Crédito Rural da Região Pré - Amazônia- Sicoob Credima no município de Açailândia , sendo uma das pioneiras no Maranhão.",n
32,pt,1,04/1998,02/2004,Brasil/Goiás/Santa Helena de Goiás,Prefeitura Muncipal de Santa Helena,Diretora da Vigilância Sanitária,"Coordenação e Direção da Equipe de Fiscais da Vigilância Sanitária de Santa Helena  Elaboração de Projetos de Saneamento Básico, Zoonoses e Alimentação  Fiscalização nas Áreas Responsaveis Pela Vigilância Sanitária  Palestras Sobre Educação Sanitária e Zoonoses",n
32,pt,2,05/2005,12/2009,Brasil/Goiás/Santa Helena,Sebrae,Consultora do Projeto Empreender,"Consultora do Projeto Empreender - Goiás  Mobilização, Formação e Acompanhamento de Núcleos Setoriais  Cinco Núcleos Formados  - Confecção  - Costureiras  - Cabelereiras  - Artesanato  - Feira Livre  Acompanhamento e consultoria na área de projetos para os núcleos, reuniões e ações destinadas a cada núcleo.  Responsavel pelas confecções que tiveram um caso de sucesso, fazendo contrato com a  Companhia Hering através do Projeto Empreender, onde já formalizaram 13 confecções e 09 estão prestando serviço a companhia, gerando 110 empregos, sendo que em janeiro de 2009 mais 4 confecções darão inicio aos trabalhos.",s
35,es,1,02/2006,02/2008,Brasil / Santa Catariana / Jaraguá do Sul,ACIJS - Asociacao Comercial de Jaraguá do Sul,Consultor del Empreender,Consultor de Núcleos Sectoriales  Coordinador de eventos  Administrador financiero para actividades de Núcleos Sectoriales  Instructor de intreinamientos organizacionales,n
35,es,2,02/2008,02/2011,Honduras,BFZ,Coordinador de Proyectos,Adminsitración del proyecto  Coordinación de actividades entre cámaras  Asesor en temas Cameral  Consultor y Instructor de temas organizacionales para Cámaras,s
35,es,3,08/2007,02/2008,Brasil,SEBRAE,Coordinador de Proyecto,Coordinación del proyecto de Desarrollo del Sector Metalmécanico de la Asociación Empresarial de Jaraguá do Sul,n
36,pt,1,06/2004,10/2010,Brasil/São Paulo,FACESP,Consultor Regional,- Integrante da coordenação estadual da FACESP  - Desenvolvimento do Programa Empreender no estado  - Instrutor para formação de consultores  - Facilitador em cursos para executivos e presidentes de Associação Comercial  - Consultoria em Associações Comerciais,s
38,pt,1,07/2008,11/2009,Brasil/GOIÁS/LUZIÂNIA,SUPREMA,CONSULTORA,Desenvolvo um trabalho junto ao Projeto Empreender no município de Luziânia-GO há pelo ao menos 1 ano e 2 meses.,s
39,pt,1,07/1965,01/1997,Belo Horizonte - MG - Brasil,Banco de Desenvolvimento de Minas Gerais S.A.,técnico e gerente financeiro e de financiamentos,"Captação de recursos financeiros  Desenvolvimento de manuais organizacionais sobre operações financeiras  Análise técnica, econômica e financeira sobre pedidos de financiamento de longo prazo.  Desenvolvimento de programas de incentivos fiscais.  Decisões sobre concessão de financiamentos, contratação, liberação de recursos e acompanhamento.  Renegociação de créditos com clientes em dificuldades",n
39,pt,2,05/1995,05/1997,Belo Horizonte - Minas Gerais - Brasil,ASecretaria de Estado da Fazenda do Estado de Minas Gerais,Assessor Especial do Secretário Adjunto de Estado da Fazenda,"Renegociação de tributos estaduais com grupos setoriais de laticínios, ferro-gusa, têxtil.  Atração de empreendimentos para o parque industrial do Estado de Minas Gerais.  Análise de concessão de incentivos fiscais para empreendimentos industriais no Estado de Minas Gerais.  Regulamento do Fundo Fiat de Desenvolvimento Z Secretaria da Fazenda Minas Gerais - 1996",n
39,pt,3,01/2000,11/2009,Belo Horizonte - Minas Gerais - Brasil,3.Com Assessoria Empresarial Ltda.,Sócio e consultor,"Consultor externo da Unidade de Capacitação Empresarial do Sebrae Nacional para elaboração de conteúdos de cursos de gestão de cooperativa de crédito e fascículos sobre cooperação e associativismo.  Consultoria em reorganização de cooperativas de crédito.  Capacitador e desenvolvedor de apostilas em cursos de formação de dirigentes, conselheiros e funcionários de cooperativas de crédito.  Consultor da CACB para desenvolvimento de Manuais de Organização  Organizador de roteiros de eventos sobre desenvolvimento de micros e pequenas empresas.  Perspectiva Z Programa Estadual de Recuperação social Z Sebrae Minas Z jan a dez 2001",s
40,pt,1,04/1993,08/1994,Belo Horizonte - MG,Banco do Progresso SA,Trainee de Gerente,Inicialmente como analista financeiro: c´laculos e simulações de aplicações e cobrança de juros;  Gerente Júnior: gerenciamento de carteir ade contas correntes de pessoas jurídicas e físicas do Banco,n
40,pt,2,09/1994,01/1997,Montes Claros - MG,Unibanco,Gerente Geral de Agência,Coordenação e liderança da equipe;  Representação da insitituição junto á comunidade local;  Prospecção e atendimento aos clientes mais importantes.,n
40,pt,3,04/1997,12/1999,Belo Horizonte - MG,Equilíbrio Consultoria,Consultor de empresas,"Levantamentos e diagnóstico em empresas com dificuldades financeiras.  Consultoria financeira e de gestão para essas empresas.  Renegociações com bancos, fornecedores e credores em geral.",n
40,pt,4,02/2000,01/2002,Betim - MG,Teksid do Brasil Ltda.,Gerente financeiro,Gestor da equipe da tesouraria de grande emrpesa do Grupo Fiat;  Análise de investimentos. negociações com bancos com relação a empréstimos e aplicações;  Negociações com fornecedores.,n
40,pt,5,01/2002,11/2009,Belo Horizonte - MG,3.COM Assessoria Empresarial Ltda.,Sócio consultor,"Elaboração de projetos de financiamento nas áreas de comércio, indústria, rural, agorindústria e serviços;  Elaboração e aplicação de cursos nas áreas de cooperação, crédito e cobrança;  Pesquisa e elaboração de conteúdo para manuais, apostilas e fascículos.",s
41,pt,1,12/2008,12/2009,Panamá/Panamá/Ciudad de Panamá,CoBuys S.A.,Gerente de Compras,"Definición de actividades mensuales y anuales en conjunto con la gerencia general (definición objetivos, metas, implementación y coordinación);  Negociaciones directas con proveedores y clientes en más de 16 países.  Realización de estudios de precios y de competitividad para la tomada de decisiones de importación de nuevas líneas de productos de consumo masivo e incorporación a cadenas de supermercados y de distribuciones.  Análisis de la rentabilidad y costos de productos, afín de establecer estrategias y prevenir fallas;  Colaboración en el diseño de nuevos productos y servicios, proveer inteligencia de mercado, así como desarrollar planes de mercadeo para las diferentes unidades de negocios;  Responsable en la coordinación de todos los trámites de los registros sanitarios, diseño de rótulos y marketing para los productos en Panamá y demás países.   Viajes internacionales para ferias, busca de nuevos productos y análisis de mercadeo en los países de la América del Sur y Central.  Coordinación y inspección logística de la empresa.  Inspección de todos los embarques de México y Perú",s
41,pt,2,06/2009,12/2009,Panamá/Panamá/Ciudad de Panamá,Instituto de Estudios para una Sociedad Abierta Z ISA,Diretora Executiva,"Elaboração, captação de recursos e execução de projetos,   Assessoria geral em todas as atividades e conducao das reunioes da Diretoria,  Coordenação das atividades em parceria com universidades, empresas e entidades de classe,  Controle financeiro e contábil, elaboração, apresentação e controle de documentos oficiais da entidade, organização de eventos.",s
41,pt,3,08/2006,07/2008,Brasil/SC/Joinville,Fundacao Empreender,Gerente de Produtos,"Desenvolvimento e implementação de projetos em Associações Comerciais do Estado de Santa Catarina e coordenação de atividades planejadas,  Assessoria geral nas atividades da Diretoria Executiva, Conselho Fiscal e Conselho Superior.  Administração das atividades em geral (recrutamento e seleção de pessoas, elaboração de contratos; controle financeiro; programação de pagamentos; controle dos lançamentos contábeis; elaboração, apresentação e controle de documentos oficiais enviados ao Ministério Público do Brasil; organização de eventos).",n
41,pt,4,06/2001,07/2006,Brasil/Santa Catarina/Jaraguá do Sul e Guaramirim,Fundacao Carlos Joffre do Amaral,Gerente Comercial,"Responsável pela intermediação, recrutamento, seleção de estudantes.  Treinamento e supervisão de estagiários.  Visita a empresas associadas a ACIJS e ACIAG a fim de apresentar o programa, incentivando a abertura de vagas de estágio.",n
41,pt,5,04/1998,12/2000,Brasil/SC/Guaramirim,Associação Empresarial de Guaramirim Z ACIAG,Auxiliar Administrativa,"Responsável pela elaboração, envio, protocolo e arquivo de correspondências, reuniões a nível diretivo y administrativa, agenda presidência, divulgacao de cursos e organização de eventos.",n
43,pt,1,06/2000,11/2009,Brasil,FACISC,coordenador estadual do empreender,Coordenação de equipe de consultores regionais (11) e consultores locais (85);  - Planejamento de atividades relativas ao plano de trabalho anual;  - Acompanhamento da gestão e cumprimento de metas dos núcleos setoriais   - Gestor de projetos e Planejamento Estratégico em Associações Empresariais e Assessor Técnico da diretoria da Federação das Associações Empresariais de Santa Catarina Z FACISC,s
43,pt,2,03/2001,03/2009,BRASIL SANTA CATARINA,CACB,CONSULTOR,- Consultoria no programa Empreender  - Capacitação de multiplicadores no Programa Empreender Internacional;  - Gestão e acompanhamento dos trabalhos da chamada de projetos do Programa Empreender competitivo  - Consultoria e capacitação de coordenadores estaduais e agentes locais na condução de núcleos setoriais (redes de micro e pequenas empresas setoriais,s
43,pt,3,10/2008,11/2009,BRASIL - RONDONIA,FACER RO,consultor,Planejamento e coordenação da equipe de consultores de gestão;  - Coordenação e aplicação do programa em desenvolvimento econômico local Z DEL em 10 cidades;  - Consultoria e estruturação das entidades empresariais do sistema FACER.,s
43,pt,4,08/2003,11/2009,BRASIL - SAO PAULO,FACESP,CONSULTOR,-  Consultoria e asssossoria no Programa Empreender  - Capacitação dos consultores regionais e agentes locais;  - Assessoria na montagem e gestão de projetos ;,s
44,pt,1,12/2008,12/2009,Panamà/Panamá,Goethals Consulting Corp.,Coordenador de Projetos e Consultor,"Coordenador de projetos de licitacoes públicas para América Latina e Caribe (BID e Banco Mundial)  Consultor para Area de Estudos de Mercado,Pymes, Planejamento Estratégico e Marketing,",s
50,pt,1,10/2005,01/2010,Brasil/SP/Pilar do Sul,Associação comercial e Empresarial de Pilar do Sul,Consultora,"Como consultora do Projeto Empreender, desenvolvo atividades relacionadas as necessidades levantadas pelos núcleos em sua reunões periódicas buscando ferramentas de auxilio, melhorias na gestão de seus negócios, articuladora de eventos e projetos visando criar um diferencial nas empresas atendidas pelo projeto,atendendo",s
50,pt,2,01/2004,02/2009,Brasil/SP/Pilar do Sul,Brotos e Gomos Artesanatos Ltda,Consultora,"Responsável pela árrea administrativa ( compra, Vendas), Finaceira (contas a pagar e receber), processos produtivos da empresa e divulgação dos produtos.",n
50,pt,3,03/2006,01/2007,Brasil/SP/Pilar do Sul,Sindicato rural de sorocaba,Agente de Desenvolvimento,"Arregimentação de grupos de produtores rurais, levantamento de suas necessidades, encaminhamento para a resolução de vários problemas, inserção dos mesmos em projetos do Sebrae visando o desenvolvimento do setor.",n
51,es,1,11/2007,08/2009,Brasil/SP/Campinas,Saviezza Comunicação,Gestor de Cuenta Publicitária,"Gestión de las cuentas publicitarias: Kleffmann Group, empresa alemana líder del segmento de investigación agrícola, inteligencia de mercado y gerenciamiento de datos; Sakata Seed Sudamérica, empresa japonesa de semillas de flores y hortalizas; y Elektro, compañía americana de distribución y comercialización de energía eléctrica.     Realización del diagnóstico de comunicación, coordinación de la implantación del perfil institucional y del plan de acciones para el público interno y externo de CTC - Centro de Tecnologia Canavieira.",n
51,es,2,06/2000,11/2006,Brasil/SP/Ribeirão Preto,Dow AgroSciences Industrial Ltda,Asistente de Comunicación y Marketing Sénior,"Responsable por los trabajos de integración de la comunicación corporativa de Dow AgroSciences Ltda después del proceso de adquisición y fusión de seis empresas: brasileñas (4), americana (1) y inglesa (1) del segmento de semillas y biotecnología.    Colaboración directa en el crecimiento de 60% de recall de la marca de la empresa por los clientes usuarios y no usuarios a través de las campañas de comunicación.    Coordinación de los trabajos de entrenamiento del equipo de ventas a nivel nacional para la mejor utilización del material promocional y medios de divulgación.    Desarrollo, en conjunto con agencias de propaganda, de las campañas de comunicación de producto e institucional a nivel nacional.    Coordinación de visita a Argentina de un grupo de 40 profesionales de la área de marketing y ventas (de representantes a directores de  la empresa y distribuidores), a  la sede de la empresa EXPOCHACRA Z feria agrícola de mayor importancia do país.",n
51,es,3,06/1996,12/1999,Brasil/SP/Ribeirão Preto,I-Nove Comunicação Ltda,Sócio-Director,Gestor de Planeación y Cuentas Publicitárias para pequeñas y medianas empresas (Pymes),n
51,pt,1,11/2007,08/2009,Brasil/SP/Campinas,Saviezza Comunicação,Gestor de Contas Publicitárias,"Gestão das contas publicitárias para empresas como Syngenta, empresa suíça e líder mundial no agronegócio, Kleffmann Group, empresa alemã líder no segmento de pesquisa agrícola, inteligência de mercado e gerenciamento de dados; Sakata Seed Sudamerica, empresa japonesa de sementes de flores e hortaliças; e Elektro, companhia americana de distribuição e comercialização de energia elétrica.     Realização do diagnóstico de comunicação, coordenação da implantação do perfil institucional e do plano de ações ao público interno (colaboradores) e externo (180 associados) do CTC - Centro de Tecnologia Canavieira.",n
51,pt,2,06/2000,11/2006,Brasil/SP/Ribeirão Preto,Dow AgroSciences Industrial Ltda,Assistente de Comunicação e Marketing Sênior,"Responsável pelos trabalhos de integração da comunicação corporativa da Dow AgroSciences Industrial Ltda após processo de aquisição e fusão de seis empresas: brasileiras (4), americana (1) e inglesa (1) no segmento de sementes e biotecnologia. Colaboração direta no crescimento de 60% de recall da marca Dow AgroSciences no segmento de Sementes & Biotecnologia pelos clientes usuários e não usuários através das campanhas de comunicação.    Coordenação dos trabalhos de treinamento da equipe de vendas a nível nacional para melhor utilização de material promocional e peças de divulgação.    Desenvolvimento, em conjunto com agências de propaganda, de campanhas de comunicação de produto e institucional a nível nacional.    Coordenação de visita à Argentina de um grupo de marketing e vendas a sede da empresa e à EXPOCHACRA Z feira agrícola de maior importância do país. Visita a sede da empresa em Indianápolis, EUA e filial em Calgary no Canadá.",n
51,pt,3,06/1996,12/1999,Brasil/SP/Ribeirão Preto,I-Nove Comunicação Ltda,Sócio-Diretor,Gestor em planejamento de comunicação e atendimento de contas publicitárias para empresas de pequeno e médio porte na cidade de Ribeirão Preto.,n
52,es,1,04/2008,09/2009,Brasil/SP/Campinas,Algal Tecnología,Atendente Bilingue junior,Ateción al cliente para Latino América de la Compañía aérea británica British Arways.,n
52,es,2,04/2007,12/2007,Colombia/Antioquia/Medellín,Corporación Educativa y Cultural Simón Bolívar,Coordinadora Estrategia de Comunicaciones,"Coordinar las diferentes actividades de la Estrategia de Comunicación: Centro de Producción Audiovisual, Escuela de Comunicación popular y Sistema de Comunicación. Apoyo a los proyectos de intervención social.",n
52,es,3,08/2006,02/2007,Colombia/Antioquia/Medellín,Alcaldía de Medellín.,Comunicadora Practicante Casa de Gobierno San Cristóbal,"Comunicadora Casa de Gobierno San Cristóbal, encargada de la viabilizar las comunicaciones tanto internas como externas, acercamiento a la comunidad y planeación de proyectos para el desarrollo",n
52,pt,1,04/2008,09/2009,Brasil/SP/Campinas,Algal Tecnología,Atendente Bilingue junior,Atendimento para Latino América da Companhia aérea britânica British Arways.,n
52,pt,2,04/2007,12/2007,Côlombia/Antioquia/Medellín,&#61607; Corporação Educativa e Cultural Simón Bolívar,Coordenadora Estrategia de Comunicações,"Coordenar as diferentes atividades da Estratégia: Centro de Produção Audiovisual, Escola de Comunicação popular e Sistema de Comunicação. Apoiar os projetos de intervenção social.",n
52,pt,3,08/2006,02/2007,Côlombia/Antioquia/Medellín,Alcaldía de Medellín. (Prefeitura de Medelhin),Comunicadora Estagiaria Casa de Gobierno San Cristóbal,"Comunicadora Casa de Governo San Cristóbal, responsável da comunicação interna e externa, relações com a comunidade e planejamento de projetos para o desenvolvimento.",n
55,pt,1,10/2009,05/2010,Brasil/ Góias/ Catalão,Centro de Ensino Superior de Catalão - CESUC,Vínculo: Professor Pós Graduação,Professor Pós Graduação  Disciplinas Ministradas:  Cenários Econômicos,s
55,pt,2,02/2008,05/2010,Brasil/ Minas Gerais/ Uberlândia,Centro Universitário do Triângulo - UNITRI,Professor,"Disciplinas Ministradas:   Estudo das Cadeias Produtivas , Administração e Mercado , Engenharia Econômica; Gestão Financeira e Estudo de Viabilidade , Administração e Mercado , Administração de Recursos Materiais e Patrimoniais , Mercados Internacionais , Economia 1",s
55,pt,3,02/2005,05/2010,Brasil/ Minas Gerais/ Uberlândia,Associação Comercial e Industrial de Uberlândia - ACIUB,Coordenador Programa Empreender,"Cargos Ocupados:   Coordenação do Programa Empreender Uberlândia  Organização de eventos, gestão de projetos e treinamentos.  Atuou como Consultor dos Núcleos Setoriais de: Farmácias de Manipulação; Pet-shop; Revenda de Gás; Artesão; Papelaria; Vídeo Locadora; Academia; Gestão de RH, Automotivo e seguimento da Estética durante 5 anos.",s
56,es,1,05/2000,04/2010,Brasil,SEBRAE,Analista Técnico,"Mi experiencia profesional incluye la posición de Analista Técnico y Coordinador de los proyectos a nivel nacional en el sector minorista. Tengo experiencia en la gestión de la elaboración de metodologías en las áreas de: Emprendedores, Gestión y Consultoría en Tecnología; experiencia en la realización de transferencias de metodología, presencial ya distancia. Participación en diversas publicaciones.",s
57,es,1,07/2004,10/2010,Brasil - San Paolo,FACESP,Consultora Regional,"Articulación, desenvolvimiento e implementación de productos y servicios de Federación de   Asociaciones  Comerciales del Estado de São Paulo Z FACESP, asociado  con el Servicio de Apoyo a las micro y pequeñas empresas Z SEBRAE, en Asociaciones Comerciales, Ayuntamientos  Municipales y Empresas;",s
59,pt,1,02/2009,03/2014,Brasil/Ma/Coroatá,Diocese de Coroatá,Ecônomo,"Atualmente administro toda a parte  econômica, financeira e administrativa da Diocese de Coroatá, que é formada por 20 Paróquias, espalhadas por 16 municípios no Estado do Maranhão.",s
59,pt,2,11/2006,01/2009,Brasil/Pa/Monte Dourado,Marquesa S/A,Coordenador Adminstrativo e Financeiro,"Experiência em desenvolvimento de orçamento anual, com base em premissas preestabelecidas pela Gerência Florestais, controle e análise das variações.",n
59,pt,3,01/2005,10/2006,Brasil/Pa/Monte Dourado,Cegelec Ltda,Encarregado Administrativo,"Resposavél pela área de RH, Financeira e Almoxarifado.",n
59,pt,4,01/2004,12/2004,Brasil/Ap/Laranjal do Jarí,APAE-Laranjal do Jarí,Diretor Administrativo,"Desevolvimento de projeto para captação de recursos, junto aos orgãos Estadual e Municipal e resposável por toda área adminstrativa e financeira da Instituição.",n
59,pt,5,02/1981,08/1998,Brasil/Pa/Monte Dourado,Banco Brasdesco S/A,Gerente,"administrava um ativo de 12.700.000,00 mensal, recebi a agência com um ativo 7.900.000,00 em seis meses elevei o ativo um crescimento de 60,75%.",n
59,pt,6,08/1977,01/1981,Brasil/Ma/Codó,Chefe de Seção,Chefe de Seção,"Coordenava uma equipe de 8 pessoas, que fazia resposição de mercadorias nas gondulas.",n
64,pt,1,08/2005,01/2012,Brasil/PE/Recife,"Sindicato das Indústrias de Produtos Químicos para Fins Industriais, resinas Sint., Tintas e Vernizes do Estado de Perna",Gerente,"Sensibilização de empresários,aplicação de metodologia METAPLAN, elaboração e Coordenação de Projetos, Planejamento Estratégico de entidades empresariais, Coordenação de cursos, evento e palestras, Coordenação de Missões Técnicas Nacioais e internacionais, Administração e Gestão de entidades empresariais.",s
67,pt,1,01/2009,09/2009,Brasil/PR/Curitiba,BRSYSTEM Informática,Técnico de Informática,"Manutenção de computadores, notebooks e dispositivos de rede, vendas, atendimento à domicílio.",n
67,pt,2,12/2010,05/2011,Brasil/PR/Curitiba,Hotel Nikko Ltda.,Recepcionista Bilíngue,"Recepção de hóspedes, rotinas administrativas: emissão de Notas Fiscais Eletrônicas, Tesouraria, Auditoria.",n
67,pt,3,05/2011,12/2011,Brasil/PR/Curitiba,Hotel Nikko Ltda.,Ass. Faturamento,"Execução dos processos burocráticos referente ao faturamento da empresa, rotinas administrativas.",n
71,pt,1,03/2001,04/2012,Brasil,FACISC,Supervisor Estadual,"Supervisionar a equipe no estado de SC em número de 12 consultores regionais, instrutoria de todos os treinamento básico de consultores, Seminário de consultores, treinamento do conselho estadual da mulher empresária",s
73,es,1,10/2006,10/2010,Brasil / Santa Catarina/ Joinville,ACIJ - Asociación Comercial e Industrial de Joinville,Coordinadora del Sector del Nucleos Sectoriales,"- Coordinar el trabajo del equipo de consultores  - Planificación de acciones para mejorar el desempeño de las consultorias de los nucleos sectoriales;  - Estabelecer acciones para el desarrollo de los consultores;   - Creación del nuevos nucleos,   - Definir las acciones que se pueden desarrollar y mejorar el rendimiento del e los nucleos sectoriales  - Preparar  la planificación estratégica del sector y de la ACIJ, esarrollar y dirigir proyectos de recaudación de fondos",n
73,es,2,06/2003,10/2010,Brasil / Santa Catarina/ Joinville,ACIJ - Asociación Comercial e Industrial de Joinville,Consultora de los Nucleos  - Proyecto Empreender,"- Consultora del el Proyecto Empreender;    Asesoramiento con respecto a las estrategias y tácticas que dan competitividad a las empresas participantes;   - Monitorear, analizar y gestionar los Nucleos Sectoriales con el fin de mejorar el rendimiento;   - Moderación de las reuniones y organización de eventos",n
73,es,3,03/2001,06/2003,Brasil / Santa Catarina/ Chapecó,ACIC -  Asociación Comercial e Industrial de Chapecó,Secretaria,- Secteraria de la junta directiva  - Aplicación de rutinas financieras  - Organización de eventos,n
